dataset,kir,seed,method,method_label,selected_balls,selected_intents,minimum_ball_size,median_ball_size,maximum_ball_size,mean_structural_radius,median_structural_radius,tiny_support_lt20_ratio,zero_test_assignment_ratio,oos_assignment_gini,false_accept_gini,known_false_reject_gini,top1_false_accept_share,top10pct_false_accept_share,top10pct_known_false_reject_share,top10pct_oos_assignment_share,total_oos_assignments,total_oos_false_accepts,total_known_false_rejects,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,trainable_oos_f1,trainable_f1_all,trainable_known_recall,trainable_false_accept_rate,trainable_false_reject_rate,trainable_minus_mogb_oos_f1,trainable_minus_mogb_f1_all,trainable_minus_mogb_known_recall,trainable_minus_mogb_false_accept_rate,trainable_minus_mogb_false_reject_rate
clinc150,0.25,13,mogb_minilm,MOGB-Fair,61,38,10,61.0,100,0.6350532069872014,0.6398587525031013,0.29508196721311475,0.0,0.518758987633017,0.89484206317473,0.35983846930436036,0.24390243902439024,0.8780487804878049,0.23607038123167157,0.38728070175438595,4560,41,682,0.9259297203155414,0.552799420888672,0.5429802024827017,0.4017543859649123,0.008991228070175439,0.5982456140350877,0.8731578947368421,0.9204505232379193,0.9722469613557536,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.2631578947368421,0.026882173672822973,0.24823038613837622,0.33508771929824566,0.021271929824561362,-0.3350877192982456
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,61,38,10,61.0,100,0.6350532069872014,0.6398587525031013,0.29508196721311475,0.08196721311475409,0.9260785159620362,0.8505464480874316,0.651123254401943,0.18333333333333332,0.7916666666666666,0.5012345679012346,0.9105263157894737,4560,120,405,0.9441786283891547,0.7325053051951195,0.7269349545847502,0.6447368421052632,0.02631578947368421,0.35526315789473684,0.9071929824561403,0.9367974761465065,0.9760167096490552,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.2631578947368421,0.008633265599209738,0.06852450183192871,0.0921052631578948,0.003947368421052592,-0.09210526315789475
clinc150,0.25,42,mogb_minilm,MOGB-Fair,77,38,10,25.0,100,0.6253744922888664,0.6568440588634651,0.36363636363636365,0.0,0.6014809751651857,0.9480519480519483,0.4025803816105258,0.4117647058823529,0.9705882352941176,0.24639580602883354,0.4425438596491228,4560,34,763,0.9190780789927911,0.46901886073036636,0.45717519709188154,0.33070175438596494,0.007456140350877193,0.6692982456140351,0.86,0.8889312096029547,0.9588469948527139,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.2736842105263158,0.028881325023620064,0.31468754781668085,0.3956140350877193,0.02982456140350871,-0.39561403508771925
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,77,38,10,25.0,100,0.6253744922888664,0.6568440588634651,0.36363636363636365,0.05194805194805195,0.9412394622920939,0.9162916291629164,0.6532565179181722,0.24752475247524752,0.9207920792079208,0.4718045112781955,0.9197368421052632,4560,101,532,0.9337242173594388,0.6447081265767621,0.637102439977218,0.5333333333333333,0.022149122807017543,0.4666666666666667,0.8882456140350877,0.9029739919975378,0.9639861666122521,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.2736842105263158,0.014235186656972432,0.13899828197028508,0.19298245614035092,0.015131578947368357,-0.19298245614035087
clinc150,0.25,87,mogb_minilm,MOGB-Fair,63,38,10,33.0,100,0.6032271134492925,0.6042616718380331,0.2698412698412698,0.0,0.5717905875800613,0.9499389499389499,0.3333769405197977,0.5,1.0,0.2184065934065934,0.41600877192982455,4560,26,728,0.9232335573203013,0.5165800461524818,0.5058786379638549,0.36140350877192984,0.005701754385964913,0.6385964912280702,0.867719298245614,0.8917978608802708,0.9544528036783011,0.9473684210526316,0.7856815672130488,0.736842105263158,0.0407894736842105,0.2631578947368421,0.024134863732330314,0.26910152106056706,0.3754385964912281,0.035087719298245584,-0.37543859649122807
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,63,38,10,33.0,100,0.6032271134492925,0.6042616718380331,0.2698412698412698,0.09523809523809523,0.9069340016708438,0.9028944911297854,0.6119929453262787,0.38235294117647056,0.8725490196078431,0.43803418803418803,0.868859649122807,4560,102,468,0.9399114484503479,0.693603729332261,0.687121947250206,0.5894736842105264,0.02236842105263158,0.4105263157894737,0.8996491228070176,0.9158167897814713,0.9696617122594282,0.9473684210526316,0.7856815672130488,0.736842105263158,0.0407894736842105,0.2631578947368421,0.007456972602283729,0.09207783788078783,0.1473684210526316,0.01842105263157892,-0.1473684210526316
clinc150,0.25,100,mogb_minilm,MOGB-Fair,67,38,10,37.0,100,0.6053288700014438,0.6131143889545517,0.34328358208955223,0.0,0.5890809112333071,0.9592039800995025,0.36269079531520854,0.5333333333333333,1.0,0.21671388101983002,0.3905701754385965,4560,15,706,0.9265110590153909,0.5427412747637941,0.5326420699150679,0.3807017543859649,0.003289473684210526,0.6192982456140351,0.8735087719298246,0.9144531009541398,0.962490211104767,0.9625347891243844,0.8293119919847214,0.7491228070175439,0.0140350877192982,0.2508771929824561,0.03602373010899351,0.2865707172209273,0.368421052631579,0.010745614035087675,-0.36842105263157904
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,67,38,10,37.0,100,0.6053288700014438,0.6131143889545517,0.34328358208955223,0.13432835820895522,0.9166601204503797,0.9447499345378372,0.6392590618336886,0.5614035087719298,0.9473684210526315,0.45535714285714285,0.9035087719298246,4560,57,448,0.9469035853222585,0.7197737523748331,0.7137966515077956,0.6070175438596491,0.0125,0.3929824561403509,0.9105263157894737,0.9423899661434287,0.9777166664909377,0.9625347891243844,0.8293119919847214,0.7491228070175439,0.0140350877192982,0.2508771929824561,0.015631203802125904,0.10953823960988829,0.14210526315789473,0.0015350877192982,-0.1421052631578948
clinc150,0.25,123,mogb_minilm,MOGB-Fair,66,38,10,43.5,100,0.6124773004864819,0.6201666969963943,0.3484848484848485,0.015151515151515152,0.6085725677830942,0.9188948306595366,0.3863850974332561,0.35294117647058826,0.9117647058823529,0.24362606232294617,0.46600877192982454,4560,34,706,0.9244281045751634,0.5308783798214524,0.5205218081174073,0.3807017543859649,0.007456140350877193,0.6192982456140351,0.87,0.9146962526931363,0.9693113007148543,0.9475392103839914,0.7847672034972499,0.7324561403508771,0.0394736842105263,0.2675438596491228,0.023111105808827914,0.25388882367579757,0.35175438596491226,0.032017543859649104,-0.3517543859649123
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,66,38,10,43.5,100,0.6124773004864819,0.6201666969963943,0.3484848484848485,0.16666666666666666,0.9140151515151516,0.8615384615384616,0.6194680619141051,0.2076923076923077,0.7769230769230769,0.407673860911271,0.8609649122807017,4560,130,417,0.941851812480068,0.7175239695263377,0.7116206052380817,0.6342105263157894,0.02850877192982456,0.36578947368421055,0.9029824561403509,0.9393303708833488,0.9802306829139829,0.9475392103839914,0.7847672034972499,0.7324561403508771,0.0394736842105263,0.2675438596491228,0.0056873979039233635,0.06724323397091225,0.09824561403508769,0.01096491228070174,-0.09824561403508775
