dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile,risk_type,risk_rank_within_cell
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,51,2,calendar,3,1.0,0.6883562949961517,95,True,,purity_reached,12,129,6,159,30,129,18,0,12,6,22.21436429798302,1.1205120869574543,False,False,1.3578947368421053,0.3157894736842105,0.046511627906976744,0.4,0.0594059405940594,0.022556390977443608,0.028289473684210528,Q4-large,oos_false_accept,5.0
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,183,2,todo_list_update,31,1.0,0.7149983023196217,83,True,,purity_reached,11,90,21,120,30,90,19,0,11,21,21.823015040883853,1.0980521902673757,False,False,1.0843373493975903,0.3614457831325301,0.23333333333333334,0.36666666666666664,0.2079207920792079,0.020676691729323307,0.019736842105263157,Q4-large,oos_false_accept,2.0
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,249,3,confirm_reservation,68,1.0,0.6751037052431892,98,True,,purity_reached,17,71,21,101,30,71,13,0,17,21,22.03278984678512,1.0339556710634965,False,False,0.7244897959183674,0.30612244897959184,0.29577464788732394,0.5666666666666667,0.2079207920792079,0.03195488721804511,0.015570175438596491,Q4-large,oos_false_accept,3.0
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,274,3,freeze_account,109,1.0,0.6574910846219335,57,True,,purity_reached,3,29,7,55,26,29,23,0,3,7,22.527127837848628,0.990995660132458,False,False,0.5087719298245614,0.45614035087719296,0.2413793103448276,0.11538461538461539,0.06930693069306931,0.005639097744360902,0.006359649122807017,Q3,oos_false_accept,4.0
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,343,3,what_is_your_name,207,1.0,0.6962466857848649,60,True,,purity_reached,13,57,25,84,27,57,14,0,13,25,21.56093188336326,1.0144440906085603,False,False,0.95,0.45,0.43859649122807015,0.48148148148148145,0.24752475247524752,0.02443609022556391,0.0125,Q4-large,oos_false_accept,1.0
clinc150,0.25,87,mogb_minilm,MOGB-Fair,74,2,change_ai_name,7,1.0,0.7313910949841123,70,True,,purity_reached,8,169,13,183,14,169,6,0,8,13,0.7313910949841123,1.3507062170897093,False,False,2.414285714285714,0.2,0.07692307692307693,0.5714285714285714,0.5,0.01098901098901099,0.03706140350877193,Q3,oos_false_accept,1.0
clinc150,0.25,87,mogb_minilm,MOGB-Fair,137,2,ingredients_list,19,1.0,0.7647155471263624,86,True,,purity_reached,24,351,1,384,33,351,9,0,24,1,0.7647155471263624,1.3413639292365531,False,False,4.0813953488372094,0.38372093023255816,0.002849002849002849,0.7272727272727273,0.038461538461538464,0.03296703296703297,0.07697368421052632,Q4-large,oos_false_accept,5.0
clinc150,0.25,87,mogb_minilm,MOGB-Fair,177,2,pto_balance,27,1.0,0.6040417055889963,86,True,,purity_reached,16,100,2,130,30,100,14,0,16,2,0.6040417055889963,1.3835202494294339,False,False,1.1627906976744187,0.3488372093023256,0.02,0.5333333333333333,0.07692307692307693,0.02197802197802198,0.021929824561403508,Q4-large,oos_false_accept,4.0
clinc150,0.25,87,mogb_minilm,MOGB-Fair,212,2,todo_list,33,1.0,0.6924567157947926,73,True,,purity_reached,18,232,5,262,30,232,12,0,18,5,0.6924567157947926,1.4448301131250603,False,False,3.1780821917808217,0.410958904109589,0.021551724137931036,0.6,0.19230769230769232,0.024725274725274724,0.05087719298245614,Q3,oos_false_accept,2.0
clinc150,0.25,87,mogb_minilm,MOGB-Fair,266,3,change_ai_name,76,1.0,0.7306176806124952,12,True,,purity_reached,18,255,4,274,19,255,1,0,18,4,0.7306176806124952,1.3382527671764357,False,True,21.25,1.5833333333333333,0.01568627450980392,0.9473684210526315,0.15384615384615385,0.024725274725274724,0.05592105263157895,Q1-small,oos_false_accept,3.0
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,74,2,change_ai_name,7,1.0,0.7313910949841123,70,True,,purity_reached,10,319,39,342,23,319,13,0,10,39,22.186541214696632,1.2444327819630274,False,False,4.557142857142857,0.32857142857142857,0.12225705329153605,0.43478260869565216,0.38235294117647056,0.021367521367521368,0.06995614035087719,Q3,oos_false_accept,1.0
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,137,2,ingredients_list,19,1.0,0.7647155471263624,86,True,,purity_reached,33,589,7,638,49,589,16,0,33,7,21.485644344684594,1.294559804862621,False,False,6.848837209302325,0.5697674418604651,0.011884550084889643,0.673469387755102,0.06862745098039216,0.07051282051282051,0.12916666666666668,Q4-large,oos_false_accept,4.0
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,212,2,todo_list,33,1.0,0.6924567157947926,73,True,,purity_reached,8,124,17,155,31,124,23,0,8,17,22.64056873884002,1.1500895360693366,False,False,1.6986301369863013,0.4246575342465753,0.13709677419354838,0.25806451612903225,0.16666666666666666,0.017094017094017096,0.027192982456140352,Q3,oos_false_accept,2.0
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,288,3,damaged_card,103,1.0,0.6016165897655902,37,True,,purity_reached,9,30,7,54,24,30,15,0,9,7,22.475669008987197,1.02578982474129,False,False,0.8108108108108109,0.6486486486486487,0.23333333333333334,0.375,0.06862745098039216,0.019230769230769232,0.006578947368421052,Q3,oos_false_accept,5.0
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,360,3,translate,227,1.0,0.7424953781485104,65,True,,purity_reached,19,175,9,207,32,175,13,0,19,9,22.524644443883748,1.2308746480670782,False,False,2.6923076923076925,0.49230769230769234,0.05142857142857143,0.59375,0.08823529411764706,0.0405982905982906,0.03837719298245614,Q3,oos_false_accept,3.0
clinc150,0.25,100,mogb_minilm,MOGB-Fair,187,2,timezone,32,1.0,0.697151384050222,99,True,,purity_reached,16,77,4,107,30,77,14,0,16,4,0.697151384050222,1.2055124201914678,False,False,0.7777777777777778,0.30303030303030304,0.05194805194805195,0.5333333333333333,0.26666666666666666,0.0226628895184136,0.016885964912280702,Q4-large,oos_false_accept,2.0
clinc150,0.25,100,mogb_minilm,MOGB-Fair,198,2,uber,35,1.0,0.6445376268160932,98,True,,purity_reached,15,79,1,109,30,79,15,0,15,1,0.6445376268160932,1.5122801334884943,False,False,0.8061224489795918,0.30612244897959184,0.012658227848101266,0.5,0.06666666666666667,0.021246458923512748,0.01732456140350877,Q4-large,oos_false_accept,3.0
clinc150,0.25,100,mogb_minilm,MOGB-Fair,307,3,shopping_list_update,157,1.0,0.7416569848632918,73,True,,purity_reached,11,253,8,269,16,253,5,0,11,8,0.7416569848632918,1.3355403938172732,False,False,3.4657534246575343,0.2191780821917808,0.03162055335968379,0.6875,0.5333333333333333,0.015580736543909348,0.055482456140350876,Q3,oos_false_accept,1.0
clinc150,0.25,100,mogb_minilm,MOGB-Fair,368,4,current_location,255,1.0,0.57532997363469,53,True,,purity_reached,9,47,1,63,16,47,7,0,9,1,0.57532997363469,1.556729235559314,False,False,0.8867924528301887,0.3018867924528302,0.02127659574468085,0.5625,0.06666666666666667,0.012747875354107648,0.01030701754385965,Q3,oos_false_accept,4.0
clinc150,0.25,100,mogb_minilm,MOGB-Fair,394,4,shopping_list_update,309,1.0,0.6827750719593518,16,True,,purity_reached,10,31,1,44,13,31,3,0,10,1,0.6827750719593518,1.2753910410860845,False,True,1.9375,0.8125,0.03225806451612903,0.7692307692307693,0.06666666666666667,0.014164305949008499,0.006798245614035088,Q1-small,oos_false_accept,5.0
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,80,2,damaged_card,11,1.0,0.5910762764110997,45,True,,purity_reached,8,7,3,27,20,7,12,0,8,3,22.97423383002096,0.9846563397387256,False,False,0.15555555555555556,0.4444444444444444,0.42857142857142855,0.4,0.05263157894736842,0.017857142857142856,0.0015350877192982456,Q3,oos_false_accept,5.0
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,161,2,spending_history,26,1.0,0.7001846079116917,78,True,,purity_reached,10,88,8,123,35,88,23,2,10,8,22.57554816538713,1.1288014338803525,False,False,1.1282051282051282,0.44871794871794873,0.09090909090909091,0.2857142857142857,0.14035087719298245,0.022321428571428572,0.01929824561403509,Q4-large,oos_false_accept,2.0
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,187,2,timezone,32,1.0,0.697151384050222,99,True,,purity_reached,11,28,5,58,30,28,19,0,11,5,21.09363576205532,1.0263865995704529,False,False,0.2828282828282828,0.30303030303030304,0.17857142857142858,0.36666666666666664,0.08771929824561403,0.024553571428571428,0.0061403508771929825,Q4-large,oos_false_accept,3.0
