dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,43,2,cancel,3,1.0,0.7299704560880647,32,True,,purity_reached,6,19,0,33,14,19,8,0,6,0,22.0016525207368,1.1188903447837817,False,False,0.59375,0.4375,0.0,0.42857142857142855,0.0,0.014814814814814815,0.004166666666666667,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,45,2,car_rental,4,1.0,0.651681869581905,27,True,,purity_reached,3,1,0,5,4,1,1,0,3,0,21.68518096370022,1.1980105514944397,False,False,0.037037037037037035,0.14814814814814814,0.0,0.75,0.0,0.007407407407407408,0.0002192982456140351,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,65,2,current_location,8,1.0,0.6304198384074982,99,True,,purity_reached,6,8,2,37,29,8,23,0,6,2,22.63537691750093,0.9003881063230518,False,False,0.08080808080808081,0.29292929292929293,0.25,0.20689655172413793,0.016666666666666666,0.014814814814814815,0.0017543859649122807,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,68,2,damaged_card,9,1.0,0.612801875139855,79,True,,purity_reached,9,39,14,66,27,39,18,0,9,14,22.22260833491093,1.0063621204584214,False,False,0.4936708860759494,0.34177215189873417,0.358974358974359,0.3333333333333333,0.11666666666666667,0.022222222222222223,0.008552631578947369,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,70,2,date,10,1.0,0.5770481340824196,81,True,,purity_reached,3,0,0,24,24,0,21,0,3,0,23.50066483942105,0.8662331078483867,False,False,0.0,0.2962962962962963,0.0,0.125,0.0,0.007407407407407408,0.0,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,75,2,food_last,11,1.0,0.7538825991329952,85,True,,purity_reached,11,76,0,108,32,76,21,0,11,0,21.28836519091535,1.2100560200685293,False,False,0.8941176470588236,0.3764705882352941,0.0,0.34375,0.0,0.027160493827160494,0.016666666666666666,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,78,2,fun_fact,12,1.0,0.8186422624650324,61,True,,purity_reached,37,770,0,826,56,770,18,1,37,0,21.091068638479808,1.2449551027662904,False,False,12.62295081967213,0.9180327868852459,0.0,0.6607142857142857,0.0,0.09135802469135802,0.16885964912280702,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,80,2,ingredient_substitution,13,1.0,0.8075261099804067,18,True,,purity_reached,22,50,0,75,25,50,3,0,22,0,20.76140355505637,1.255408363377512,False,True,2.7777777777777777,1.3888888888888888,0.0,0.88,0.0,0.05432098765432099,0.010964912280701754,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,87,2,maybe,16,1.0,0.7452874067469308,50,True,,purity_reached,7,10,0,30,20,10,13,0,7,0,22.038049007746,1.0528485986895768,False,False,0.2,0.4,0.0,0.35,0.0,0.01728395061728395,0.0021929824561403508,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,99,2,plug_type,19,1.0,0.7160773326716624,100,True,,purity_reached,5,0,0,29,29,0,24,0,5,0,21.527500381122923,0.8995183295067207,False,False,0.0,0.29,0.0,0.1724137931034483,0.0,0.012345679012345678,0.0,Q4-large
