dataset,kir,seed,comparator,trainable_oos_f1,comparator_oos_f1,delta_oos_f1,trainable_f1_all,comparator_f1_all,delta_f1_all,trainable_f1_k,comparator_f1_k,delta_f1_k,trainable_accuracy,comparator_accuracy,delta_accuracy,trainable_id_recall,comparator_id_recall,delta_id_recall,trainable_false_accept_rate,comparator_false_accept_rate,delta_false_accept_rate,trainable_false_reject_rate,comparator_false_reject_rate,delta_false_reject_rate,trainable_oos_precision,comparator_oos_precision,delta_oos_precision,trainable_oos_recall,comparator_oos_recall,delta_oos_recall,trainable_auroc,comparator_auroc,delta_auroc,trainable_aupr_oos,comparator_aupr_oos,delta_aupr_oos
banking77,0.25,13,mogb_minilm,0.9154867256637168,0.8975725281231498,0.017914197540567,0.7691237472003842,0.5220544414587288,0.24706930574165542,0.7614204325444194,0.5022903316342857,0.25913010091013366,0.8717532467532467,0.8305194805194805,0.04123376623376618,0.8276315789473684,0.3776315789473684,0.45,0.1081896551724137,0.0198275862068965,0.08836206896551721,0.1723684210526316,0.6223684210526316,-0.44999999999999996,0.9404545454545453,0.827812158718602,0.11264238673594329,0.8918103448275863,0.9801724137931035,-0.08836206896551724,0.9256567604355715,0.8268370009074409,0.0988197595281306,0.968786301571126,0.9089321509176868,0.05985415065343924
banking77,0.25,42,mogb_minilm,0.9191208791208793,0.9093069306930692,0.009813948427810026,0.7939882940487182,0.6009923308051042,0.192995963243614,0.7874023685186046,0.5847652466004745,0.2026371219181301,0.8801948051948052,0.8512987012987013,0.028896103896103864,0.8171052631578948,0.4289473684210526,0.3881578947368422,0.0987068965517241,0.0103448275862068,0.0883620689655173,0.1828947368421052,0.5710526315789474,-0.38815789473684215,0.9376681614349779,0.8410256410256408,0.09664252040933707,0.9012931034482758,0.9896551724137932,-0.08836206896551735,0.9272203947368424,0.8640250680580763,0.06319532667876604,0.96790581565507,0.936922059461883,0.03098375619318694
banking77,0.25,87,mogb_minilm,0.9304952215464812,0.9025600317523318,0.02793518979414944,0.8149099652712799,0.5704707487833717,0.24443921648790823,0.8088265307304798,0.5529923654692158,0.255834165261264,0.8954545454545455,0.8402597402597403,0.05519480519480524,0.8131578947368421,0.4144736842105263,0.39868421052631575,0.0767241379310344,0.0198275862068965,0.0568965517241379,0.1868421052631579,0.5855263157894737,-0.39868421052631575,0.9378283712784586,0.8363368885619713,0.10149148271648734,0.9232758620689656,0.9801724137931035,-0.05689655172413788,0.9331040154264972,0.889722663339383,0.043381352087114244,0.9722067940438386,0.9476142319483434,0.024592562095495207
banking77,0.25,100,mogb_minilm,0.9308176100628932,0.9044910766817024,0.026326533381190842,0.7976710049892831,0.5420944839644022,0.25557652102488093,0.7906632889327773,0.5230209790845443,0.267642309848233,0.8918831168831168,0.8412337662337662,0.05064935064935061,0.8092105263157895,0.3776315789473684,0.4315789473684211,0.075,0.0060344827586206,0.06896551724137939,0.1907894736842105,0.6223684210526316,-0.43157894736842106,0.9367088607594939,0.8297948902482908,0.1069139705112031,0.925,0.9939655172413794,-0.06896551724137934,0.9305064655172413,0.8788242967332125,0.05168216878402876,0.9694606522842194,0.943364998588182,0.02609565369603739
banking77,0.25,123,mogb_minilm,0.8867710460630814,0.9010292953285828,-0.014258249265501344,0.7498148479796339,0.5581741558238851,0.19164069215574886,0.7426066270278735,0.5401291484815326,0.2024774785463409,0.837012987012987,0.8376623376623377,-0.0006493506493506773,0.825,0.4,0.42499999999999993,0.1577586206896551,0.0189655172413793,0.1387931034482758,0.175,0.6,-0.425,0.9362721609966457,0.8330893118594437,0.10318284913720199,0.8422413793103449,0.9810344827586207,-0.13879310344827578,0.8983904264972776,0.8858025181488203,0.012587908348457355,0.9567111504764728,0.944132023551134,0.012579126925338802
banking77,0.5,13,mogb_minilm,0.8462021343377275,0.7496965282835639,0.09650560605416358,0.8199086432567366,0.4863692965093084,0.33353934674742824,0.819216709280921,0.479439632515249,0.33977707676567204,0.8314935064935065,0.6646103896103897,0.16688311688311686,0.8171052631578948,0.3322368421052631,0.48486842105263167,0.1358974358974359,0.0102564102564102,0.1256410256410257,0.1828947368421052,0.6677631578947368,-0.4848684210526316,0.8290282902829027,0.6033606877686595,0.22566760251424323,0.8641025641025641,0.9897435897435898,-0.12564102564102564,0.911104504048583,0.8481039136302294,0.0630005904183536,0.8997160473749267,0.8088798253683434,0.09083622200658337
banking77,0.5,42,mogb_minilm,0.8414403032217309,0.7435712569093967,0.09786904631233417,0.8168639763258652,0.4544525439718033,0.36241143235406187,0.8162172308812371,0.446844156789235,0.3693730740920021,0.824025974025974,0.6532467532467533,0.1707792207792207,0.8197368421052631,0.306578947368421,0.513157894736842,0.1461538461538461,0.0083333333333333,0.1378205128205128,0.1802631578947368,0.6934210526315789,-0.5131578947368421,0.8293897882938978,0.5947712418300652,0.2346185464638325,0.8538461538461539,0.9916666666666667,-0.13782051282051277,0.9006448211875844,0.8298523954116059,0.07079242577597844,0.8851886213770147,0.7726589961195081,0.11252962525750665
banking77,0.5,87,mogb_minilm,0.8554480174836091,0.7592275727206063,0.09622044476300284,0.8324583407388371,0.511439502557496,0.321018838181341,0.8318533492455537,0.5049187638689931,0.3269345853765605,0.839935064935065,0.6795454545454546,0.16038961038961042,0.8203947368421053,0.3565789473684211,0.4638157894736842,0.1217948717948717,0.0044871794871794,0.1173076923076923,0.1796052631578947,0.6434210526315789,-0.4638157894736842,0.8338405356055995,0.6135914658237851,0.22024906978181436,0.8782051282051283,0.9955128205128206,-0.11730769230769234,0.9123578778677464,0.8420888157894736,0.07026906207827277,0.8918112259260201,0.7785285142001181,0.11328271172590199
banking77,0.5,100,mogb_minilm,0.8259473346178549,0.7444901913296198,0.08145714328823506,0.8064088330915219,0.4681933295043734,0.33821550358714847,0.8058946619987237,0.4609223594563406,0.34497230254238315,0.8107142857142857,0.6561688311688312,0.15454545454545454,0.8236842105263158,0.3210526315789473,0.5026315789473685,0.1756410256410256,0.0147435897435897,0.1608974358974359,0.1763157894736842,0.6789473684210526,-0.5026315789473684,0.8275418275418275,0.5982872713117945,0.229254556230033,0.8243589743589744,0.9852564102564103,-0.16089743589743588,0.8979318488529016,0.8173414304993253,0.08059041835357628,0.8847468854188911,0.773111002756248,0.11163588266264313
banking77,0.5,123,mogb_minilm,0.809165302782324,0.7526987242394504,0.056466578542873624,0.8080381054482829,0.5095860938475171,0.29845201160076584,0.8080084423605449,0.5031883930477293,0.3048200493128156,0.8022727272727272,0.672077922077922,0.1301948051948052,0.8296052631578947,0.3539473684210527,0.47565789473684206,0.2076923076923077,0.0166666666666666,0.1910256410256411,0.1703947368421052,0.6460526315789473,-0.4756578947368421,0.8267558528428093,0.6096979332273449,0.2170579196154644,0.7923076923076923,0.9833333333333334,-0.19102564102564112,0.8850476551956815,0.8407211538461538,0.04432650134952776,0.8700534389761899,0.8025917980265235,0.06746164094966645
