dataset,kir,method,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,id_recall_mean,id_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std
banking77,0.25,mogb_minilm,0.9029919725157672,0.004345545482740943,0.5587572321670984,0.029774536226248104,0.5406396142540106,0.031148861337724744,0.8401948051948052,0.0074900845233082216,0.3997368421052631,0.022626223356528193,0.01499999999999994,0.0064106870491649265,0.6002631578947368,0.022626223356528186,0.8336117780827899,0.005264712226804774,0.9850000000000001,0.006410687049164912,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168
banking77,0.25,mogb_partition_ours_boundary,0.9205598966754222,0.004509605546132505,0.7114966831111289,0.03032860301737084,0.7004933560814293,0.03172498444892061,0.8742857142857142,0.007874297040858383,0.616842105263158,0.03248961052773283,0.0401724137931034,0.0047354979196455845,0.38315789473684203,0.03248961052773284,0.8844275379734023,0.008499005099133112,0.9598275862068967,0.004735497919645561,0.8916474591651543,0.012543410063866606,0.9504326276363961,0.006799150330955473
banking77,0.25,trainable_k1,0.9165382964914104,0.017976090268549384,0.7851015718978599,0.02562200500192768,0.7781838495508309,0.026107672824781616,0.8752597402597402,0.023364670465048185,0.8184210526315789,0.007784315504078432,0.10327586206896547,0.033607700850852316,0.18157894736842103,0.007784315504078434,0.9377864199848244,0.0016270181840715378,0.8967241379310344,0.033607700850852316,0.922975612522686,0.014044005787949693,0.9670141428061454,0.0059798894974264
banking77,0.5,mogb_minilm,0.7499368546965275,0.006406834213942418,0.48600815327809965,0.02507951184173857,0.47906266113550944,0.025582384875183526,0.6651298701298701,0.01093003941032308,0.33407894736842103,0.02139119217091644,0.01089743589743584,0.004902903378454608,0.6659210526315789,0.021391192170916395,0.6039417199923298,0.007788768250965191,0.9891025641025643,0.004902903378454606,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925
banking77,0.5,mogb_partition_ours_boundary,0.7939747596576892,0.007797331809627128,0.6480972658162543,0.019765373642870485,0.6442583843993744,0.0201208439280535,0.7438311688311688,0.011074712922604237,0.5218421052631579,0.020199618424305323,0.03499999999999994,0.008702380518741112,0.47815789473684206,0.020199618424305302,0.6744942599799193,0.009518814084548001,0.9650000000000001,0.008702380518741108,0.8545895748987855,0.009753977751105713,0.8139938584826117,0.01697217891876366
banking77,0.5,trainable_k1,0.8356406184886493,0.01825114454581141,0.8167355797722488,0.010483055215298541,0.816238078753396,0.010337099838880103,0.8216883116883118,0.015263884488375939,0.8221052631578948,0.004803082170643177,0.15743589743589742,0.034346055742052295,0.17789473684210522,0.004803082170643149,0.8293112589134074,0.0027505259964352756,0.8425641025641026,0.034346055742052295,0.9014173414304993,0.011115850513844113,0.8863032438146086,0.010931170548119639
banking77,0.75,mogb_minilm,0.4763444315858617,0.0041037737354307265,0.42392825044969384,0.016952957950860666,0.4230245231887255,0.01717652787796857,0.4599350649350649,0.009159067315142913,0.2876724137931034,0.012201397797159093,0.00763157894736838,0.003767847648230625,0.7123275862068965,0.012201397797159093,0.3133950399203348,0.0035621303984882907,0.9923684210526316,0.0037678476482306605,0.7977400181488203,0.020251212273134873,0.4766882118952923,0.03278835104006226
banking77,0.75,mogb_partition_ours_boundary,0.5313316683894659,0.005918725520325323,0.5860713489392462,0.023848313965377746,0.5870151365349321,0.02418144226771593,0.5781818181818181,0.014288296696932715,0.45862068965517244,0.024356308956183872,0.040526315789473646,0.019302232443044447,0.5413793103448276,0.024356308956183896,0.3674927271956665,0.007020207468936973,0.9594736842105263,0.01930223244304444,0.8104557622504537,0.017405568283162302,0.5045400009976453,0.03570777936063577
banking77,0.75,trainable_k1,0.6865343253584566,0.02708454008995989,0.8413111725848881,0.0077123704045817245,0.8439797389163782,0.0074778817530542505,0.7968831168831169,0.012071199777073513,0.8241379310344827,0.004054932698755789,0.1960526315789473,0.0458076189092874,0.1758620689655172,0.004054932698755768,0.5992579910432573,0.016250708879638073,0.8039473684210527,0.04580761890928738,0.8890411751361162,0.016986688566853328,0.6985107098502167,0.03324601660180583
clinc150,0.25,mogb_minilm,0.9238361040438375,0.0029534277865939165,0.5224035964713533,0.032761230904904334,0.5118395831141827,0.03354694706319405,0.8688771929824561,0.005504132586605538,0.37105263157894736,0.026693200095970083,0.006578947368420999,0.0021764729431227024,0.6289473684210527,0.02669320009597005,0.8633739679713853,0.004976878282898531,0.9934210526315791,0.0021764729431226837,0.9060657894736842,0.014568116456954692,0.963469654341278,0.00732799147890243
