dataset,kir,comparator,metric,n_seeds,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.25,mogb_minilm,oos_f1,5,0.013546323975643194,0.01714990125207737,-0.0013268531975006326,0.025287528778249514,4,0,1,20260725,10000
banking77,0.25,mogb_minilm,f1_all,5,0.22634433973076148,0.03133658633913606,0.20274250545732678,0.24994617400419622,5,0,0,20260725,10000
banking77,0.25,mogb_minilm,f1_k,5,0.23754423529682037,0.03222789636911127,0.2132126732380412,0.2618757973555995,5,0,0,20260725,10000
banking77,0.25,mogb_minilm,accuracy,5,0.03506493506493504,0.02235902972298851,0.016103896103896065,0.05058441558441558,4,0,1,20260725,10000
banking77,0.25,mogb_minilm,id_recall,5,0.41868421052631577,0.025093316146644635,0.39973684210526317,0.4376315789473685,5,0,0,20260725,10000
banking77,0.25,mogb_minilm,false_accept_rate,5,0.08827586206896551,0.031263225501021216,0.06560344827586209,0.11474137931034481,5,0,0,20260725,10000
banking77,0.25,mogb_minilm,false_reject_rate,5,-0.41868421052631577,0.02509331614664463,-0.4376315789473685,-0.39973684210526317,0,0,5,20260725,10000
banking77,0.25,mogb_minilm,oos_precision,5,0.10417464190203456,0.006002551001143458,0.09984249367465832,0.10920533700109918,5,0,0,20260725,10000
banking77,0.25,mogb_minilm,oos_recall,5,-0.08827586206896551,0.03126322550102122,-0.11474137931034481,-0.06560344827586206,0,0,5,20260725,10000
banking77,0.25,mogb_minilm,auroc,5,0.0539333030852994,0.03133062397437952,0.02886808076225047,0.08060719147005442,5,0,0,20260725,10000
banking77,0.25,mogb_minilm,aupr_oos,5,0.030821049912699516,0.01758435807845966,0.01866273981293971,0.047027754049799975,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,oos_f1,5,0.08570376379212186,0.017664379841200162,0.06947249699420391,0.09699394989919967,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,f1_all,5,0.33072742649414905,0.023472396101378898,0.31199210754911094,0.34835849639819105,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,f1_k,5,0.3371754176178867,0.023748650648110655,0.3180887709510626,0.3549661768836478,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,accuracy,5,0.15655844155844154,0.01598906482449432,0.1424025974025974,0.1671428571428571,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,id_recall,5,0.48802631578947375,0.019962525487089933,0.4727631578947368,0.5032894736842106,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,false_accept_rate,5,0.14653846153846156,0.029801143476907575,0.12474358974358975,0.17192307692307698,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,false_reject_rate,5,-0.48802631578947364,0.01996252548708994,-0.5032894736842105,-0.4727631578947368,0,0,5,20260725,10000
banking77,0.5,mogb_minilm,oos_precision,5,0.22536953892107753,0.00700051001017034,0.22005631626176014,0.23068276158039486,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,oos_recall,5,-0.14653846153846156,0.02980114347690758,-0.17192307692307698,-0.12474358974358975,0,0,5,20260725,10000
banking77,0.5,mogb_minilm,auroc,5,0.06579579959514177,0.013533302037405336,0.05470352564102576,0.07500818151147104,5,0,0,20260725,10000
banking77,0.5,mogb_minilm,aupr_oos,5,0.09914921652046031,0.020049415074893853,0.08129700588395497,0.11265211132589208,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,oos_f1,5,0.21018989377259484,0.02776370948821111,0.1909396252324563,0.2320886161454847,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,f1_all,5,0.41738292213519407,0.018386144778745454,0.4028365988765635,0.4319292453938247,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,f1_k,5,0.42095521572765265,0.018401149307039923,0.4063761592652906,0.4355342721900148,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,accuracy,5,0.33694805194805194,0.015573250870915807,0.3258441558441558,0.3486363636363635,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,id_recall,5,0.5364655172413793,0.013168085811828592,0.5253448275862069,0.5460344827586207,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,false_accept_rate,5,0.18842105263157893,0.0451739481954795,0.15263157894736845,0.22236842105263155,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,false_reject_rate,5,-0.5364655172413793,0.013168085811828592,-0.5460344827586207,-0.5253448275862069,0,0,5,20260725,10000
banking77,0.75,mogb_minilm,oos_precision,5,0.2858629511229225,0.017111395816406954,0.27520050372042,0.3003886313522159,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,oos_recall,5,-0.18842105263157896,0.045173948195479464,-0.22236842105263155,-0.1526315789473685,0,0,5,20260725,10000
banking77,0.75,mogb_minilm,auroc,5,0.09130115698729584,0.021564342539524675,0.07384789019963703,0.10594158348457357,5,0,0,20260725,10000
banking77,0.75,mogb_minilm,aupr_oos,5,0.22182249795492445,0.029550733405865916,0.20164470633591117,0.24658984984147203,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,oos_f1,5,0.027806639669319,0.005124942391131956,0.02427482255102793,0.03221747581658627,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,f1_all,5,0.2744957991824698,0.026948088532755644,0.25466798813778296,0.2964531371142353,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,f1_k,5,0.280987619169658,0.027588337582088913,0.2607165066535371,0.3035444633407388,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,accuracy,5,0.0519649122807017,0.008182287621267256,0.04610526315789469,0.058877192982456104,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,id_recall,5,0.36526315789473685,0.02306367061921234,0.34719298245614044,0.3828070175438597,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,false_accept_rate,5,0.02578947368421054,0.009852081990344761,0.01710526315789474,0.03280701754385968,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,false_reject_rate,5,-0.36526315789473685,0.0230636706192123,-0.38280701754385965,-0.34719298245614033,0,0,5,20260725,10000
clinc150,0.25,mogb_minilm,oos_precision,5,0.07282983285925337,0.0040985855097926075,0.06965836857044572,0.07585307753468992,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,oos_recall,5,-0.025789473684210563,0.009852081990344798,-0.03280701754385973,-0.017105263157894735,0,0,5,20260725,10000
clinc150,0.25,mogb_minilm,auroc,5,0.05278781932902445,0.008226376617470554,0.0462796629732227,0.05929597568482621,5,0,0,20260725,10000
clinc150,0.25,mogb_minilm,aupr_oos,5,0.024153303485638555,0.006205277005353495,0.019343513901396638,0.028963093069880475,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,oos_f1,5,0.09119903794751208,0.002648807906349657,0.08905364659359657,0.09305626579360834,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,f1_all,5,0.36862816558049366,0.011409693469170147,0.3591524288707181,0.3771021059978634,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,f1_k,5,0.37232722061560014,0.01156416876606359,0.36271922045132976,0.38091445965362736,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,accuracy,5,0.1496140350877193,0.0035640384341344747,0.1473684210526316,0.15263157894736845,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,id_recall,5,0.4287111111111111,0.012635829910649503,0.4187555555555555,0.4381333333333333,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,false_accept_rate,5,0.027884057971014498,0.007595640974581722,0.0222608695652174,0.03408695652173914,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,false_reject_rate,5,-0.4287111111111111,0.012635829910649495,-0.4381333333333334,-0.4187555555555556,0,0,5,20260725,10000
clinc150,0.5,mogb_minilm,oos_precision,5,0.1629490810712479,0.0032862962557260503,0.16021171505955373,0.16540954005602432,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,oos_recall,5,-0.027884057971014474,0.0075956409745817225,-0.03408695652173912,-0.02226086956521738,0,0,5,20260725,10000
clinc150,0.5,mogb_minilm,auroc,5,0.07685768760064411,0.011125221819073711,0.06848497262479884,0.08685060225442824,5,0,0,20260725,10000
clinc150,0.5,mogb_minilm,aupr_oos,5,0.0816645060450391,0.01125900500669526,0.07383346846564494,0.09109627978088923,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,oos_f1,5,0.169177800446872,0.0023994656141041004,0.1675164026057816,0.17131080669183088,5,0,0,20260725,10000
