method,oos_f1_mean,f1_all_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,auroc_mean,aupr_oos_mean,n_seeds
fixed_k2,0.6764813688704443,0.7680702640586476,0.9362222222222223,0.4525555555555556,0.06377777777777778,0.8945461851851851,0.8753872833336821,3
frozen_k1,0.7728960941964712,0.7859760162154994,0.8371111111111111,0.2654444444444444,0.1628888888888889,0.8819071851851851,0.8468439295787179,3
mogb_fair,0.7319230108919895,0.45147177379195486,0.28344444444444444,0.009222222222222222,0.7165555555555555,0.8570229629629629,0.7982920784390611,3
trainable_k1,0.8670909818700716,0.856539550407569,0.8392222222222222,0.11144444444444446,0.16077777777777777,0.9175099999999999,0.8877708242406266,3
