method,seed,point,fpr,tpr,threshold
fixed_k2,13,189,0.6846666666666666,0.985,0.7302040433487009
fixed_k2,13,190,0.6943333333333334,0.9866666666666667,0.728246227105258
fixed_k2,13,191,0.7016666666666667,0.988,0.7269681294530183
fixed_k2,13,192,0.7146666666666667,0.989,0.7242985563312239
fixed_k2,13,193,0.752,0.9906666666666667,0.715724365867137
fixed_k2,13,194,0.7736666666666666,0.992,0.7102977115965979
fixed_k2,13,195,0.8156666666666667,0.9936666666666667,0.69981770710816
fixed_k2,13,196,0.842,0.995,0.6924055645974698
fixed_k2,13,197,0.8606666666666667,0.9963333333333333,0.6850118115073476
fixed_k2,13,198,0.9286666666666666,0.9973333333333333,0.6571131467150749
fixed_k2,13,199,0.9466666666666667,0.9986666666666667,0.6417038454292273
fixed_k2,13,200,1.0,1.0,0.43603836318866285
fixed_k2,42,0,0.0,0.0,inf
fixed_k2,42,1,0.0006666666666666666,0.060333333333333336,1.2456365292828528
fixed_k2,42,2,0.002,0.14633333333333334,1.1942508338496423
fixed_k2,42,3,0.003,0.17066666666666666,1.182813067007306
fixed_k2,42,4,0.004333333333333333,0.193,1.1727321970991402
fixed_k2,42,5,0.005333333333333333,0.21966666666666668,1.1625705231283134
fixed_k2,42,6,0.006666666666666667,0.23766666666666666,1.1545548269082009
fixed_k2,42,7,0.007666666666666666,0.256,1.1485213334687576
fixed_k2,42,8,0.009,0.26366666666666666,1.1444354680227542
fixed_k2,42,9,0.009666666666666667,0.285,1.1371997593752015
fixed_k2,42,10,0.011333333333333334,0.29933333333333334,1.1319221835124404
fixed_k2,42,11,0.012333333333333333,0.31566666666666665,1.12482317374366
fixed_k2,42,12,0.013666666666666667,0.3273333333333333,1.1206113053266316
fixed_k2,42,13,0.014666666666666666,0.3426666666666667,1.1145742330058015
fixed_k2,42,14,0.016,0.3526666666666667,1.1098253933692672
fixed_k2,42,15,0.017,0.36766666666666664,1.103815592150697
fixed_k2,42,16,0.018333333333333333,0.39166666666666666,1.0962350773692877
