Known,Open,F1-score,Accuracy,dataset,known_cls_ratio,labeled_ratio,seed,source
35.1217,71.5217,38.4308,60.58,stackoverflow,0.5,1.0,123,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_123/results/results.csv
37.2067,71.968,40.3668,61.27,stackoverflow,0.5,1.0,13,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_13/results/results.csv
39.8639,72.5564,42.8359,62.37,stackoverflow,0.5,1.0,100,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_100/results/results.csv
37.4249,71.9309,40.5618,61.27,stackoverflow,0.5,1.0,42,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_42/results/results.csv
38.3409,72.2792,41.4262,61.95,stackoverflow,0.5,1.0,87,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_87/results/results.csv
