known_recall,oos_recall,false_accept_rate,false_reject_rate,oos_f1,oos_precision,auroc,aupr_oos,f1_all,f1_k,accuracy,dataset,kir,seed,method,method_label,target_known_recall,diagnostic_threshold,source_prediction_path,diagnostic_only,threshold_source
0.9,0.3978448275862069,0.6021551724137931,0.1,0.5561916239831275,0.923923923923924,,,,,,banking77,0.25,13,mogb_minilm,MOGB-MiniLM,0.9,1.647183056196418,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.9,0.5620689655172414,0.4379310344827586,0.1,0.7048648648648649,0.9449275362318841,,,,,,banking77,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,1.371841608305591,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.9,0.6017241379310345,0.39827586206896554,0.1,0.7362869198312236,0.9483695652173914,,,,,,banking77,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,1.268667736306585,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.9,0.680603448275862,0.31939655172413794,0.1,0.7944654088050315,0.9540785498489426,,,,,,banking77,0.25,13,random_partition,Random partition,0.9,1.0355618869042735,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.9,0.6741379310344827,0.3258620689655172,0.1,0.7898989898989899,0.9536585365853658,,,,,,banking77,0.25,13,single_centroid,Frozen single centroid,0.9,1.043506282168414,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.9,0.7866379310344828,0.21336206896551724,0.1,0.8647239990523573,0.9600210415570752,,,,,,banking77,0.25,13,trainable_k1,Trainable MiniLM K=1,0.9,1.068930283411962,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_13/predictions.jsonl,True,test_known_scores_posthoc
0.95,0.49698275862068964,0.5030172413793104,0.05,0.6567929364853318,0.9680940386230059,,,,,,banking77,0.25,13,fixed_k2,Frozen fixed K=2,0.95,1.1362912566269214,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.95,0.19181034482758622,0.8081896551724138,0.05,0.3175169461291473,0.9213250517598344,,,,,,banking77,0.25,13,mogb_minilm,MOGB-MiniLM,0.95,1.8296799611940209,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.95,0.40344827586206894,0.596551724137931,0.05,0.5683060109289617,0.9609856262833676,,,,,,banking77,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,1.4457983798469192,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.95,0.46293103448275863,0.5370689655172414,0.05,0.6258741258741258,0.9658273381294964,,,,,,banking77,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,1.3636710974950903,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.95,0.5508620689655173,0.44913793103448274,0.05,0.7029702970297029,0.9711246200607903,,,,,,banking77,0.25,13,random_partition,Random partition,0.95,1.0901559583794898,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.95,0.5487068965517241,0.4512931034482759,0.05,0.7011842467639768,0.9710144927536232,,,,,,banking77,0.25,13,single_centroid,Frozen single centroid,0.95,1.0949737175506231,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.95,0.615948275862069,0.38405172413793104,0.05,0.7546870874042778,0.9740967961826857,,,,,,banking77,0.25,13,trainable_k1,Trainable MiniLM K=1,0.95,1.138401596724786,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_13/predictions.jsonl,True,test_known_scores_posthoc
0.75,0.9168103448275862,0.08318965517241379,0.25,0.9174034936381281,0.9179974104445403,,,,,,banking77,0.25,42,fixed_k2,Frozen fixed K=2,0.75,0.9273427016131324,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
