dataset,kir,seed,representation,k,distance,boundary,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,method,supervision,protocol_version,metrics_path
banking77,0.75,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.582798459563543,,,,0.8517241379310345,0.4026315789473684,0.1482758620689655,0.8305365245009074,0.5717198846903272,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__banking77__kir_0.75__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
banking77,0.75,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.6482504604051565,,,,0.8530172413793103,0.30526315789473685,0.14698275862068966,0.8655024954627948,0.6246403013347436,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__banking77__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
banking77,0.75,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.6253101736972705,,,,0.85,0.3368421052631579,0.15,0.8446580081669692,0.6007758461881284,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__banking77__kir_0.75__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
banking77,0.75,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.6064434617814277,,,,0.8521551724137931,0.3684210526315789,0.1478448275862069,0.8365970961887478,0.5848990167763781,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__banking77__kir_0.75__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
banking77,0.75,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.6227848101265823,,,,0.8586206896551725,0.3526315789473684,0.1413793103448276,0.8487420598911072,0.6201264074004333,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__banking77__kir_0.75__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.25,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.9484446378072656,,,,0.7596491228070176,0.043859649122807015,0.24035087719298245,0.9380728685749461,0.977102528370105,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.25,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.9436910057502441,,,,0.7298245614035088,0.0462719298245614,0.27017543859649124,0.9305178516466606,0.9748044838736667,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.25,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.9414463622460126,,,,0.75,0.055043859649122805,0.25,0.9325144275161589,0.9773204783573202,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.25,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.9568027577291823,,,,0.7526315789473684,0.026096491228070177,0.24736842105263157,0.9561803631886734,0.9835749856344475,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.25,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.9452801395247439,,,,0.756140350877193,0.04912280701754386,0.24385964912280703,0.9478322176054171,0.9845994441682989,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
