dataset,kir,frozen_known_f1,trainable_known_f1,delta_known_f1,frozen_oos_f1,trainable_oos_f1,delta_oos_f1,frozen_accuracy,trainable_accuracy,delta_accuracy,frozen_known_recall,trainable_known_recall,delta_known_recall,frozen_false_acceptance,trainable_false_acceptance,delta_false_acceptance
clinc150,0.25,72.87265756821618,75.38818167958338,2.515524111367199,94.29344084653135,95.09719525763333,0.803754411101977,89.83030303030303,91.1939393939394,1.363636363636374,73.6842105263158,73.12865497076024,-0.5555555555555571,4.655963302752294,2.9740061162079514,-1.6819571865443428
clinc150,0.5,74.93508776051392,76.97856910794818,2.043481347434252,88.02432322955465,89.49743271714658,1.4731094875919268,83.07878787878788,84.95757575757575,1.8787878787878753,73.67407407407407,73.43703703703703,-0.23703703703704093,7.056410256410255,4.112820512820512,-2.943589743589743
clinc150,0.75,76.43421602542611,78.05418310826064,1.6199670828345347,78.95486942872648,80.79670665609406,1.8418372273675772,77.75757575757576,79.56363636363636,1.8060606060605977,74.81150793650794,73.82936507936509,-0.982142857142847,8.95638629283489,4.361370716510903,-4.595015576323988
stackoverflow,0.25,79.19866689457409,82.60866910952065,3.4100022149465588,93.85207147185749,95.37650825651619,1.524436784658704,89.30439621591542,91.58041179744018,2.27601558152476,83.0740114394298,83.56359698721789,0.4895855477880957,6.542726616269362,3.8273553311914874,-2.7153712850778744
stackoverflow,0.5,75.50390703360445,83.38059194601627,7.876684912411818,79.02195715008881,88.78386146524718,9.761904315158375,76.73900946021146,85.89315525876461,9.154145798553145,83.22375535749171,83.71372072092457,0.4899653634328587,23.52478446894694,7.09969882676667,-16.42508564218027
stackoverflow,0.75,78.899037309103,84.24431983936319,5.345282530260192,63.133919131136864,75.16147502152333,12.027555890386466,75.16972732331664,81.91986644407346,6.7501391207568275,83.59178314918864,83.10941606899202,-0.48236708019662444,31.0098515911075,9.21228714934873,-21.797564441758766
banking77_oos,0.25,60.56822997026721,62.8293012074665,2.261071237199289,91.57798459993336,92.57821477215701,1.0002301722236524,85.32679738562092,86.91176470588235,1.584967320261427,86.38888888888889,84.375,-2.0138888888888857,14.0,12.00925925925926,-1.9907407407407405
banking77_oos,0.5,62.433166260341906,65.8631382690677,3.429972008725798,84.82265965039684,88.47079648636533,3.6481368359684865,76.7483660130719,81.25,4.501633986928098,88.83333333333334,85.46666666666667,-3.3666666666666742,23.658008658008658,16.926406926406926,-6.731601731601732
banking77_oos,0.75,67.92689929369345,70.09187255481787,2.164973261124416,83.55006510944841,86.60493396225401,3.0548688528055976,76.16013071895425,79.44444444444444,3.2843137254901933,89.89035087719299,86.57894736842105,-3.3114035087719316,23.906250000000004,17.5390625,-6.3671875000000036
