dataset,kir,gate,seed_count,known_f1_mean,known_f1_std,oos_f1_mean,oos_f1_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_acceptance_mean,false_acceptance_std,router_error_mean,expert_error_mean
banking77_oos,0.25,frozen_k1,3,60.56822997026721,2.7548843757606836,91.57798459993336,0.6507809663401812,85.32679738562092,1.0699183704010478,86.38888888888889,3.1472969982290704,14.0,0.840096016460279,0.0,7.071126318322957
banking77_oos,0.25,trainable_k1,3,62.8293012074665,2.4110771135512197,92.57821477215701,0.8930484584661555,86.91176470588235,1.3625922705483247,84.375,3.12268432721071,12.00925925925926,1.632730635422256,0.0,6.6119941431001745
banking77_oos,0.5,frozen_k1,3,62.433166260341906,1.058388938392467,84.82265965039684,1.1783154962056606,76.7483660130719,1.2954435506453785,88.83333333333334,1.463633226673344,23.658008658008658,2.1641233434736367,0.0,12.205774537003983
banking77_oos,0.5,trainable_k1,3,65.8631382690677,1.2870322736230155,88.47079648636533,0.6707218594052042,81.25,0.7207160528673491,85.46666666666667,1.5326085243430214,16.926406926406926,1.0918406316139895,0.0,11.51270239687797
banking77_oos,0.75,frozen_k1,3,67.92689929369345,0.970161243662819,83.55006510944841,1.766708883013276,76.16013071895425,1.6793936091974337,89.89035087719299,1.0225037918311255,23.906250000000004,2.7449572016813866,0.0,15.148728620538709
banking77_oos,0.75,trainable_k1,3,70.09187255481787,0.25337062426612833,86.60493396225401,0.4235873133797116,79.44444444444444,0.38302967874937965,86.57894736842105,0.7615682172888248,17.5390625,0.4910080113272084,0.0,14.106979227313797
clinc150,0.25,frozen_k1,3,72.87265756821618,1.9031682222293835,94.29344084653135,0.288060423642294,89.83030303030303,0.17333757146757242,73.6842105263158,1.675109425427194,4.655963302752294,0.8825557737439389,2.474373379195721,4.281646979167903
clinc150,0.25,trainable_k1,3,75.38818167958338,1.6499806246772442,95.09719525763333,0.30243724323304105,91.1939393939394,0.27467319257272405,73.12865497076024,1.9775249612761336,2.9740061162079514,1.0109681952581626,2.0938266628848385,3.757246430899528
clinc150,0.5,frozen_k1,3,74.93508776051392,0.9352715523905147,88.02432322955465,0.818851019368937,83.07878787878788,0.9493315999612703,73.67407407407407,0.734193285532671,7.056410256410255,1.2582404252702866,2.695940754970041,3.8779965407854298
clinc150,0.5,trainable_k1,3,76.97856910794818,0.9202380020966309,89.49743271714658,0.6836686892578306,84.95757575757575,0.8052627630401283,73.43703703703703,0.9644433065931729,4.112820512820512,0.9080254350314408,2.36067712696506,3.4459535861808264
clinc150,0.75,frozen_k1,3,76.43421602542611,0.2898462040496934,78.95486942872648,0.9112096541793335,77.75757575757576,0.6058181333139281,74.81150793650794,0.3647773077549624,8.95638629283489,2.077323412809762,3.022586461477151,4.350251163680804
clinc150,0.75,trainable_k1,3,78.05418310826064,0.3813556455014965,80.79670665609406,0.6560406269613531,79.56363636363636,0.5080075052047474,73.82936507936509,0.14647641924834923,4.361370716510903,1.2782079899644012,2.4322142131589968,3.6676362900048645
stackoverflow,0.25,frozen_k1,3,79.19866689457409,4.910271626720546,93.85207147185749,1.9976107006690613,89.30439621591542,3.004523961867171,83.0740114394298,1.5320525054229068,6.542726616269362,3.398224557852098,0.0,7.544634376828755
stackoverflow,0.25,trainable_k1,3,82.60866910952065,0.13424081885882333,95.37650825651619,1.0168279766250545,91.58041179744018,0.9180789455487742,83.56359698721789,0.1857794065026225,3.8273553311914874,2.0031578781247084,0.0,6.9059992863547786
stackoverflow,0.5,frozen_k1,3,75.50390703360445,2.368101713359925,79.02195715008881,3.7795728470675507,76.73900946021146,3.0759671692546964,83.22375535749171,0.26896438851852544,23.52478446894694,6.304924978627191,0.0,7.474002449432536
stackoverflow,0.5,trainable_k1,3,83.38059194601627,1.600210342948958,88.78386146524718,2.209088880894549,85.89315525876461,1.804292703670831,83.71372072092457,0.21743896397308918,7.09969882676667,3.97936633093786,0.0,5.768738678294655
stackoverflow,0.75,frozen_k1,3,78.899037309103,1.4239977498148433,63.133919131136864,4.3982884606073185,75.16972732331664,1.940889628660042,83.59178314918864,0.36049661328447835,31.0098515911075,6.413536806232412,0.0,7.609024056277726
stackoverflow,0.75,trainable_k1,3,84.24431983936319,0.9144315298954565,75.16147502152333,2.3584382358528324,81.91986644407346,0.9567948504036017,83.10941606899202,0.22333620934717108,9.21228714934873,4.795198672051383,0.0,4.9948894692244314
