dataset,kir,seed,recipe,coverage_target,k,distance,boundary,rule,fusion,fusion_weight,threshold,f1_u,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
stackoverflow,0.5,13,no_projection,0.75,1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,2.0,1.5344420113939596,0.8744255003706449,0.8170239080356456,0.8539232053422371,0.7323097463284379,0.01503006012024048,0.2676902536715621,0.9190156012960501,0.871799678470217
stackoverflow,0.5,42,no_projection,0.75,1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,2.0,1.5122257326386233,0.8845011876484561,0.8251531209970484,0.8652754590984975,0.7460741730704978,0.006006006006006006,0.25392582692950216,0.9387052717044921,0.9027447631984897
stackoverflow,0.5,87,no_projection,0.75,1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,2.0,1.5425756568946452,0.8753562321883905,0.838632958348534,0.8604340567612688,0.748496993987976,0.0260347129506008,0.251503006012024,0.9003372789192091,0.8405091251580228
stackoverflow,0.25,13,existing,0.75,3,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.6682744271646552,0.9543364346059245,0.8072633090678123,0.923873121869783,0.7349799732977303,0.006678539626001781,0.2650200267022697,0.9280832442663237,0.9581529510335356
stackoverflow,0.25,42,existing,0.75,3,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.7036968051350185,0.9497158786319289,0.7901260389147847,0.9163606010016695,0.7294589178356713,0.01424438014689517,0.27054108216432865,0.9154181945016229,0.9548426441081288
stackoverflow,0.25,87,existing,0.75,3,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.3793763970143311,0.9369487095720352,0.8000271961720751,0.9030050083472454,0.7418060200668897,0.04293659621802002,0.2581939799331104,0.9263306312104493,0.9638266039712295
stackoverflow,0.75,13,no_projection,0.75,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,4.286809378662888,0.7078922040423484,0.8272770084236297,0.7924874791318864,0.7359162769984413,0.018679119412941963,0.2640837230015587,0.90712683242105,0.6729899306798518
stackoverflow,0.75,42,no_projection,0.75,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,4.129052726913182,0.7136690647482015,0.8241542095985831,0.7948247078464107,0.736584279670452,0.00733822548365577,0.26341572032954796,0.9320140540513241,0.7283353045424459
stackoverflow,0.75,87,no_projection,0.75,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,2.788511272528539,0.7116177540625758,0.841661403202385,0.7994991652754591,0.7420431782773202,0.02004008016032064,0.2579568217226797,0.8853229866513946,0.585746126505558
