dataset,kir,n_seeds,net_known_correct_gain_mean,net_known_correct_gain_std,net_oos_correct_gain_mean,net_oos_correct_gain_std,net_total_correct_gain_mean,net_total_correct_gain_std,f1_all_delta_pp_mean,f1_all_delta_pp_std,known_gain_positive_seeds,oos_gain_positive_seeds,total_gain_positive_seeds
clinc150,0.25,5,413.8,26.376125568399917,-117.6,44.92549387597202,296.2,46.63903944122348,27.44957991824699,2.69480885327556,5,0,5
clinc150,0.5,5,949.0,24.20743687382041,-96.2,26.204961362306946,852.8,20.31501907456648,36.86281655804936,1.1409693469170163,5,0,5
clinc150,0.75,5,1513.4,20.767763480933617,-74.6,10.237187113655782,1438.8,21.77613372479146,41.11536689108507,1.0716116633297683,5,0,5
banking77,0.25,5,312.8,15.006665185843255,-204.8,72.53068316236929,108.0,68.86581154680457,22.63443397307615,3.1336586339136026,5,0,4
banking77,0.5,5,710.8,24.78305872970485,-228.6,46.48978382397578,482.2,49.24631965944257,33.072742649414906,2.347239610137886,5,0,5
banking77,0.75,5,1181.0,26.504716561397142,-143.2,34.332200628564436,1037.8,47.965612682420726,41.738292213519415,1.838614477874548,5,0,5
stackoverflow,0.25,5,767.8,72.43410798788096,-131.0,87.75819050094412,636.8,120.8333563218369,33.56688196655214,5.135451336573526,5,0,5
stackoverflow,0.5,5,1681.8,84.04582083601778,-256.4,90.43671820671071,1425.4,136.32791350270128,43.25273812644579,4.267434671428842,5,0,5
stackoverflow,0.75,5,2755.2,98.19979633380102,-122.0,83.39364484179835,2633.2,108.57117481173351,54.18678928158714,2.5918955930706766,5,0,5
