method,method_label,intent,known_count_mean,known_false_reject_mean,known_false_reject_rate_mean,oos_false_accept_mean,oos_false_accept_rate_mean
fixed_k2,Frozen K=2,ajax,300.0,45.333333333333336,0.1511111111111111,104.66666666666667,0.034888888888888886
fixed_k2,Frozen K=2,apache,300.0,40.0,0.13333333333333333,35.0,0.011666666666666667
fixed_k2,Frozen K=2,bash,300.0,37.0,0.12333333333333334,23.0,0.007666666666666666
fixed_k2,Frozen K=2,cocoa,300.0,57.0,0.19,536.0,0.17866666666666667
fixed_k2,Frozen K=2,drupal,300.0,45.0,0.15000000000000002,326.5,0.10883333333333334
fixed_k2,Frozen K=2,excel,300.0,33.75,0.1125,8.0,0.002666666666666667
fixed_k2,Frozen K=2,haskell,300.0,57.0,0.19,185.0,0.06166666666666667
fixed_k2,Frozen K=2,hibernate,300.0,27.666666666666668,0.09222222222222222,28.333333333333332,0.009444444444444445
fixed_k2,Frozen K=2,linq,300.0,18.75,0.0625,0.0,0.0
fixed_k2,Frozen K=2,magento,300.0,60.0,0.2,255.0,0.085
fixed_k2,Frozen K=2,oracle,300.0,36.75,0.1225,11.5,0.0038333333333333336
fixed_k2,Frozen K=2,osx,300.0,42.0,0.14,364.0,0.12133333333333333
fixed_k2,Frozen K=2,qt,300.0,23.0,0.07666666666666666,5.5,0.0018333333333333335
fixed_k2,Frozen K=2,scala,300.0,45.75,0.1525,337.0,0.11233333333333334
fixed_k2,Frozen K=2,sharepoint,300.0,52.0,0.17333333333333334,470.0,0.15666666666666665
fixed_k2,Frozen K=2,spring,300.0,43.0,0.14333333333333334,342.5,0.11416666666666667
fixed_k2,Frozen K=2,svn,300.0,37.25,0.12416666666666666,3.5,0.0011666666666666668
fixed_k2,Frozen K=2,visual-studio,300.0,40.5,0.135,21.5,0.007166666666666667
fixed_k2,Frozen K=2,wordpress,300.0,51.5,0.17166666666666666,101.5,0.03383333333333333
mogb_minilm,MOGB-MiniLM,ajax,300.0,212.33333333333334,0.7077777777777777,3.0,0.001
mogb_minilm,MOGB-MiniLM,apache,300.0,219.75,0.7324999999999999,2.75,0.0009166666666666666
mogb_minilm,MOGB-MiniLM,bash,300.0,245.0,0.8166666666666667,0.0,0.0
mogb_minilm,MOGB-MiniLM,cocoa,300.0,210.0,0.7,11.0,0.0036666666666666666
mogb_minilm,MOGB-MiniLM,drupal,300.0,285.0,0.95,0.5,0.00016666666666666666
mogb_minilm,MOGB-MiniLM,excel,300.0,228.0,0.76,0.75,0.00025
mogb_minilm,MOGB-MiniLM,haskell,300.0,193.0,0.6433333333333333,0.0,0.0
mogb_minilm,MOGB-MiniLM,hibernate,300.0,185.33333333333334,0.6177777777777779,7.333333333333333,0.002444444444444445
mogb_minilm,MOGB-MiniLM,linq,300.0,186.75,0.6224999999999999,0.0,0.0
mogb_minilm,MOGB-MiniLM,magento,300.0,294.0,0.98,0.0,0.0
mogb_minilm,MOGB-MiniLM,oracle,300.0,218.75,0.7291666666666667,0.5,0.00016666666666666666
mogb_minilm,MOGB-MiniLM,osx,300.0,237.0,0.79,12.333333333333334,0.004111111111111111
mogb_minilm,MOGB-MiniLM,qt,300.0,180.0,0.6000000000000001,1.0,0.0003333333333333333
mogb_minilm,MOGB-MiniLM,scala,300.0,185.0,0.6166666666666667,0.25,8.333333333333333e-05
mogb_minilm,MOGB-MiniLM,sharepoint,300.0,296.3333333333333,0.9877777777777778,0.3333333333333333,0.0001111111111111111
mogb_minilm,MOGB-MiniLM,spring,300.0,183.5,0.6116666666666666,6.5,0.0021666666666666666
mogb_minilm,MOGB-MiniLM,svn,300.0,184.0,0.6133333333333333,1.25,0.00041666666666666664
mogb_minilm,MOGB-MiniLM,visual-studio,300.0,220.5,0.7350000000000001,0.5,0.00016666666666666666
mogb_minilm,MOGB-MiniLM,wordpress,300.0,287.0,0.9566666666666667,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,ajax,300.0,141.0,0.47,5.333333333333333,0.001777777777777778
mogb_partition_ours_boundary,MOGB partition + ours,apache,300.0,156.75,0.5225,6.5,0.0021666666666666666
mogb_partition_ours_boundary,MOGB partition + ours,bash,300.0,176.0,0.5866666666666667,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,cocoa,300.0,137.0,0.45666666666666667,21.0,0.007
mogb_partition_ours_boundary,MOGB partition + ours,drupal,300.0,285.5,0.9516666666666667,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,excel,300.0,144.0,0.48,3.25,0.0010833333333333333
mogb_partition_ours_boundary,MOGB partition + ours,haskell,300.0,95.0,0.31666666666666665,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,hibernate,300.0,84.66666666666667,0.2822222222222222,15.666666666666666,0.005222222222222223
mogb_partition_ours_boundary,MOGB partition + ours,linq,300.0,84.25,0.2808333333333333,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,magento,300.0,289.0,0.9633333333333334,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,oracle,300.0,137.25,0.4575,1.5,0.0005
mogb_partition_ours_boundary,MOGB partition + ours,osx,300.0,175.0,0.5833333333333334,35.666666666666664,0.011888888888888888
mogb_partition_ours_boundary,MOGB partition + ours,qt,300.0,85.5,0.28500000000000003,2.5,0.0008333333333333333
mogb_partition_ours_boundary,MOGB partition + ours,scala,300.0,100.0,0.3333333333333333,0.25,8.333333333333333e-05
mogb_partition_ours_boundary,MOGB partition + ours,sharepoint,300.0,296.6666666666667,0.9888888888888889,0.0,0.0
mogb_partition_ours_boundary,MOGB partition + ours,spring,300.0,95.0,0.31666666666666665,13.5,0.0045
mogb_partition_ours_boundary,MOGB partition + ours,svn,300.0,103.75,0.3458333333333333,1.5,0.0005
mogb_partition_ours_boundary,MOGB partition + ours,visual-studio,300.0,134.0,0.44666666666666666,2.0,0.0006666666666666666
mogb_partition_ours_boundary,MOGB partition + ours,wordpress,300.0,274.5,0.915,0.0,0.0
ours_partition_mogb_boundary,Ours partition + MOGB,ajax,300.0,141.33333333333334,0.4711111111111111,32.333333333333336,0.010777777777777777
ours_partition_mogb_boundary,Ours partition + MOGB,apache,300.0,125.25,0.4175,9.0,0.003
ours_partition_mogb_boundary,Ours partition + MOGB,bash,300.0,138.0,0.46,0.0,0.0
ours_partition_mogb_boundary,Ours partition + MOGB,cocoa,300.0,149.0,0.49666666666666665,174.0,0.058
ours_partition_mogb_boundary,Ours partition + MOGB,drupal,300.0,180.5,0.6016666666666667,77.5,0.025833333333333333
ours_partition_mogb_boundary,Ours partition + MOGB,excel,300.0,143.5,0.47833333333333333,3.25,0.0010833333333333333
ours_partition_mogb_boundary,Ours partition + MOGB,haskell,300.0,165.0,0.55,25.0,0.008333333333333333
ours_partition_mogb_boundary,Ours partition + MOGB,hibernate,300.0,106.0,0.35333333333333333,15.333333333333334,0.005111111111111111
