dataset,kir,seed,method,method_label,n_samples,oos_f1,known_recall,false_accept_rate,false_reject_rate,threshold,source_prediction_path,source_metric_oos_f1,source_metric_known_recall,score_vs_source_oos_f1_delta,score_vs_source_known_recall_delta
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,6000,0.7312277252058498,0.2793333333333333,0.008333333333333333,0.7206666666666667,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_87/mogb_minilm/predictions.tsv,0.7312277252058498,0.2793333333333333,0.0,0.0
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,6000,0.7937711577522004,0.5153333333333333,0.023,0.4846666666666667,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_87/mogb_partition_ours_boundary/predictions.tsv,0.7937711577522004,0.5153333333333333,0.0,0.0
stackoverflow,0.5,87,ours_partition_mogb_boundary,Ours partition + MOGB,6000,0.7413071706824412,0.546,0.14366666666666666,0.454,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_87/ours_partition_mogb_boundary/predictions.tsv,0.7413071706824412,0.546,0.0,0.0
stackoverflow,0.5,100,trainable_k1,Trainable K=1,6000,0.9016032694121345,0.8353333333333334,0.044,0.16466666666666666,1.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.50/runs/stackoverflow/seed_100/predictions.jsonl,0.9016032694121344,0.8353333333333334,1.1102230246251565e-16,0.0
stackoverflow,0.5,100,single_centroid,Frozen K=1,6000,0.8338152747065828,0.8573333333333333,0.183,0.14266666666666666,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_100/single_centroid/predictions.tsv,0.8338152747065828,0.8573333333333333,0.0,0.0
stackoverflow,0.5,100,fixed_k2,Frozen K=2,6000,0.6939931998488855,0.8476666666666667,0.38766666666666666,0.15233333333333332,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_100/fixed_k2/predictions.tsv,0.6939931998488855,0.8476666666666667,0.0,0.0
stackoverflow,0.5,100,random_partition,Random K=2,6000,0.8286252354048964,0.8596666666666667,0.19333333333333333,0.14033333333333334,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_100/random_partition/predictions.tsv,0.8286252354048964,0.8596666666666667,0.0,0.0
stackoverflow,0.5,100,mogb_minilm,MOGB-MiniLM,6000,0.7321494182486221,0.27466666666666667,0.0036666666666666666,0.7253333333333334,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_100/mogb_minilm/predictions.tsv,0.7321494182486221,0.2746666666666666,0.0,5.551115123125783e-17
stackoverflow,0.5,100,mogb_partition_ours_boundary,MOGB partition + ours,6000,0.802642221623079,0.5196666666666667,0.007666666666666666,0.48033333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_100/mogb_partition_ours_boundary/predictions.tsv,0.802642221623079,0.5196666666666667,0.0,0.0
stackoverflow,0.5,100,ours_partition_mogb_boundary,Ours partition + MOGB,6000,0.752262443438914,0.5293333333333333,0.11333333333333333,0.4706666666666667,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_100/ours_partition_mogb_boundary/predictions.tsv,0.752262443438914,0.5293333333333333,0.0,0.0
stackoverflow,0.5,123,trainable_k1,Trainable K=1,6000,0.8806571106458367,0.8416666666666667,0.08866666666666667,0.15833333333333333,1.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.50/runs/stackoverflow/seed_123/predictions.jsonl,0.8806571106458367,0.8416666666666667,0.0,0.0
stackoverflow,0.5,123,single_centroid,Frozen K=1,6000,0.7351837959489872,0.876,0.3466666666666667,0.124,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_123/single_centroid/predictions.tsv,0.7351837959489872,0.876,0.0,0.0
stackoverflow,0.5,123,fixed_k2,Frozen K=2,6000,0.6068111455108359,0.875,0.51,0.125,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_123/fixed_k2/predictions.tsv,0.6068111455108359,0.875,0.0,0.0
stackoverflow,0.5,123,random_partition,Random K=2,6000,0.7251952009141116,0.8843333333333333,0.36533333333333334,0.11566666666666667,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_123/random_partition/predictions.tsv,0.7251952009141116,0.8843333333333333,0.0,0.0
stackoverflow,0.5,123,mogb_minilm,MOGB-MiniLM,6000,0.7180786869418296,0.22966666666666666,0.008333333333333333,0.7703333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_123/mogb_minilm/predictions.tsv,0.7180786869418296,0.2296666666666666,0.0,5.551115123125783e-17
stackoverflow,0.5,123,mogb_partition_ours_boundary,MOGB partition + ours,6000,0.766770670826833,0.419,0.017,0.581,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_123/mogb_partition_ours_boundary/predictions.tsv,0.766770670826833,0.419,0.0,0.0
stackoverflow,0.5,123,ours_partition_mogb_boundary,Ours partition + MOGB,6000,0.7291425260718424,0.5376666666666666,0.161,0.4623333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_123/ours_partition_mogb_boundary/predictions.tsv,0.7291425260718424,0.5376666666666667,0.0,-1.1102230246251565e-16
