comparison_method,gold_type,transition,rate_mean,rate_std,n_seeds
fixed_k2,known,both_correct,0.7775333333333333,0.013973387404475556,5
fixed_k2,known,both_incorrect,0.06973333333333334,0.011033786496232581,5
fixed_k2,known,comparison_only_correct,0.09133333333333334,0.010389631583672468,5
fixed_k2,known,trainable_only_correct,0.061399999999999996,0.01173645791729534,5
fixed_k2,oos,both_correct,0.5162,0.06435776738065285,5
fixed_k2,oos,both_incorrect,0.08126666666666667,0.025444274623402242,5
fixed_k2,oos,comparison_only_correct,0.012133333333333333,0.007865536642001398,5
fixed_k2,oos,trainable_only_correct,0.39039999999999997,0.039395008144010674,5
mogb_minilm,known,both_correct,0.27066666666666667,0.02372059583287625,5
mogb_minilm,known,both_incorrect,0.1608,0.0037756529972384316,5
mogb_minilm,known,comparison_only_correct,0.0002666666666666667,0.00027888667551135855,5
mogb_minilm,known,trainable_only_correct,0.5682666666666666,0.024919202769484117,5
mogb_minilm,oos,both_correct,0.9064,0.032739205175989765,5
mogb_minilm,oos,both_incorrect,0.007733333333333333,0.002465314944946746,5
mogb_minilm,oos,comparison_only_correct,0.08566666666666667,0.030273751006441203,5
mogb_minilm,oos,trainable_only_correct,0.0002,0.00018257418583505537,5
mogb_partition_ours_boundary,known,both_correct,0.5020666666666667,0.04930596087470336,5
mogb_partition_ours_boundary,known,both_incorrect,0.15926666666666667,0.004323064756499599,5
mogb_partition_ours_boundary,known,comparison_only_correct,0.0018,0.0013249737942901195,5
mogb_partition_ours_boundary,known,trainable_only_correct,0.3368666666666667,0.05035407960963375,5
mogb_partition_ours_boundary,oos,both_correct,0.9063333333333332,0.032749893977775744,5
mogb_partition_ours_boundary,oos,both_incorrect,0.018333333333333333,0.006859705209085559,5
mogb_partition_ours_boundary,oos,comparison_only_correct,0.07506666666666667,0.025816015700852575,5
mogb_partition_ours_boundary,oos,trainable_only_correct,0.0002666666666666667,0.00027888667551135855,5
ours_partition_mogb_boundary,known,both_correct,0.5126000000000001,0.014870552556422842,5
ours_partition_mogb_boundary,known,both_incorrect,0.1287333333333333,0.010231758836528977,5
ours_partition_mogb_boundary,known,comparison_only_correct,0.03233333333333334,0.00972111104761179,5
ours_partition_mogb_boundary,known,trainable_only_correct,0.3263333333333333,0.01424195679439218,5
ours_partition_mogb_boundary,oos,both_correct,0.7981333333333334,0.04651439442676736,5
ours_partition_mogb_boundary,oos,both_incorrect,0.048466666666666665,0.012902626778209844,5
ours_partition_mogb_boundary,oos,comparison_only_correct,0.04493333333333333,0.02320129306741329,5
ours_partition_mogb_boundary,oos,trainable_only_correct,0.10846666666666667,0.01730382102953628,5
random_partition,known,both_correct,0.8166,0.006166216199763219,5
random_partition,known,both_incorrect,0.10126666666666666,0.0174998412691214,5
random_partition,known,comparison_only_correct,0.0598,0.016670999436813085,5
random_partition,known,trainable_only_correct,0.022333333333333334,0.006177917664283546,5
random_partition,oos,both_correct,0.6722,0.09277349956869267,5
random_partition,oos,both_incorrect,0.0754,0.023655396377524042,5
random_partition,oos,comparison_only_correct,0.018,0.009116529554118229,5
random_partition,oos,trainable_only_correct,0.23440000000000003,0.06551903879365481,5
single_centroid,known,both_correct,0.8155999999999999,0.006592925501373939,5
single_centroid,known,both_incorrect,0.1052,0.016132437991684817,5
single_centroid,known,comparison_only_correct,0.05586666666666666,0.015269068224500288,5
single_centroid,known,trainable_only_correct,0.023333333333333334,0.006728876412728784,5
single_centroid,oos,both_correct,0.683,0.0919993961332839,5
single_centroid,oos,both_incorrect,0.07346666666666667,0.02312958663222882,5
single_centroid,oos,comparison_only_correct,0.019933333333333334,0.00966494237495036,5
single_centroid,oos,trainable_only_correct,0.22360000000000002,0.06420730314985809,5
