dataset,kir,comparison_method,comparison_label,metric,n_seeds,mean_better_delta,median_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size,interpretation
clinc150,0.25,single_centroid,Frozen K=1,f1_k,5,0.012586808884572554,0.0122834368526209,0.002331026821960953,0.010785886264505185,0.014387731504639923,5,0,0,0.0625,5.399684279044043,trainable_minus_comparison
clinc150,0.25,single_centroid,Frozen K=1,aupr_oos,5,0.00511891960239721,0.006283555231185178,0.002670161737956767,0.0028385448598873706,0.007068238489960898,5,0,0,0.0625,1.917082223758571,trainable_minus_comparison
clinc150,0.25,single_centroid,Frozen K=1,oos_f1,5,0.009570492578489454,0.009123434246500972,0.0014005452304994561,0.008650536348996684,0.010798147065644947,5,0,0,0.0625,6.833404855533633,trainable_minus_comparison
clinc150,0.25,single_centroid,Frozen K=1,f1_all,5,0.012509467440826861,0.012187715866409654,0.0022466436574742794,0.010775371889434827,0.014243562992218895,5,0,0,0.0625,5.568069239289264,trainable_minus_comparison
clinc150,0.25,single_centroid,Frozen K=1,false_accept_rate,5,0.027982456140350876,0.026535087719298203,0.003517669639436468,0.026096491228070163,0.031140350877193003,5,0,0,0.0625,7.954827771954639,comparison_minus_trainable
clinc150,0.25,single_centroid,Frozen K=1,known_recall,5,-0.04315789473684206,-0.041228070175438614,0.005527011930534507,-0.04789473684210523,-0.03982456140350869,0,0,5,0.0625,-7.808540180348108,trainable_minus_comparison
clinc150,0.25,single_centroid,Frozen K=1,false_reject_rate,5,-0.043157894736842145,-0.041228070175438614,0.005527011930534534,-0.04789473684210532,-0.039824561403508804,0,0,5,0.0625,-7.808540180348085,comparison_minus_trainable
clinc150,0.25,single_centroid,Frozen K=1,f1_u,5,0.009570492578489454,0.009123434246500972,0.0014005452304994561,0.008650536348996684,0.010798147065644947,5,0,0,0.0625,6.833404855533633,trainable_minus_comparison
clinc150,0.25,single_centroid,Frozen K=1,auroc,5,0.015368613419513788,0.01622672360726396,0.005109732348217386,0.011421244998461155,0.01931598184056642,5,0,0,0.0625,3.007713980337029,trainable_minus_comparison
clinc150,0.25,fixed_k2,Frozen K=2,f1_k,5,0.017023673383016514,0.019591910322441675,0.007964448829949018,0.010230169802871236,0.02222503177446684,5,0,0,0.0625,2.1374578136533127,trainable_minus_comparison
clinc150,0.25,fixed_k2,Frozen K=2,aupr_oos,5,0.01085397927669134,0.011047705714912537,0.001481246379937055,0.009761963242443716,0.011954819036920018,5,0,0,0.0625,7.327598854386787,trainable_minus_comparison
clinc150,0.25,fixed_k2,Frozen K=2,oos_f1,5,0.006924353219263324,0.006451323865418024,0.00323401805782717,0.004609119539143602,0.009755831547194505,5,0,0,0.0625,2.141099120490245,trainable_minus_comparison
