dataset,kir,comparison_method,comparison_label,metric,n_seeds,mean_better_delta,median_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size,interpretation
clinc150,0.25,fixed_k2,Frozen K=2,f1_all,5,0.01676471645574078,0.01923773814290719,0.0078315996162561,0.009610508430368658,0.021909924869061424,5,0,0,0.0625,2.140650349507418,trainable_minus_comparison
clinc150,0.25,fixed_k2,Frozen K=2,false_accept_rate,5,0.01491228070175438,0.0160087719298245,0.006120739358312642,0.010087719298245642,0.01969298245614034,5,0,0,0.0625,2.436352837260069,comparison_minus_trainable
clinc150,0.25,fixed_k2,Frozen K=2,known_recall,5,-0.007192982456140329,-0.00877192982456143,0.006692010920266888,-0.012280701754385915,-0.0019298245614035147,1,0,4,0.375,-1.0748611354408044,trainable_minus_comparison
clinc150,0.25,fixed_k2,Frozen K=2,false_reject_rate,5,-0.007192982456140357,-0.00877192982456143,0.006692010920266949,-0.012280701754386008,-0.0019298245614034816,1,0,4,0.375,-1.0748611354407986,comparison_minus_trainable
clinc150,0.25,fixed_k2,Frozen K=2,f1_u,5,0.006924353219263324,0.006451323865418024,0.00323401805782717,0.004609119539143602,0.009755831547194505,5,0,0,0.0625,2.141099120490245,trainable_minus_comparison
clinc150,0.25,fixed_k2,Frozen K=2,auroc,5,0.024365958756540594,0.027346298861188223,0.005706922658044739,0.019353570329332204,0.028294052016005034,5,0,0,0.0625,4.269544238906624,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,f1_k,5,0.009091894281844736,0.010611319598396562,0.00699259749930254,0.0030220699233218574,0.014036290673780228,4,0,1,0.375,1.300217019891619,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,aupr_oos,5,0.005059112382435904,0.005599263680121203,0.0025937939046482123,0.0029017241837435035,0.006983912571654027,5,0,0,0.0625,1.950468143737139,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,oos_f1,5,0.009242994189446874,0.009432294957740783,0.0035631844940414922,0.00647983555346836,0.012006152825425387,5,0,0,0.0625,2.594026271977609,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,f1_all,5,0.009095768638449875,0.010659288850810356,0.006893999125192934,0.0034709368739220146,0.013957631824981132,4,0,1,0.375,1.3193747886057823,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,false_accept_rate,5,0.02934210526315788,0.0307017543859649,0.005259501654007475,0.02526315789473682,0.03342105263157894,5,0,0,0.0625,5.578875565292518,comparison_minus_trainable
clinc150,0.25,random_partition,Random K=2,known_recall,5,-0.052105263157894724,-0.052631578947368474,0.007860549760428,-0.05719298245614033,-0.045263157894736825,0,0,5,0.0625,-6.628704702081504,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,false_reject_rate,5,-0.052105263157894766,-0.05263157894736842,0.007860549760427979,-0.05789473684210526,-0.04526315789473691,0,0,5,0.0625,-6.628704702081527,comparison_minus_trainable
clinc150,0.25,random_partition,Random K=2,f1_u,5,0.009242994189446874,0.009432294957740783,0.0035631844940414922,0.00647983555346836,0.012006152825425387,5,0,0,0.0625,2.594026271977609,trainable_minus_comparison
clinc150,0.25,random_partition,Random K=2,auroc,5,0.015135233918128743,0.013819444444444606,0.0055701375161626605,0.011030432440751126,0.019692828562634723,5,0,0,0.0625,2.717210100147689,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,f1_k,5,0.280987619169658,0.27554801204288915,0.027588337582088913,0.2607165066535371,0.3039504546238697,5,0,0,0.0625,10.185014531360624,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,aupr_oos,5,0.024153303485638555,0.02203952772525286,0.006205277005353495,0.019343513901396638,0.028963093069880475,5,0,0,0.0625,3.892381188591696,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,oos_f1,5,0.027806639669319,0.026882173672822973,0.005124942391131956,0.02427482255102793,0.03221747581658627,5,0,0,0.0625,5.425746778624236,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,f1_all,5,0.2744957991824698,0.26910152106056706,0.026948088532755644,0.25466798813778296,0.2964531371142354,5,0,0,0.0625,10.186095345828246,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.02578947368421054,-0.029824561403508802,0.009852081990344761,-0.03280701754385969,-0.01710526315789474,0,0,5,0.0625,-2.617667383349503,comparison_minus_trainable
clinc150,0.25,mogb_minilm,MOGB-MiniLM,known_recall,5,0.36526315789473685,0.368421052631579,0.02306367061921234,0.34649122807017546,0.3828070175438597,5,0,0,0.0625,15.837165034366553,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,false_reject_rate,5,0.36526315789473685,0.36842105263157904,0.0230636706192123,0.3471929824561403,0.38280701754385965,5,0,0,0.0625,15.83716503436658,comparison_minus_trainable
clinc150,0.25,mogb_minilm,MOGB-MiniLM,f1_u,5,0.027806639669319,0.026882173672822973,0.005124942391131956,0.02427482255102793,0.03221747581658627,5,0,0,0.0625,5.425746778624236,trainable_minus_comparison
clinc150,0.25,mogb_minilm,MOGB-MiniLM,auroc,5,0.05278781932902445,0.05478512619267495,0.008226376617470554,0.0462796629732227,0.05929597568482621,5,0,0,0.0625,6.416897959293244,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,f1_k,5,0.09751188257223034,0.09430470275653802,0.030809565405887033,0.0744464251071777,0.12179092567043133,5,0,0,0.0625,3.1649872787104605,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,aupr_oos,5,0.014100570241785414,0.014689227342178368,0.0031641329036010716,0.0113420356844826,0.01614317610749776,5,0,0,0.0625,4.4563773619425655,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,oos_f1,5,0.01032880531290301,0.008633265599209627,0.00436005119575545,0.0069844013223247185,0.013673209303481305,5,0,0,0.0625,2.3689642275205847,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,f1_all,5,0.09527641905276044,0.09207783788078783,0.030111278140090705,0.07272266189729396,0.11901151747053444,5,0,0,0.0625,3.1641439665727003,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,false_accept_rate,5,-0.01,-0.010964912280701799,0.007184486317350649,-0.01561403508771932,-0.004385964912280681,0,0,5,0.0625,-1.3918879594564528,comparison_minus_trainable
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,known_recall,5,0.13456140350877194,0.14210526315789473,0.04109534440160603,0.10438596491228073,0.1649122807017544,5,0,0,0.0625,3.2743709894182853,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,false_reject_rate,5,0.13456140350877194,0.1421052631578948,0.04109534440160604,0.1045614035087719,0.16491228070175437,5,0,0,0.0625,3.274370989418285,comparison_minus_trainable
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,f1_u,5,0.01032880531290301,0.008633265599209627,0.00436005119575545,0.0069844013223247185,0.013717154133126819,5,0,0,0.0625,2.3689642275205847,trainable_minus_comparison
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,auroc,5,0.03139188981225001,0.033011311172668534,0.0080117933255233,0.025194482917820782,0.037251308094798465,5,0,0,0.0625,3.91821013558155,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,f1_k,5,0.23559755183363365,0.2426519765147328,0.014747007074538809,0.22345873058744922,0.24664860095927416,5,0,0,0.0625,15.975957063206442,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,aupr_oos,5,0.024580502940047055,0.02479609638606539,0.0022355632293062423,0.022953974789932552,0.02629610584517794,5,0,0,0.0625,10.99521705215874,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,oos_f1,5,0.025265198958437086,0.025078493530750978,0.004335193289107857,0.021916693526430175,0.028717279603985603,5,0,0,0.0625,5.827929061874986,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,f1_all,5,0.23020441458042348,0.237133295055306,0.014446235634209622,0.21834290122707306,0.2410415427840665,5,0,0,0.0625,15.93525264362188,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,false_accept_rate,5,-0.0205701754385965,-0.0225877192982456,0.007702646014007977,-0.0261842105263158,-0.014035087719298261,0,0,5,0.0625,-2.670533658328284,comparison_minus_trainable
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,known_recall,5,0.31736842105263163,0.31666666666666676,0.01073262731170718,0.3096491228070176,0.32649122807017544,5,0,0,0.0625,29.570431529514238,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,false_reject_rate,5,0.31736842105263163,0.3166666666666667,0.010732627311707208,0.3096491228070176,0.3259649122807018,5,0,0,0.0625,29.57043152951416,comparison_minus_trainable
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,f1_u,5,0.025265198958437086,0.025078493530750978,0.004335193289107857,0.021916693526430175,0.028717279603985603,5,0,0,0.0625,5.827929061874986,trainable_minus_comparison
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,auroc,5,0.05707067559249006,0.05444656048014784,0.009042541025719294,0.05073157125269319,0.06467528470298564,5,0,0,0.0625,6.3113537920554075,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,f1_k,5,0.015479604007255076,0.013699600179578941,0.00415491361933908,0.012454151566078963,0.01905278218254436,5,0,0,0.0625,3.7256139177491274,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,aupr_oos,5,0.01959954830452857,0.02029673947835342,0.005954111958341732,0.01464556890201516,0.02393954581256359,5,0,0,0.0625,3.2917668397332593,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,oos_f1,5,0.014960833899474047,0.01510948902298459,0.0018216584726809782,0.013638855594775645,0.016395128430076823,5,0,0,0.0625,8.21275454419062,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,f1_all,5,0.015472778084784245,0.0137014471553345,0.0040930124718648484,0.012488649925910523,0.018988162559999133,5,0,0,0.0625,3.7802909693394056,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,false_accept_rate,5,0.051246376811594184,0.05101449275362321,0.007092274463657138,0.045797101449275325,0.05669565217391305,5,0,0,0.0625,7.225661820364597,comparison_minus_trainable
clinc150,0.5,single_centroid,Frozen K=1,known_recall,5,-0.0431111111111111,-0.04266666666666663,0.011942247860039465,-0.0528,-0.03315555555555556,0,0,5,0.0625,-3.6099661986892166,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,false_reject_rate,5,-0.04311111111111113,-0.042666666666666714,0.011942247860039433,-0.05280222222222222,-0.03351111111111115,0,0,5,0.0625,-3.6099661986892286,comparison_minus_trainable
clinc150,0.5,single_centroid,Frozen K=1,f1_u,5,0.014960833899474047,0.01510948902298459,0.0018216584726809782,0.013612461097290706,0.01639303301791899,5,0,0,0.0625,8.21275454419062,trainable_minus_comparison
clinc150,0.5,single_centroid,Frozen K=1,auroc,5,0.0243471046698873,0.024335330112721598,0.005456764642643908,0.01992713687600649,0.028480798711755108,5,0,0,0.0625,4.461820559314183,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,f1_k,5,0.017287493000198696,0.016203555783448786,0.0033833390243406384,0.01492967724307781,0.019868422570332583,5,0,0,0.0625,5.109595247720635,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,aupr_oos,5,0.027864912175338374,0.02408927062398314,0.008162641699615395,0.021995971494592648,0.03486344071991907,5,0,0,0.0625,3.4137125211132697,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,oos_f1,5,0.01238834108552742,0.013538491229166838,0.003681574543351247,0.009065836681943763,0.014532074816888563,5,0,0,0.0625,3.364957286523015,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,f1_all,5,0.01722303047500564,0.01618810348109856,0.0033720892228502825,0.014850598798411375,0.020065217917011702,5,0,0,0.0625,5.107525138509755,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,false_accept_rate,5,0.02747826086956522,0.03275362318840581,0.01169054177811032,0.017101449275362314,0.034376811594202916,5,0,0,0.0625,2.3504694128903627,comparison_minus_trainable
clinc150,0.5,fixed_k2,Frozen K=2,known_recall,5,-0.006933333333333324,-0.007555555555555538,0.011175811622969432,-0.015555555555555545,0.0016888888888888954,1,1,3,0.625,-0.6203874552684279,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,false_reject_rate,5,-0.006933333333333324,-0.007555555555555593,0.011175811622969422,-0.015555555555555534,0.0016888888888888843,1,1,3,0.625,-0.6203874552684284,comparison_minus_trainable
clinc150,0.5,fixed_k2,Frozen K=2,f1_u,5,0.01238834108552742,0.013538491229166838,0.003681574543351247,0.009165320718347924,0.014532074816888563,5,0,0,0.0625,3.364957286523015,trainable_minus_comparison
clinc150,0.5,fixed_k2,Frozen K=2,auroc,5,0.028291916264090132,0.026383510466988946,0.008029334059545094,0.0223060611916265,0.03435640579710122,5,0,0,0.0625,3.5235694584730015,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,f1_k,5,0.01061848985864422,0.009246701842215321,0.003717059622660421,0.007745077100033937,0.013491902617254503,5,0,0,0.0625,2.856690754678888,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,aupr_oos,5,0.018368394539796485,0.018653081032981578,0.005813199437019304,0.013640129268487145,0.022618597747837234,5,0,0,0.0625,3.1597736734824307,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,oos_f1,5,0.013703034269944592,0.014203939411040811,0.002716870553050791,0.011486038417956989,0.015690966600386824,5,0,0,0.0625,5.0436831650140155,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,f1_all,5,0.010659075969319188,0.009322782934690577,0.0036681113465217986,0.007824314410554955,0.013493837528083419,5,0,0,0.0625,2.9058757933906256,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,false_accept_rate,5,0.052695652173913046,0.0562318840579711,0.0074926274763019605,0.04695652173913042,0.058434782608695654,5,0,0,0.0625,7.033000418155229,comparison_minus_trainable
clinc150,0.5,random_partition,Random K=2,known_recall,5,-0.050311111111111105,-0.05155555555555558,0.012050920768058547,-0.05973333333333335,-0.039822222222222245,0,0,5,0.0625,-4.174876930936493,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,false_reject_rate,5,-0.050311111111111105,-0.05155555555555552,0.01205092076805856,-0.05973333333333334,-0.03982222222222221,0,0,5,0.0625,-4.174876930936488,comparison_minus_trainable
clinc150,0.5,random_partition,Random K=2,f1_u,5,0.013703034269944592,0.014203939411040811,0.002716870553050791,0.01148928771075477,0.015690966600386824,5,0,0,0.0625,5.0436831650140155,trainable_minus_comparison
clinc150,0.5,random_partition,Random K=2,auroc,5,0.02301070531400966,0.022130499194846998,0.005852910652566719,0.018587413848631364,0.027577558776167344,5,0,0,0.0625,3.93149779313966,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,f1_k,5,0.37232722061560014,0.3750180934811142,0.01156416876606359,0.36271922045132976,0.38091445965362736,5,0,0,0.0625,32.19662633325086,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,aupr_oos,5,0.0816645060450391,0.07797567278934614,0.01125900500669526,0.07383346846564494,0.09109627978088923,5,0,0,0.0625,7.2532613669215555,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,oos_f1,5,0.09119903794751208,0.0910004449298224,0.002648807906349657,0.08905364659359657,0.09305626579360834,5,0,0,0.0625,34.430219620264644,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,f1_all,5,0.36862816558049366,0.37130124057926317,0.011409693469170147,0.359152428870718,0.37654996837079374,5,0,0,0.0625,32.308332084166395,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.027884057971014498,-0.026666666666666596,0.007595640974581722,-0.03408695652173914,-0.0222608695652174,0,0,5,0.0625,-3.6710605549059703,comparison_minus_trainable
clinc150,0.5,mogb_minilm,MOGB-MiniLM,known_recall,5,0.4287111111111111,0.428888888888889,0.012635829910649503,0.4187555555555555,0.4381333333333333,5,0,0,0.0625,33.92821161274041,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,false_reject_rate,5,0.4287111111111111,0.428888888888889,0.012635829910649495,0.4187555555555556,0.4381333333333334,5,0,0,0.0625,33.928211612740434,comparison_minus_trainable
clinc150,0.5,mogb_minilm,MOGB-MiniLM,f1_u,5,0.09119903794751208,0.0910004449298224,0.002648807906349657,0.08905364659359657,0.09305626579360834,5,0,0,0.0625,34.430219620264644,trainable_minus_comparison
clinc150,0.5,mogb_minilm,MOGB-MiniLM,auroc,5,0.07685768760064411,0.0754585507246377,0.011125221819073711,0.06834836714975859,0.08685060225442824,5,0,0,0.0625,6.90841844329566,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,f1_k,5,0.17382905249491848,0.16717089682105324,0.01317374448158788,0.16484539585726038,0.185337851209677,5,0,0,0.0625,13.195113411973983,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,aupr_oos,5,0.045230666924403765,0.04662853488024876,0.01006606986063208,0.03649282304399211,0.052226098708757274,5,0,0,0.0625,4.493379000010595,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,oos_f1,5,0.04883975328188104,0.04901625498090545,0.0015476565346521265,0.04764431571393981,0.05003519084982226,5,0,0,0.0625,31.55723003674001,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,f1_all,5,0.1721844564526416,0.16562604200726727,0.01299545446173445,0.1633151195490073,0.1835299804380468,5,0,0,0.0625,13.24959099811742,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,false_accept_rate,5,-0.011942028985507261,-0.006956521739130396,0.008235149382993525,-0.019304347826086983,-0.0062608695652173986,0,0,5,0.0625,-1.4501290055732132,comparison_minus_trainable
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,known_recall,5,0.21102222222222222,0.20399999999999996,0.017145420149379982,0.19777777777777777,0.22426666666666667,5,0,0,0.0625,12.307789507850192,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,false_reject_rate,5,0.21102222222222222,0.20400000000000001,0.01714542014937996,0.1977777777777778,0.22426666666666667,5,0,0,0.0625,12.307789507850208,comparison_minus_trainable
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,f1_u,5,0.04883975328188104,0.04901625498090545,0.0015476565346521265,0.04764431571393981,0.05003519084982226,5,0,0,0.0625,31.55723003674001,trainable_minus_comparison
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,auroc,5,0.047990492753623104,0.048501513687600584,0.009883576993359075,0.03972124959742342,0.05533147826086946,5,0,0,0.0625,4.855579390525175,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,f1_k,5,0.2565118866003515,0.26068548972464867,0.009472977803968899,0.24793397185662372,0.2616394007488842,5,0,0,0.0625,27.078273791888396,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,aupr_oos,5,0.06333883117283357,0.06089347129955669,0.007233230629968314,0.05823457530448974,0.06870542495493584,5,0,0,0.0625,8.75664477092873,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,oos_f1,5,0.07116170928491863,0.07286368835883017,0.003242094398074013,0.0681719366694357,0.07326188160214235,5,0,0,0.0625,21.949302070659233,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,f1_all,5,0.25407306847778,0.2582163029833232,0.009349919069865185,0.24559471214650513,0.259118790375412,5,0,0,0.0625,27.173825418089255,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,false_accept_rate,5,-0.02005797101449278,-0.0179710144927536,0.009629559616072602,-0.028347826086956584,-0.013333333333333358,0,0,5,0.0625,-2.0829582882496744,comparison_minus_trainable
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,known_recall,5,0.32204444444444447,0.3248888888888889,0.01443110495157789,0.30995555555555565,0.3323555555555555,5,0,0,0.0625,22.315993510201192,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,false_reject_rate,5,0.32204444444444447,0.3248888888888889,0.014431104951577903,0.31013333333333337,0.33235555555555557,5,0,0,0.0625,22.31599351020117,comparison_minus_trainable
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,f1_u,5,0.07116170928491863,0.07286368835883017,0.003242094398074013,0.0683055896810576,0.07326188160214235,5,0,0,0.0625,21.949302070659233,trainable_minus_comparison
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,auroc,5,0.06344350402576485,0.06618421900160998,0.009176222601585049,0.05590387117552324,0.0697321481481481,5,0,0,0.0625,6.913902024870885,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,f1_k,5,0.011721137372610092,0.01062795849811038,0.004946480335211604,0.008553878454670172,0.016226187499314836,5,0,0,0.0625,2.369591422242797,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,aupr_oos,5,0.04968100271908611,0.04735172997292636,0.006489786798741253,0.04626949988627593,0.05558281621566565,5,0,0,0.0625,7.655259604016907,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,oos_f1,5,0.011027542276440937,0.010798648630164998,0.00462887387289671,0.007327212103367309,0.014727872449514567,5,0,0,0.0625,2.3823380328010524,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,f1_all,5,0.011714999362909474,0.010591658714924845,0.00492645897544741,0.008558619551331081,0.016124362436143458,5,0,0,0.0625,2.3779756253517856,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,false_accept_rate,5,0.060854700854700884,0.0581196581196581,0.006435846357954424,0.05606837606837609,0.06615384615384617,5,0,0,0.0625,9.455586331623213,comparison_minus_trainable
clinc150,0.75,single_centroid,Frozen K=1,known_recall,5,-0.039523809523809496,-0.04077380952380949,0.004721742839479583,-0.04315476190476186,-0.03589285714285713,0,0,5,0.0625,-8.370597651642903,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,false_reject_rate,5,-0.039523809523809524,-0.04077380952380949,0.004721742839479595,-0.043154761904761904,-0.035892857142857136,0,0,5,0.0625,-8.370597651642889,comparison_minus_trainable
clinc150,0.75,single_centroid,Frozen K=1,f1_u,5,0.011027542276440937,0.010798648630164998,0.00462887387289671,0.007327212103367309,0.014727872449514567,5,0,0,0.0625,2.3823380328010524,trainable_minus_comparison
clinc150,0.75,single_centroid,Frozen K=1,auroc,5,0.03005293549043553,0.028799094424094673,0.0030694531915985996,0.02777075702075702,0.03263792226292232,5,0,0,0.0625,9.790973705900914,trainable_minus_comparison
clinc150,0.75,fixed_k2,Frozen K=2,f1_k,5,0.014790516521471874,0.015510173360716584,0.006880171381253624,0.008749835552876405,0.020145240237370472,5,0,0,0.0625,2.149730828184242,trainable_minus_comparison
clinc150,0.75,fixed_k2,Frozen K=2,aupr_oos,5,0.06210738504730069,0.06797497092015059,0.010623599304692366,0.052927085908057926,0.06976298438302345,5,0,0,0.0625,5.846171647293617,trainable_minus_comparison
clinc150,0.75,fixed_k2,Frozen K=2,oos_f1,5,0.013454772794569636,0.011128135128638084,0.007168643750599388,0.008720742782478141,0.019705954095098212,5,0,0,0.0625,1.876892374996965,trainable_minus_comparison
clinc150,0.75,fixed_k2,Frozen K=2,f1_all,5,0.014778695780525842,0.015490436611982794,0.006875660902795369,0.008681630550272445,0.020143367319153983,5,0,0,0.0625,2.1494218504169416,trainable_minus_comparison
clinc150,0.75,fixed_k2,Frozen K=2,false_accept_rate,5,0.03307692307692308,0.031623931623931706,0.006727207034578607,0.028290598290598302,0.038803418803418845,5,0,0,0.0625,4.916887930890776,comparison_minus_trainable
clinc150,0.75,fixed_k2,Frozen K=2,known_recall,5,-0.006845238095238071,-0.008928571428571397,0.007356670889469186,-0.01119047619047615,-0.00023809523809523725,1,0,4,0.375,-0.9304804031721451,trainable_minus_comparison
clinc150,0.75,fixed_k2,Frozen K=2,false_reject_rate,5,-0.00684523809523806,-0.008928571428571397,0.007356670889469225,-0.01124999999999996,-0.00023809523809519283,1,0,4,0.375,-0.9304804031721385,comparison_minus_trainable
