dataset,kir,seed,method,oos_f1,rank,is_best,metric,f1_all,known_recall,false_accept_rate
banking77,0.25,13,fixed_k2,0.8445179584120983,5.0,False,oos_f1,,,
banking77,0.25,13,mogb_minilm,0.8975725281231498,4.0,False,oos_f1,,,
banking77,0.25,13,mogb_partition_ours_boundary,0.916837361736993,1.0,True,oos_f1,,,
banking77,0.25,13,ours_partition_mogb_boundary,0.8993399339933993,3.0,False,oos_f1,,,
banking77,0.25,13,random_partition,0.8404483663248271,7.0,False,oos_f1,,,
banking77,0.25,13,single_centroid,0.8406072106261859,6.0,False,oos_f1,,,
banking77,0.25,13,trainable_k1,0.9154867256637168,2.0,False,oos_f1,,,
banking77,0.25,42,fixed_k2,0.875835061045842,5.0,False,oos_f1,,,
banking77,0.25,42,mogb_minilm,0.9093069306930692,4.0,False,oos_f1,,,
banking77,0.25,42,mogb_partition_ours_boundary,0.9243557772236076,1.0,True,oos_f1,,,
banking77,0.25,42,ours_partition_mogb_boundary,0.9178921568627452,3.0,False,oos_f1,,,
banking77,0.25,42,random_partition,0.8347701149425287,7.0,False,oos_f1,,,
banking77,0.25,42,single_centroid,0.8386023294509152,6.0,False,oos_f1,,,
banking77,0.25,42,trainable_k1,0.9191208791208793,2.0,False,oos_f1,,,
banking77,0.25,87,fixed_k2,0.852015847121883,7.0,False,oos_f1,,,
banking77,0.25,87,mogb_minilm,0.9025600317523318,4.0,False,oos_f1,,,
banking77,0.25,87,mogb_partition_ours_boundary,0.9256026600166252,2.0,False,oos_f1,,,
banking77,0.25,87,ours_partition_mogb_boundary,0.9030936283548452,3.0,False,oos_f1,,,
banking77,0.25,87,random_partition,0.869364161849711,6.0,False,oos_f1,,,
banking77,0.25,87,single_centroid,0.8788294467306813,5.0,False,oos_f1,,,
banking77,0.25,87,trainable_k1,0.9304952215464812,1.0,True,oos_f1,,,
banking77,0.25,100,fixed_k2,0.900088809946714,5.0,False,oos_f1,,,
banking77,0.25,100,mogb_minilm,0.9044910766817024,4.0,False,oos_f1,,,
banking77,0.25,100,mogb_partition_ours_boundary,0.9207003089598352,2.0,False,oos_f1,,,
banking77,0.25,100,ours_partition_mogb_boundary,0.9161628375654978,3.0,False,oos_f1,,,
banking77,0.25,100,random_partition,0.8817598533455545,6.0,False,oos_f1,,,
banking77,0.25,100,single_centroid,0.8778467908902692,7.0,False,oos_f1,,,
banking77,0.25,100,trainable_k1,0.9308176100628932,1.0,True,oos_f1,,,
banking77,0.25,123,fixed_k2,0.8164344065353195,7.0,False,oos_f1,,,
banking77,0.25,123,mogb_minilm,0.9010292953285828,2.0,False,oos_f1,,,
banking77,0.25,123,mogb_partition_ours_boundary,0.9153033754400496,1.0,True,oos_f1,,,
banking77,0.25,123,ours_partition_mogb_boundary,0.8973776584761511,3.0,False,oos_f1,,,
banking77,0.25,123,random_partition,0.8238993710691824,5.0,False,oos_f1,,,
banking77,0.25,123,single_centroid,0.82273276904474,6.0,False,oos_f1,,,
banking77,0.25,123,trainable_k1,0.8867710460630814,4.0,False,oos_f1,,,
banking77,0.5,13,fixed_k2,0.7343804537521815,5.0,False,oos_f1,,,
banking77,0.5,13,mogb_minilm,0.7496965282835639,4.0,False,oos_f1,,,
banking77,0.5,13,mogb_partition_ours_boundary,0.7925322114120431,2.0,False,oos_f1,,,
banking77,0.5,13,ours_partition_mogb_boundary,0.7840085859940972,3.0,False,oos_f1,,,
banking77,0.5,13,random_partition,0.6940740740740741,6.0,False,oos_f1,,,
