dataset,kir,method,metric,mean_rank,std_rank,wins,n_seeds
banking77,0.75,trainable_k1,f1_all,1.0,0.0,5,5
banking77,0.75,trainable_k1,false_accept_rate,4.0,0.0,0,5
banking77,0.75,trainable_k1,known_recall,3.8,0.447213595499958,0,5
banking77,0.75,trainable_k1,oos_f1,1.0,0.0,5,5
clinc150,0.25,fixed_k2,f1_all,3.6,0.8944271909999159,0,5
clinc150,0.25,fixed_k2,false_accept_rate,5.0,0.0,0,5
clinc150,0.25,fixed_k2,known_recall,3.2,0.4472135954999579,0,5
clinc150,0.25,fixed_k2,oos_f1,3.0,1.0,0,5
clinc150,0.25,mogb_minilm,f1_all,7.0,0.0,0,5
clinc150,0.25,mogb_minilm,false_accept_rate,1.1,0.223606797749979,4,5
clinc150,0.25,mogb_minilm,known_recall,7.0,0.0,0,5
clinc150,0.25,mogb_minilm,oos_f1,6.6,0.547722557505166,0,5
clinc150,0.25,mogb_partition_ours_boundary,f1_all,5.0,0.0,0,5
clinc150,0.25,mogb_partition_ours_boundary,false_accept_rate,3.0,0.0,0,5
clinc150,0.25,mogb_partition_ours_boundary,known_recall,5.0,0.0,0,5
clinc150,0.25,mogb_partition_ours_boundary,oos_f1,3.6,1.51657508881031,0,5
clinc150,0.25,ours_partition_mogb_boundary,f1_all,6.0,0.0,0,5
clinc150,0.25,ours_partition_mogb_boundary,false_accept_rate,1.9,0.223606797749979,0,5
clinc150,0.25,ours_partition_mogb_boundary,known_recall,6.0,0.0,0,5
clinc150,0.25,ours_partition_mogb_boundary,oos_f1,6.4,0.547722557505166,0,5
clinc150,0.25,random_partition,f1_all,2.6,1.140175425099138,1,5
clinc150,0.25,random_partition,false_accept_rate,6.6,0.5477225575051661,0,5
clinc150,0.25,random_partition,known_recall,1.2,0.4472135954999579,4,5
clinc150,0.25,random_partition,oos_f1,3.8,1.3038404810405297,0,5
clinc150,0.25,single_centroid,f1_all,2.6,0.5477225575051661,0,5
clinc150,0.25,single_centroid,false_accept_rate,6.4,0.5477225575051661,0,5
clinc150,0.25,single_centroid,known_recall,1.8,0.4472135954999579,1,5
clinc150,0.25,single_centroid,oos_f1,3.6,0.8944271909999159,0,5
clinc150,0.25,trainable_k1,f1_all,1.2,0.4472135954999579,4,5
