stage,variant,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std
consistency_gate_v1,base_k1,3,0.8670909819,0.0078620403,0.8576451326,0.0032388592,0.8567005476,0.0029386996,0.8588888889,0.0064353384,0.8392222222,0.0031778555,0.1114444444,0.0164774444,0.1607777778,0.0031778555,0.9175100000,0.0087097071,0.8877708242,0.0202349389
consistency_gate_v1,consistency_strict,3,0.8662700971,0.0073925966,0.8515645116,0.0017732732,0.8500939530,0.0013446642,0.8561666667,0.0056486642,0.8124444444,0.0059958834,0.0924444444,0.0182357673,0.1875555556,0.0059958834,0.9108938148,0.0093832023,0.8801336646,0.0214307127
consistency_gate_v1,evidence_margin,3,0.8672635608,0.0076316911,0.8580186500,0.0027304550,0.8570941590,0.0024355826,0.8592222222,0.0059850637,0.8375555556,0.0020427529,0.1098888889,0.0144666496,0.1624444444,0.0020427529,0.9154650741,0.0114838478,0.8828799364,0.0265486453
consistency_gate_v1,combined_selected,3,0.8673771888,0.0073473478,0.8565615566,0.0023107268,0.8555174310,0.0018452737,0.8585000000,0.0061418419,0.8318888889,0.0025288459,0.1060000000,0.0160646841,0.1681111111,0.0025288459,0.9115254074,0.0094902793,0.8806802374,0.0215361014
