method,state,state_label,count,rate_all,rate_known,rate_oos
ADB,known_correct,Known 正确分类,7223,0.4012777777777778,0.8025555555555556,
ADB,known_rejected,Known 被拒绝,1730,0.0961111111111111,0.1922222222222222,
ADB,known_wrong,Known 错意图,47,0.0026111111111111114,0.005222222222222223,
ADB,oos_correct_rejected,OOS 正确拒绝,8323,0.4623888888888889,,0.9247777777777778
ADB,oos_false_accept,OOS 误接收,677,0.03761111111111111,,0.07522222222222222
Trainable-K1,known_correct,Known 正确分类,7438,0.4132222222222222,0.8264444444444444,
Trainable-K1,known_rejected,Known 被拒绝,1469,0.08161111111111112,0.16322222222222224,
Trainable-K1,known_wrong,Known 错意图,93,0.005166666666666667,0.010333333333333333,
Trainable-K1,oos_correct_rejected,OOS 正确拒绝,8264,0.4591111111111111,,0.9182222222222222
Trainable-K1,oos_false_accept,OOS 误接收,736,0.04088888888888889,,0.08177777777777778
