dataset,kir,metric,mean_delta_pp,std_delta_pp,n_pairs
banking77,0.25,accuracy,10.850649350649348,2.2703373333832375,5
banking77,0.25,f1_all,9.933453206363907,3.2563754167103203,5
banking77,0.25,f1_k,-13.776817453048176,2.6261966687879643,5
banking77,0.25,false_accept_rate,-16.07758620689656,2.7779160852078677,5
banking77,0.25,false_reject_rate,5.6315789473684195,1.7638451135197577,5
banking77,0.25,known_recall,-5.631578947368421,1.7638451135197588,5
banking77,0.25,oos_f1,8.853275078245982,1.7681255841629946,5
banking77,0.5,accuracy,6.246753246753245,1.5167238285872675,5
banking77,0.5,f1_all,2.886349505369483,1.1144826009247901,5
banking77,0.5,f1_k,-8.91513634386723,0.9166700557387181,5
banking77,0.5,false_accept_rate,-17.923076923076927,3.6218232356502273,5
banking77,0.5,false_reject_rate,6.934210526315786,1.1180339887498942,5
banking77,0.5,known_recall,-6.934210526315792,1.1180339887498973,5
banking77,0.5,oos_f1,8.595857798983989,2.041118529667991,5
banking77,0.75,accuracy,-1.2857142857142856,1.5701669294069986,5
banking77,0.75,f1_all,-1.760105753283352,0.8985378855023627,5
banking77,0.75,f1_k,-6.347560841749006,0.7385408983236527,5
banking77,0.75,false_accept_rate,-16.21052631578948,5.774801983630135,5
banking77,0.75,false_reject_rate,7.939655172413789,0.43254047256214156,5
banking77,0.75,known_recall,-7.939655172413794,0.43254047256213995,5
banking77,0.75,oos_f1,2.386121970785755,3.6975852711482093,5
clinc150,0.25,accuracy,4.898245614035082,0.9546020137297027,5
clinc150,0.25,f1_all,3.0827367702944626,1.4593160893932091,5
clinc150,0.25,f1_k,-15.071284269525155,2.160808818585363,5
clinc150,0.25,false_accept_rate,-10.34649122807018,1.3184731404074932,5
clinc150,0.25,false_reject_rate,17.350877192982455,1.5437101203504893,5
clinc150,0.25,known_recall,-17.35087719298246,1.5437101203504824,5
clinc150,0.25,oos_f1,3.5653755082279743,0.6878914592102673,5
clinc150,0.5,accuracy,0.1263157894736855,1.0906440587614605,5
clinc150,0.5,f1_all,-3.671228178790971,1.2588986126745874,5
clinc150,0.5,f1_k,-12.012253521982377,1.267004805525253,5
clinc150,0.5,false_accept_rate,-10.65507246376812,1.7907320505990396,5
clinc150,0.5,false_reject_rate,16.4,0.7931808132255429,5
clinc150,0.5,known_recall,-16.4,0.7931808132255465,5
clinc150,0.5,oos_f1,1.050969988181376,0.9666026456336949,5
clinc150,0.75,accuracy,-3.677192982456139,1.1968847426146412,5
clinc150,0.75,f1_all,-5.610700784395609,1.0298675601262235,5
clinc150,0.75,f1_k,-10.544436610908647,0.8110329673252918,5
clinc150,0.75,false_accept_rate,-13.470085470085474,2.4880824865315923,5
clinc150,0.75,false_reject_rate,16.416666666666664,0.8716733002700217,5
clinc150,0.75,known_recall,-16.41666666666666,0.8716733002700198,5
clinc150,0.75,oos_f1,-1.9112110463909993,1.4856456044782256,5
stackoverflow,0.25,accuracy,3.299999999999989,1.580831356526614,5
stackoverflow,0.25,f1_all,4.519652407024575,1.9265143251701649,5
stackoverflow,0.25,f1_k,-4.41219447942417,1.85448328408794,5
stackoverflow,0.25,false_accept_rate,-4.182222222222228,1.8194694654768089,5
stackoverflow,0.25,false_reject_rate,-0.7733333333333359,1.7528389670601356,5
stackoverflow,0.25,known_recall,0.7733333333333325,1.7528389670601365,5
stackoverflow,0.25,oos_f1,2.3441209538584085,1.132350247517928,5
stackoverflow,0.5,accuracy,0.5166666666666675,1.2204279759348506,5
stackoverflow,0.5,f1_all,0.7457264377796767,0.8368217038433088,5
stackoverflow,0.5,f1_k,-2.6508938948925143,0.9772049073674509,5
stackoverflow,0.5,false_accept_rate,1.0733333333333317,2.51312112278294,5
stackoverflow,0.5,false_reject_rate,-2.5200000000000022,1.1814774178497363,5
stackoverflow,0.5,known_recall,2.52,1.1814774178497354,5
stackoverflow,0.5,oos_f1,0.4587685884882964,1.3032973015290545,5
stackoverflow,0.75,accuracy,1.7200000000000017,0.9749928774668625,5
stackoverflow,0.75,f1_all,1.2942134788098758,0.5600359854543902,5
stackoverflow,0.75,f1_k,0.020124068252933558,0.5797943530196094,5
stackoverflow,0.75,false_accept_rate,0.6799999999999958,5.108032889479079,5
stackoverflow,0.75,false_reject_rate,-3.2711111111111144,1.1790768517031578,5
stackoverflow,0.75,known_recall,3.2711111111111117,1.1790768517031534,5
stackoverflow,0.75,oos_f1,2.6042448423154747,2.1005636372082357,5
