dataset,method,method_label,n_seeds,oos_f1_delta_pp,oos_f1_slope_pp_per_kir,f1_all_delta_pp,f1_all_slope_pp_per_kir,f1_k_delta_pp,f1_k_slope_pp_per_kir,known_recall_delta_pp,known_recall_slope_pp_per_kir,false_accept_rate_delta_pp,false_accept_rate_slope_pp_per_kir,false_reject_rate_delta_pp,false_reject_rate_slope_pp_per_kir
banking77,fixed_k2,Frozen K=2,5,-26.466880232412983,-52.933760464825966,9.163171587544394,18.326343175088788,10.296943486101483,20.593886972202966,1.2431941923774947,2.4863883847549895,15.75136116152451,31.50272232304902,-1.2431941923775003,-2.4863883847550006
banking77,mogb_minilm,MOGB MiniLM,5,-42.664754092990556,-85.32950818598111,-13.482898171740459,-26.965796343480918,-11.76150910652851,-23.52301821305702,-11.206442831215973,-22.412885662431947,-0.7368421052631601,-1.4736842105263201,11.206442831215968,22.412885662431936
banking77,mogb_partition_ours_boundary,MOGB partition + ours,5,-38.92282282859563,-77.84564565719126,-12.542533417188274,-25.085066834376548,-11.347821954649717,-22.695643909299434,-15.822141560798558,-31.644283121597116,0.03539019963701984,0.07078039927403967,15.822141560798558,31.644283121597116
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,5,-35.60631270379041,-71.21262540758082,0.18374393987377058,0.36748787974754116,1.6921749911999462,3.3843499823998924,-0.3080762250453728,-0.6161524500907456,3.6229582577132406,7.245916515426481,0.3080762250453728,0.6161524500907456
banking77,random_partition,Random K=2,5,-31.626012187972798,-63.252024375945595,9.578730709422178,19.157461418844356,10.844435623732318,21.688871247464636,2.5390199637023603,5.0780399274047205,27.005444646097992,54.010889292195984,-2.539019963702352,-5.078039927404704
banking77,single_centroid,Frozen K=1,5,-31.51165379507296,-63.02330759014592,8.926410652396854,17.852821304793707,10.185860198660956,20.371720397321912,2.5190562613430223,5.038112522686045,26.16379310344828,52.32758620689656,-2.519056261343011,-5.038112522686022
banking77,trainable_k1,Trainable K=1,5,-23.000397113295378,-46.000794226590756,5.620960068702818,11.241920137405636,6.579588936554737,13.159177873109474,0.5716878402903802,1.1433756805807604,9.277676950998192,18.555353901996384,-0.5716878402903802,-1.1433756805807604
clinc150,fixed_k2,Frozen K=2,5,-12.967993979088188,-25.935987958176376,3.421120491085894,6.842240982171788,3.853617157781297,7.707234315562594,1.4526942355889694,2.9053884711779387,2.5967161493477295,5.193432298695459,-1.4526942355889694,-2.9053884711779387
clinc150,mogb_minilm,MOGB MiniLM,5,-26.452068099312854,-52.90413619862571,-10.443268549273688,-20.886537098547375,-9.602353385049566,-19.204706770099133,-7.908834586466162,-15.817669172932325,0.17116509221773002,0.34233018443546004,7.908834586466151,15.817669172932302
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,5,-22.15705324291253,-44.31410648582506,-10.560904586807284,-21.12180917361457,-10.040611643610397,-20.081223287220794,-12.08615288220552,-24.17230576441104,-0.34795321637427,-0.69590643274854,12.086152882205509,24.172305764411018
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,5,-22.597307250591705,-45.19461450118341,0.2595033584126938,0.5190067168253876,1.0889699407397369,2.1779398814794737,0.9505012531328294,1.9010025062656588,0.7005173189383698,1.4010346378767395,-0.9505012531328405,-1.901002506265681
clinc150,random_partition,Random K=2,5,-12.034840437916117,-24.069680875832233,3.564984594234377,7.129969188468754,3.973068395405299,7.946136790810598,1.205513784461154,2.411027568922308,4.05116959064327,8.10233918128654,-1.2055137844611514,-2.411027568922303
clinc150,single_centroid,Frozen K=1,5,-12.460656991352693,-24.921313982705385,3.301965231356141,6.603930462712282,3.7168686228230774,7.433737245646155,1.1240601503759384,2.248120300751877,4.06747638326586,8.13495276653172,-1.1240601503759384,-2.248120300751877
clinc150,trainable_k1,Trainable K=1,5,-12.314952021557579,-24.629904043115157,3.222518423564402,6.445036847128804,3.630301471626829,7.260602943253658,1.487468671679193,2.974937343358386,0.78025191183086,1.56050382366172,-1.4874686716792096,-2.974937343358419
stackoverflow,fixed_k2,Frozen K=2,5,-43.026768436094635,-86.05353687218927,-2.333205804702576,-4.666411609405152,1.694684607304553,3.389369214609106,2.808888888888883,5.617777777777766,42.19555555555557,84.39111111111114,-2.8088888888888883,-5.617777777777777
stackoverflow,mogb_minilm,MOGB MiniLM,5,-43.85160238104039,-87.70320476208077,-20.977154240469364,-41.95430848093873,-14.736241812136969,-29.472483624273938,-11.440000000000008,-22.880000000000017,-0.27111111111110997,-0.5422222222222199,11.439999999999994,22.87999999999999
stackoverflow,mogb_partition_ours_boundary,MOGB partition + ours,5,-41.03241931719847,-82.06483863439693,-23.86694812775318,-47.73389625550636,-20.16942636580636,-40.33885273161272,-20.040000000000003,-40.080000000000005,-0.2311111111111097,-0.4622222222222194,20.040000000000006,40.08000000000001
stackoverflow,ours_partition_mogb_boundary,Ours partition + MOGB,5,-42.15643862039373,-84.31287724078746,-7.833216962350386,-15.666433924700772,-2.6672946818487753,-5.3345893636975505,-0.6488888888888877,-1.2977777777777755,18.93777777777778,37.87555555555556,0.6488888888888933,1.2977777777777866
stackoverflow,random_partition,Random K=2,5,-24.100218348939585,-48.20043669787917,0.21462015261481948,0.42924030522963896,2.935021647781777,5.870043295563554,2.1022222222222275,4.204444444444455,18.87555555555555,37.7511111111111,-2.102222222222219,-4.204444444444438
stackoverflow,single_centroid,Frozen K=1,5,-23.876773867999688,-47.753547735999376,0.22637584581417514,0.4527516916283503,2.9626498033868853,5.925299606773771,2.0088888888888823,4.017777777777765,17.87111111111111,35.74222222222222,-2.0088888888888894,-4.017777777777779
stackoverflow,trainable_k1,Trainable K=1,5,-19.17590645924079,-38.35181291848158,-0.35724692543436243,-0.7144938508687249,1.9429867009878143,3.8859734019756287,-0.1777777777777656,-0.3555555555555312,4.95111111111111,9.90222222222222,0.17777777777777948,0.35555555555555896
