dataset,method,method_label,metric,metric_label,n_seeds,kir_025,kir_050,kir_075,endpoint_delta,endpoint_delta_pp,slope_per_kir,slope_pp_per_kir,worst_value,best_value
banking77,fixed_k2,Frozen K=2,oos_f1,OOS F1,5,0.8577784166123713,0.7546157036165422,0.5931096142882415,-0.2646688023241298,-26.466880232412983,-0.5293376046482596,-52.933760464825966,0.5931096142882415,0.8577784166123713
banking77,fixed_k2,Frozen K=2,f1_all,F1-All,5,0.7109974813224451,0.7616393362174011,0.802629197197889,0.09163171587544394,9.163171587544394,0.18326343175088788,18.326343175088788,0.7109974813224451,0.802629197197889
banking77,fixed_k2,Frozen K=2,f1_k,F1-K,5,0.7032721689387648,0.7618241686542658,0.8062416037997796,0.10296943486101484,10.296943486101483,0.20593886972202968,20.593886972202966,0.7032721689387648,0.8062416037997796
banking77,fixed_k2,Frozen K=2,known_recall,Known Recall,5,0.8189473684210526,0.8255263157894737,0.8313793103448276,0.012431941923774947,1.2431941923774947,0.024863883847549895,2.4863883847549895,0.8189473684210526,0.8313793103448276
banking77,fixed_k2,Frozen K=2,false_accept_rate,False acceptance,5,0.2032758620689654,0.2905128205128205,0.3607894736842105,0.1575136116152451,15.75136116152451,0.3150272232304902,31.50272232304902,0.2032758620689654,0.3607894736842105
banking77,fixed_k2,Frozen K=2,false_reject_rate,False rejection,5,0.1810526315789473,0.1744736842105262,0.1686206896551723,-0.012431941923775003,-1.2431941923775003,-0.024863883847550006,-2.4863883847550006,0.1686206896551723,0.1810526315789473
banking77,mogb_minilm,MOGB MiniLM,oos_f1,OOS F1,5,0.9029919725157672,0.7499368546965275,0.4763444315858617,-0.42664754092990553,-42.664754092990556,-0.8532950818598111,-85.32950818598111,0.4763444315858617,0.9029919725157672
banking77,mogb_minilm,MOGB MiniLM,f1_all,F1-All,5,0.5587572321670984,0.4860081532780996,0.4239282504496938,-0.1348289817174046,-13.482898171740459,-0.2696579634348092,-26.965796343480918,0.4239282504496938,0.5587572321670984
banking77,mogb_minilm,MOGB MiniLM,f1_k,F1-K,5,0.5406396142540106,0.4790626611355094,0.4230245231887255,-0.11761509106528512,-11.76150910652851,-0.23523018213057023,-23.52301821305702,0.4230245231887255,0.5406396142540106
banking77,mogb_minilm,MOGB MiniLM,known_recall,Known Recall,5,0.3997368421052631,0.334078947368421,0.2876724137931034,-0.11206442831215974,-11.206442831215973,-0.22412885662431947,-22.412885662431947,0.2876724137931034,0.3997368421052631
banking77,mogb_minilm,MOGB MiniLM,false_accept_rate,False acceptance,5,0.0149999999999999,0.0108974358974358,0.0076315789473683,-0.0073684210526316005,-0.7368421052631601,-0.014736842105263201,-1.4736842105263201,0.0076315789473683,0.0149999999999999
banking77,mogb_minilm,MOGB MiniLM,false_reject_rate,False rejection,5,0.6002631578947368,0.6659210526315789,0.7123275862068965,0.11206442831215968,11.206442831215968,0.22412885662431936,22.412885662431936,0.6002631578947368,0.7123275862068965
banking77,mogb_partition_ours_boundary,MOGB partition + ours,oos_f1,OOS F1,5,0.9205598966754222,0.7939747596576892,0.5313316683894659,-0.38922822828595627,-38.92282282859563,-0.7784564565719125,-77.84564565719126,0.5313316683894659,0.9205598966754222
banking77,mogb_partition_ours_boundary,MOGB partition + ours,f1_all,F1-All,5,0.7114966831111289,0.6480972658162543,0.5860713489392462,-0.12542533417188273,-12.542533417188274,-0.25085066834376546,-25.085066834376548,0.5860713489392462,0.7114966831111289
banking77,mogb_partition_ours_boundary,MOGB partition + ours,f1_k,F1-K,5,0.7004933560814293,0.6442583843993744,0.5870151365349321,-0.11347821954649717,-11.347821954649717,-0.22695643909299434,-22.695643909299434,0.5870151365349321,0.7004933560814293
banking77,mogb_partition_ours_boundary,MOGB partition + ours,known_recall,Known Recall,5,0.616842105263158,0.5218421052631579,0.4586206896551724,-0.15822141560798558,-15.822141560798558,-0.31644283121597117,-31.644283121597116,0.4586206896551724,0.616842105263158
banking77,mogb_partition_ours_boundary,MOGB partition + ours,false_accept_rate,False acceptance,5,0.0401724137931034,0.0349999999999999,0.0405263157894736,0.00035390199637019837,0.03539019963701984,0.0007078039927403967,0.07078039927403967,0.0349999999999999,0.0405263157894736
banking77,mogb_partition_ours_boundary,MOGB partition + ours,false_reject_rate,False rejection,5,0.383157894736842,0.478157894736842,0.5413793103448276,0.15822141560798558,15.822141560798558,0.31644283121597117,31.644283121597116,0.383157894736842,0.5413793103448276
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,oos_f1,OOS F1,5,0.9067732430505278,0.7885946611939285,0.5507101160126237,-0.3560631270379041,-35.60631270379041,-0.7121262540758082,-71.21262540758082,0.5507101160126237,0.9067732430505278
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,f1_all,F1-All,5,0.6549065911705718,0.656780700176241,0.6567440305693095,0.0018374393987377058,0.18374393987377058,0.0036748787974754116,0.36748787974754116,0.6549065911705718,0.656780700176241
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,f1_k,F1-K,5,0.6416504515979425,0.6533119117284072,0.658572201509942,0.016921749911999462,1.6921749911999462,0.033843499823998924,3.3843499823998924,0.6416504515979425,0.658572201509942
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,known_recall,Known Recall,5,0.5386842105263158,0.5325,0.535603448275862,-0.003080762250453728,-0.3080762250453728,-0.006161524500907456,-0.6161524500907456,0.5325,0.5386842105263158
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,false_accept_rate,False acceptance,5,0.0450862068965517,0.0524358974358973,0.0813157894736841,0.03622958257713241,3.6229582577132406,0.07245916515426482,7.245916515426481,0.0450862068965517,0.0813157894736841
banking77,ours_partition_mogb_boundary,Ours partition + MOGB,false_reject_rate,False rejection,5,0.4613157894736842,0.4674999999999999,0.4643965517241379,0.003080762250453728,0.3080762250453728,0.006161524500907456,0.6161524500907456,0.4613157894736842,0.4674999999999999
banking77,random_partition,Random K=2,oos_f1,OOS F1,5,0.8500483735063608,0.7162208519261768,0.5337882516266328,-0.31626012187972796,-31.626012187972798,-0.6325202437594559,-63.252024375945595,0.5337882516266328,0.8500483735063608
banking77,random_partition,Random K=2,f1_all,F1-All,5,0.693146655424499,0.7472005675171391,0.7889339625187208,0.09578730709422179,9.578730709422178,0.19157461418844357,19.157461418844356,0.693146655424499,0.7889339625187208
banking77,random_partition,Random K=2,f1_k,F1-K,5,0.6848886702622957,0.7480158231905856,0.7933330264996189,0.10844435623732318,10.844435623732318,0.21688871247464636,21.688871247464636,0.6848886702622957,0.7933330264996189
banking77,random_partition,Random K=2,known_recall,Known Recall,5,0.8473684210526315,0.8596052631578948,0.8727586206896552,0.025390199637023603,2.5390199637023603,0.050780399274047205,5.0780399274047205,0.8473684210526315,0.8727586206896552
banking77,random_partition,Random K=2,false_accept_rate,False acceptance,5,0.2231034482758621,0.365,0.493157894736842,0.2700544464609799,27.005444646097992,0.5401088929219598,54.010889292195984,0.2231034482758621,0.493157894736842
banking77,random_partition,Random K=2,false_reject_rate,False rejection,5,0.1526315789473683,0.1403947368421051,0.1272413793103448,-0.02539019963702352,-2.539019963702352,-0.05078039927404704,-5.078039927404704,0.1272413793103448,0.1526315789473683
banking77,single_centroid,Frozen K=1,oos_f1,OOS F1,5,0.8517237093485583,0.7242801509490058,0.5366071713978288,-0.3151165379507296,-31.51165379507296,-0.6302330759014592,-63.02330759014592,0.5366071713978288,0.8517237093485583
