mode,ball_id,center_l2,majority_label,purity,radius,sample_count,method
official_fixed,0,11.64144257631621,1,1.0,2.2417101860046387,398,Official L1 loss
official_fixed,1,12.451386041162294,4,1.0,1.7365286350250244,521,Official L1 loss
official_fixed,2,11.333675370387516,7,1.0,2.466075897216797,544,Official L1 loss
official_fixed,3,12.084224229859515,8,1.0,2.4238905906677246,519,Official L1 loss
official_fixed,4,11.086722593792851,9,1.0,2.5959155559539795,449,Official L1 loss
official_fixed,5,11.533566489489038,5,1.0,2.381686210632324,406,Official L1 loss
official_fixed,6,12.324684139930662,0,1.0,2.462751865386963,403,Official L1 loss
official_fixed,7,10.214300447864,0,1.0,3.6574227809906006,11,Official L1 loss
official_fixed,8,11.100230315191734,1,1.0,2.8191335201263428,32,Official L1 loss
official_fixed,9,11.144529550941083,2,1.0,2.1381678581237797,18,Official L1 loss
official_fixed,10,11.08860897731689,2,1.0,2.436459541320801,27,Official L1 loss
official_fixed,11,11.772626097579904,3,1.0,1.9321963787078855,517,Official L1 loss
official_fixed,12,10.653782844126626,4,1.0,3.1658315658569336,11,Official L1 loss
official_fixed,13,11.835957905018883,6,1.0,2.2671847343444824,252,Official L1 loss
official_fixed,14,11.265844280678651,6,1.0,3.4598424434661865,29,Official L1 loss
official_fixed,15,9.83372128528202,9,1.0,4.055078506469727,11,Official L1 loss
official_fixed,16,11.390523543484209,5,1.0,2.368513584136963,26,Official L1 loss
official_fixed,17,11.359559632453914,5,1.0,2.160452127456665,11,Official L1 loss
official_fixed,18,11.766104614365895,0,1.0,2.6304547786712646,51,Official L1 loss
official_fixed,19,11.59163703981266,6,1.0,2.260561943054199,183,Official L1 loss
official_fixed,20,7.325812011375992,6,1.0,3.2898941040039062,10,Official L1 loss
official_fixed,21,11.416620989773474,5,1.0,2.07576847076416,15,Official L1 loss
official_fixed,22,11.522294509894046,2,1.0,1.9045261144638064,431,Official L1 loss
official_fixed,23,11.061904734691822,1,1.0,2.8962326049804688,15,Official L1 loss
official_fixed,24,10.469153338319703,2,1.0,3.5590803623199463,22,Official L1 loss
official_fixed,25,11.35894892268731,2,1.0,2.0756020545959477,37,Official L1 loss
official_fixed,26,11.554607285536411,3,1.0,2.276309013366699,10,Official L1 loss
official_fixed,27,11.05921995519918,2,1.0,2.4437901973724365,12,Official L1 loss
official_fixed,0,14.740965067480303,0,1.0,3.1902918815612797,470,Raw-distance diagnostic
official_fixed,1,13.64067715305395,1,1.0,3.2295143604278564,463,Raw-distance diagnostic
official_fixed,2,14.390276313264112,4,1.0,2.265366077423096,533,Raw-distance diagnostic
official_fixed,3,12.872951572752836,7,1.0,3.235560655593872,576,Raw-distance diagnostic
official_fixed,4,12.82343263477205,9,1.0,4.028456687927246,570,Raw-distance diagnostic
official_fixed,5,13.764266950749924,6,1.0,3.138972282409668,508,Raw-distance diagnostic
official_fixed,6,11.345118038288426,6,1.0,4.604203701019287,41,Raw-distance diagnostic
official_fixed,7,11.939127075683324,0,1.0,4.176176071166992,12,Raw-distance diagnostic
official_fixed,8,12.299355569928634,0,1.0,4.660750865936279,18,Raw-distance diagnostic
official_fixed,9,12.067488329313669,1,1.0,4.334039688110352,19,Raw-distance diagnostic
official_fixed,10,12.414175091877205,1,1.0,4.0332207679748535,13,Raw-distance diagnostic
official_fixed,11,13.48702216236446,2,1.0,2.8125689029693604,562,Raw-distance diagnostic
official_fixed,12,13.418016460865886,3,1.0,2.71063232421875,557,Raw-distance diagnostic
official_fixed,13,11.73171235462755,4,1.0,4.51728630065918,10,Raw-distance diagnostic
official_fixed,14,10.40184760793486,4,1.0,4.403420448303223,15,Raw-distance diagnostic
official_fixed,15,13.266988387979014,5,1.0,3.264101982116699,317,Raw-distance diagnostic
official_fixed,16,13.185695981877783,5,1.0,2.922938346862793,36,Raw-distance diagnostic
official_fixed,17,9.866812373511555,7,1.0,5.524539470672607,13,Raw-distance diagnostic
official_fixed,18,14.243597093232951,8,1.0,2.92249059677124,535,Raw-distance diagnostic
official_fixed,19,11.852068519078776,8,1.0,4.354732036590576,12,Raw-distance diagnostic
official_fixed,20,10.71681359456733,9,1.0,4.995136737823486,13,Raw-distance diagnostic
official_fixed,21,11.294790538896864,6,1.0,4.75990629196167,15,Raw-distance diagnostic
official_fixed,22,12.33052587702675,1,1.0,4.287716388702393,12,Raw-distance diagnostic
official_fixed,23,12.36990228438873,2,1.0,3.707294464111328,10,Raw-distance diagnostic
official_fixed,24,13.685887542908231,5,1.0,2.6058056354522705,48,Raw-distance diagnostic
official_fixed,25,13.041925727253163,5,1.0,2.5920214653015137,12,Raw-distance diagnostic
official_fixed,26,10.956579898731167,8,1.0,5.244544506072998,17,Raw-distance diagnostic
official_fixed,27,13.568744941428688,0,1.0,3.9351143836975098,13,Raw-distance diagnostic
official_fixed,28,11.17411893748358,1,1.0,4.359264373779297,23,Raw-distance diagnostic
official_fixed,29,13.70725998060704,5,1.0,2.4037415981292725,76,Raw-distance diagnostic
official_fixed,30,12.322459368417002,1,1.0,4.297757148742676,16,Raw-distance diagnostic
official_fixed,31,13.329015127814433,5,1.0,2.409343242645264,40,Raw-distance diagnostic
official_fixed,32,11.751155449704036,1,1.0,4.447342395782471,11,Raw-distance diagnostic
