metric,official_local,raw_distance_diagnostic,delta_pp
accuracy,75.1667,77.25,2.083299999999994
f1_all,68.3502,72.6392,4.2890000000000015
f1_u,79.9676,80.9571,0.9894999999999925
f1_k,67.1884,71.8074,4.619
known_recall,51.5333,59.2,7.666700000000006
oos_precision,67.1652,70.3667,3.201499999999996
oos_recall,98.8,95.3,-3.5
