dataset,kir,method,n,oos_f1,oos_f1_std,f1_all,f1_all_std,f1_k,f1_k_std,accuracy,accuracy_std,known_recall,known_recall_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std,auroc,auroc_std,aupr_oos,aupr_oos_std,scope,protocol,source
banking77,0.25,fixed_k2,5,0.8577784166123713,0.03175919520536074,0.7109974813224451,0.022029938729008988,0.7032721689387648,0.021679098223804347,0.7975974025974025,0.03756887754457831,0.8189473684210526,0.019771898690801946,0.20327586206896547,0.05330347459857209,0.18105263157894735,0.01977189869080194,0.8880257486388384,0.02195384948734977,0.9518511325826771,0.00896709126384111,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.25,mogb_minilm,5,0.9029919725157672,0.004345545482740943,0.5587572321670984,0.029774536226248104,0.5406396142540106,0.031148861337724744,0.8401948051948052,0.0074900845233082216,0.3997368421052631,0.022626223356528193,0.01499999999999994,0.0064106870491649265,0.6002631578947368,0.022626223356528186,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.25,mogb_partition_ours_boundary,5,0.9205598966754222,0.004509605546132505,0.7114966831111289,0.03032860301737084,0.7004933560814293,0.03172498444892061,0.8742857142857142,0.007874297040858383,0.616842105263158,0.03248961052773283,0.0401724137931034,0.0047354979196455845,0.38315789473684203,0.03248961052773284,0.8916474591651543,0.012543410063866606,0.9504326276363961,0.006799150330955473,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.25,ours_partition_mogb_boundary,5,0.9067732430505278,0.009602934276313787,0.6549065911705718,0.019568953029171277,0.6416504515979425,0.02022418185291007,0.8508441558441557,0.013474221560151413,0.5386842105263158,0.01921683385995492,0.0450862068965517,0.01866085626332246,0.46131578947368423,0.019216833859954888,0.8775311932849366,0.023857419438173138,0.9467843141034917,0.009309641814558334,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.25,random_partition,5,0.8500483735063608,0.02443395835719756,0.693146655424499,0.027109730408082476,0.6848886702622957,0.02754162419067095,0.7888961038961039,0.02862800626051965,0.8473684210526315,0.008217102629471576,0.2231034482758621,0.04080578657002089,0.15263157894736837,0.008217102629471607,0.8943634301270418,0.00936768794405229,0.9538458219553927,0.0048790775601228265,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.25,single_centroid,5,0.8517237093485583,0.025265382256290114,0.6928544335841691,0.030262672116638623,0.6844928927544645,0.030807384693457833,0.7904545454545454,0.030026412165949087,0.8389473684210526,0.008757663838049344,0.21836206896551724,0.04175209237389305,0.16105263157894736,0.008757663838049351,0.8915661297640654,0.010464869829698532,0.9525432082011687,0.005210891496906994,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.5,fixed_k2,5,0.7546157036165422,0.02152853677583116,0.7616393362174011,0.010872629981106366,0.7618241686542658,0.010759487242767126,0.7479220779220779,0.01520541587564855,0.8255263157894737,0.007030552635469753,0.2905128205128205,0.03548121800378637,0.17447368421052628,0.007030552635469739,0.859762230094467,0.013002373982499552,0.8357888390365009,0.014816779192299057,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.5,mogb_minilm,5,0.7499368546965275,0.006406834213942418,0.48600815327809965,0.02507951184173857,0.47906266113550944,0.025582384875183526,0.6651298701298701,0.01093003941032308,0.33407894736842103,0.02139119217091644,0.01089743589743584,0.004902903378454608,0.6659210526315789,0.021391192170916395,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.5,mogb_partition_ours_boundary,5,0.7939747596576892,0.007797331809627128,0.6480972658162543,0.019765373642870485,0.6442583843993744,0.0201208439280535,0.7438311688311688,0.011074712922604237,0.5218421052631579,0.020199618424305323,0.03499999999999994,0.008702380518741112,0.47815789473684206,0.020199618424305302,0.8545895748987855,0.009753977751105713,0.8139938584826117,0.01697217891876366,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
banking77,0.5,ours_partition_mogb_boundary,5,0.7885946611939285,0.008579758994922679,0.656780700176241,0.008903644780417778,0.6533119117284072,0.008955754710422514,0.7361038961038961,0.008716187107485545,0.5325,0.012154149001478381,0.05243589743589738,0.01632666007056647,0.46749999999999997,0.012154149001478388,0.8464349696356275,0.016610261889607267,0.8202411325534655,0.019952351266799576,fair_frozen_minilm_component,protocol_v2_textoir_v1,results/mogb/fair_matrix.csv
