dataset,kir_seed,gate,oos_f1,known_macro_f1,overall_accuracy,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,result_path,result_sha256,kir,scope,protocol,source
banking77,kir50_seed87,frozen_k1,0.8502155172413793,0.8061765694285196,0.7661764705882353,0.879,0.2314935064935065,0.121,0.0,0.136518771331058,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/banking77_oos/kir50_seed87/frozen_k1/eval_results.json,85b98c354a7075922a0f0ca6527d7963161cbe6045180417271ebfe13ed39032,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
banking77,kir50_seed87,frozen_selected_k,0.8502155172413793,0.8061765694285196,0.7661764705882353,0.879,0.2314935064935065,0.121,0.0,0.136518771331058,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/banking77_oos/kir50_seed87/frozen_selected_k/eval_results.json,bc25f278d3817613457d289b3a9b856b7ddef099b1e289a897cfeaa58904e475,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed13,best_controlled_baseline,0.8960648843496546,0.8296169593888474,0.8530909090909091,0.8111111111111111,0.0821538461538461,0.1888888888888888,0.027945205479452,0.036640360766629,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed13/best_controlled_baseline/eval_results.json,5432372e7f257491959be9bf0f5441c5ee77138765e18dfd9adde9f84da6e49a,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed13,ce_recon_selected_k,0.8958748221906117,0.7869203374858047,0.8523636363636363,0.7195555555555555,0.031076923076923,0.2804444444444444,0.0197652872143298,0.0302457466918714,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed13/ce_recon_selected_k/eval_results.json,f2eb1bb773c72ba043fedb2054522d07f126ca38bbb759afe4c71d926b7d8558,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed13,frozen_k1,0.8695907290597037,0.7810510831133562,0.818,0.732,0.088,0.268,0.0285367334547662,0.040625,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed13/frozen_k1/eval_results.json,baecc31cd56aa7e92c34151e9f35bca6581a293f687df18de4b379d68a335cd2,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed13,frozen_selected_k,0.8695907290597037,0.7810510831133562,0.818,0.732,0.088,0.268,0.0285367334547662,0.040625,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed13/frozen_selected_k/eval_results.json,06da5e8bfe32d124f34c000efcb357fce4bca1de31df67c9839584eca5dad3b4,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed42,best_controlled_baseline,0.9141899100746838,0.8619492163572041,0.8752727272727273,0.8613333333333333,0.0772307692307692,0.1386666666666666,0.0294117647058823,0.0350877192982456,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/best_controlled_baseline/eval_results.json,e77c44d379139b01fac22986b244de501d1544f250f5892e0e4b9d654ff51e38,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed42,ce_recon_selected_k,0.895423899010185,0.7998364395037556,0.8532727272727273,0.7333333333333333,0.0396923076923076,0.2666666666666666,0.0224242424242424,0.0254184748915065,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/ce_recon_selected_k/eval_results.json,c2e1ad73edc04011cb8e899cf5469b29a217d5ae81c8951b0fdebf78922653a8,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed42,frozen_k1,0.8816362053959965,0.7858366129217187,0.8330909090909091,0.7311111111111112,0.0649230769230769,0.2688888888888889,0.0285714285714285,0.0344180225281602,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/frozen_k1/eval_results.json,00d1ca30613f619dd20d3be874f90bc8884fd5f19114ab8bded9076d3cfb5751,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed42,frozen_selected_k,0.8816362053959965,0.7858366129217187,0.8330909090909091,0.7311111111111112,0.0649230769230769,0.2688888888888889,0.0285714285714285,0.0344180225281602,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/frozen_selected_k/eval_results.json,ef3a216ed546e399e3d2adbfb685a83774885ea9ee6aaca43e86199360561c45,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed87,best_controlled_baseline,0.9150668100138228,0.8638985660367187,0.8747272727272727,0.8746666666666667,0.0833846153846153,0.1253333333333333,0.0279471544715447,0.0423418714061683,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/best_controlled_baseline/eval_results.json,9021b8130657893c2ea156920feed37ef6879f18f0e683ac085372d9ecfb6d21,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed87,ce_recon_selected_k,0.9085975435589831,0.8035563378538699,0.868,0.7462222222222222,0.0212307692307692,0.2537777777777777,0.0220369267421083,0.0298416565164433,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/ce_recon_selected_k/eval_results.json,270041cab969477cb65aa7d36ed5edc7a5034501881739b90ea4bdb59f581a12,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed87,frozen_k1,0.8895027624309392,0.78806072098193,0.8407272727272728,0.7471111111111111,0.0587692307692307,0.2528888888888889,0.024390243902439,0.0457317073170731,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/frozen_k1/eval_results.json,3143c86c80b7835eb01c473337927e5cde9cfcf855cca7f879204c685578822a,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,kir50_seed87,frozen_selected_k,0.8895027624309392,0.78806072098193,0.8407272727272728,0.7471111111111111,0.0587692307692307,0.2528888888888889,0.024390243902439,0.0457317073170731,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/frozen_selected_k/eval_results.json,6341d31d0c597355bc3f14925fc78e2f24e6e5f970b31f7dd444357b1286346c,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed13,best_controlled_baseline,0.8585284280936455,0.8424456643115151,0.8215358931552588,0.8601468624833111,0.1426185704742819,0.1398531375166889,0.0,0.086534730306558,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/best_controlled_baseline/eval_results.json,bd00c99d422286372ecf85721614c44bdf52bf73595fcea5eb94e768198622a6,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed13,ce_recon_selected_k,0.8500707213578501,0.8608664252390756,0.8136894824707847,0.9138851802403204,0.1970607882431529,0.0861148197596795,0.0,0.097881665449233,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/ce_recon_selected_k/eval_results.json,0fd29dbc050cc8e2685af0d29d7e4f7733ad2e9267ced5fa0e0fb5bc8b8bc542,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
