method,seed,oos_f1,oos_precision,oos_recall,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,fpr95,checkpoint_sha256,test_used_for_selection
frozen_k1,13,0.7185035760132037,0.7986139421117,0.653,0.7751838252001846,0.7808518501188826,0.7128333333333333,0.8353333333333334,0.347,0.16466666666666666,0.8612272222222221,0.8156840094880962,0.32466666666666666,,False
frozen_k1,42,0.8197054342305738,0.8328173374613003,0.807,0.7765962760577415,0.7722853602404582,0.7715,0.838,0.193,0.162,0.9064862222222222,0.8927093484941884,0.30133333333333334,,False
frozen_k1,87,0.7804792723456359,0.8211262421788738,0.7436666666666667,0.8061479473885722,0.8087148148928659,0.7746666666666666,0.838,0.25633333333333336,0.162,0.8780081111111111,0.8321384307538693,0.318,,False
trainable_k1,13,0.8565782973818541,0.8464041653107712,0.867,0.8523954175911279,0.8519771296120553,0.8496666666666667,0.8426666666666667,0.133,0.15733333333333333,0.9058574444444444,0.8624639062641226,0.22266666666666668,152cdbf20179569d4cd37d4e3e46f2b5ad776f83da48cc3f8cabe7f439f78225,False
trainable_k1,42,0.8754826254826255,0.8460820895522388,0.907,0.8576590966593717,0.8558767437770463,0.8648333333333333,0.835,0.093,0.165,0.9267934444444444,0.9119942660488355,0.20066666666666666,d773b9e4aebf6bb6abb519880946a5c70495411ed3c4ae1f11a611fe2e3a607a,False
trainable_k1,87,0.8692120227457352,0.8478605388272583,0.8916666666666667,0.8595641369722073,0.8585993483948545,0.8601666666666666,0.84,0.10833333333333334,0.16,0.9198784444444444,0.8888527044060599,0.212,2da86a1b091de974a353059ac682e23ddc100d9e00f209bd062d610d556a2efc,False
