dataset,workpoint,delta_oos_f1_mean,delta_oos_f1_std,delta_oos_f1_count,delta_f1_all_mean,delta_f1_all_std,delta_f1_all_count,delta_f1_k_mean,delta_f1_k_std,delta_f1_k_count,delta_accuracy_mean,delta_accuracy_std,delta_accuracy_count,delta_id_recall_mean,delta_id_recall_std,delta_id_recall_count,delta_false_accept_rate_mean,delta_false_accept_rate_std,delta_false_accept_rate_count,delta_false_reject_rate_mean,delta_false_reject_rate_std,delta_false_reject_rate_count,delta_auroc_mean,delta_auroc_std,delta_auroc_count,delta_aupr_oos_mean,delta_aupr_oos_std,delta_aupr_oos_count
banking77,calibration_coverage_0.80,0.006881191288421147,0.005806474219368388,3,0.022290271098526476,0.013446997399427429,3,0.022555944888355845,0.013774608603016984,3,0.0102813852813853,0.002436868019306839,3,0.009770114942528737,0.0075441296510488885,3,-1.850371707708594e-17,0.017105263157894707,3,-0.009770114942528737,0.0075441296510489735,3,0.0059637779794314465,0.00633437096350414,3,0.017690312913220596,0.009246002477699562,3
banking77,default_radius,0.005991857957648561,0.003588381339906541,3,0.018165588307003617,0.010428565455713839,3,0.018375480209578687,0.010547024100890676,3,0.011038961038960996,0.005906949804759805,3,0.017959770114942503,0.011728046170771582,3,0.0008771929824561339,0.0015193428136568985,3,-0.017959770114942503,0.011728046170771627,3,0.0059637779794314465,0.00633437096350414,3,0.017690312913220596,0.009246002477699562,3
clinc150,calibration_coverage_0.80,-0.005652374649607758,0.030467136030091237,8,0.006403698567601215,0.004674049248802827,8,0.006512509327842503,0.0045210562142350775,8,-0.0030263157894736825,0.01910722273160919,8,0.0024464285714285716,0.005217132347147587,8,0.00949693422519507,0.046553797804772507,8,-0.0024464285714285855,0.005217132347147552,8,-0.0022373995770734456,0.013930383689074727,8,-0.0008976881885913446,0.01763030363643057,8
clinc150,default_radius,0.002319522719701747,0.001502422350061641,8,0.007305572104142136,0.004630603754947205,8,0.0073577680190081846,0.004660433969411902,8,0.0030482456140350778,0.002219018378145312,8,0.009639384920634889,0.005567730600471846,8,0.0008756038647343128,0.00103722957424031,8,-0.009639384920634916,0.00556773060047185,8,-0.0022373995770734456,0.013930383689074727,8,-0.0008976881885913446,0.01763030363643057,8
stackoverflow,calibration_coverage_0.80,-0.15664188811271276,0.1245689866193566,5,0.01629581234514621,0.06469233263385714,5,0.029501308637431833,0.0679822904015624,5,-0.08820000000000001,0.05476254295694375,5,-0.017333333333333357,0.011145502331533658,5,0.18613333333333335,0.17078537538221605,5,0.017333333333333346,0.011145502331533661,5,-0.13867039999999992,0.07721600149861267,5,-0.08883788887162652,0.06980961195180921,5
stackoverflow,default_radius,0.0015518734867631667,0.016893825994321123,5,0.06593414695968179,0.043834938366202725,5,0.0708029439798128,0.046614536332627965,5,0.023199999999999988,0.025993428656745782,5,0.08397777777777779,0.04065834766155536,5,0.06233333333333337,0.039126575225655616,5,-0.08397777777777778,0.04065834766155534,5,-0.13867039999999992,0.07721600149861267,5,-0.08883788887162652,0.06980961195180921,5
