method,dataset,kir,seed,sample_type,q10,q25,q50,q75,q90
s2c_trainable_k1,banking77,0.25,100,oos,1.0391451573121702,1.1593838724239225,1.2856814549440831,1.4302549843642156,1.5209196774646123
mogb_minilm_fair,banking77,0.25,123,known,0.7699276398318344,0.8968542612771145,1.0711367216055823,1.277701689104912,1.5111285120068323
mogb_minilm_fair,banking77,0.25,123,oos,1.2728975417686705,1.436405092445328,1.5766894004443612,1.731509254108148,1.8808374586649172
s2c_trainable_k1,banking77,0.25,123,known,0.6381536202787909,0.7174809773941809,0.832234772923798,0.9443100617826704,1.0739721331600731
s2c_trainable_k1,banking77,0.25,123,oos,0.9516549223681039,1.0505948242064862,1.1504927595630423,1.2572118431573687,1.3448964845386404
mogb_minilm_fair,banking77,0.5,13,known,0.8185418106319798,0.9466119274580185,1.1383832363185178,1.3861441046064764,1.6412282247934684
mogb_minilm_fair,banking77,0.5,13,oos,1.2665532336255265,1.4398330069589451,1.6343681326889565,1.86268307110235,2.098981308950283
s2c_trainable_k1,banking77,0.5,13,known,0.6400006351411716,0.717194924757112,0.8223374131030622,0.9567102029562926,1.0707172372030036
s2c_trainable_k1,banking77,0.5,13,oos,0.9719940631459607,1.0707395350083702,1.1744755763444177,1.3015662133140797,1.4164044741888961
mogb_minilm_fair,banking77,0.5,42,known,0.8138460635494937,0.9560674746207374,1.1608639717729252,1.436856976164385,1.6892414505481728
mogb_minilm_fair,banking77,0.5,42,oos,1.2816701247828497,1.4454533989285019,1.640360863264342,1.8144066049410135,2.0243845152902304
s2c_trainable_k1,banking77,0.5,42,known,0.6411870886283654,0.7212056207567004,0.8298275224476181,0.9528568206695991,1.0883473892296325
s2c_trainable_k1,banking77,0.5,42,oos,0.9652277679445048,1.0620539281230261,1.156969658435956,1.2619753505546754,1.381095476744393
mogb_minilm_fair,banking77,0.5,87,known,0.8018913607651914,0.9211236869124311,1.1275326027204033,1.3812798837596312,1.646836315632064
mogb_minilm_fair,banking77,0.5,87,oos,1.308338841074103,1.4232902640862317,1.5810084830300815,1.763127947452775,2.0132087171318505
s2c_trainable_k1,banking77,0.5,87,known,0.61209195003205,0.6998328407390307,0.8198426880653478,0.9492995029594338,1.1083240478292469
s2c_trainable_k1,banking77,0.5,87,oos,0.9804637078036829,1.0822045655479562,1.1920693077609525,1.3095731949619078,1.4135160658165062
mogb_minilm_fair,banking77,0.5,100,known,0.827605243320115,0.9419561307780844,1.1450832971605456,1.4127399171065527,1.656686490519509
mogb_minilm_fair,banking77,0.5,100,oos,1.2378628396546998,1.3794273584675139,1.5688388966898872,1.8026410105784405,2.016431048260883
s2c_trainable_k1,banking77,0.5,100,known,0.6427311043780438,0.7276552167224328,0.8385968390049666,0.9493650584690965,1.0700731227403593
s2c_trainable_k1,banking77,0.5,100,oos,0.9361036325408431,1.044010210277993,1.1461066124086976,1.247966027394688,1.344825395468837
mogb_minilm_fair,banking77,0.5,123,known,0.792396406751068,0.925943835323379,1.123824440264171,1.3591275314846216,1.5989460080966291
mogb_minilm_fair,banking77,0.5,123,oos,1.2422480676039276,1.4017398910632786,1.5784112599233615,1.7742338522921228,1.9988556392781953
s2c_trainable_k1,banking77,0.5,123,known,0.6252005238757229,0.7043981662378154,0.8229866216019153,0.9448116040503478,1.0784642007651204
s2c_trainable_k1,banking77,0.5,123,oos,0.9215213933683485,1.0244747785614698,1.13276521927403,1.2531553650449967,1.3621442041770178
mogb_minilm_fair,banking77,0.75,13,known,0.8359402961851061,0.9624635662050396,1.1701159512528836,1.484354153696349,1.7857956616071946
mogb_minilm_fair,banking77,0.75,13,oos,1.2211712025527168,1.3726368884703042,1.5472014478427734,1.766629012383767,2.0222441030294305
s2c_trainable_k1,banking77,0.75,13,known,0.6524307497223867,0.7315445533185995,0.8366692765389325,0.9502362768247268,1.0624845428104874
s2c_trainable_k1,banking77,0.75,13,oos,0.919433089571409,1.0004291597459343,1.072392003186243,1.1701968586758293,1.3006669875207548
mogb_minilm_fair,banking77,0.75,42,known,0.8348134807521408,0.9708985157556294,1.2145032586347337,1.553585706094964,1.8742978336577343
mogb_minilm_fair,banking77,0.75,42,oos,1.338224888526411,1.4984757343140727,1.701093706296973,1.905154496794474,2.1765191393448355
s2c_trainable_k1,banking77,0.75,42,known,0.6343701824691608,0.7195843334676087,0.8300991233614459,0.9513450718587049,1.0722903735299651
s2c_trainable_k1,banking77,0.75,42,oos,0.9701369093100535,1.0615961110185543,1.143340923210606,1.227980037907327,1.3344228394146884
mogb_minilm_fair,banking77,0.75,87,known,0.8087023415628527,0.9593671592462147,1.1600283418458714,1.436858684266989,1.7253724079581603
mogb_minilm_fair,banking77,0.75,87,oos,1.2621687531526333,1.400154269305161,1.597205276824282,1.823756736374758,2.0956506105654245
s2c_trainable_k1,banking77,0.75,87,known,0.6275089041212488,0.7148568999213158,0.8250749328638782,0.9501664624498437,1.0806019591282874
s2c_trainable_k1,banking77,0.75,87,oos,0.944180437534136,1.0596140542501253,1.153303601541542,1.2607563912110356,1.3650818345452596
mogb_minilm_fair,banking77,0.75,100,known,0.8212718566076213,0.9774400114244587,1.1876322592715036,1.483904075909833,1.7450942714079907
mogb_minilm_fair,banking77,0.75,100,oos,1.249622935823021,1.4287599697538536,1.6118540076699825,1.8079299819619608,2.0196153218840145
s2c_trainable_k1,banking77,0.75,100,known,0.6404585530394595,0.7207079765065822,0.8258646625568555,0.9470046119321386,1.0725772437109988
s2c_trainable_k1,banking77,0.75,100,oos,0.9199713044402472,1.0287774653061985,1.1420371741232516,1.2514695081664318,1.3536125086670807
mogb_minilm_fair,banking77,0.75,123,known,0.803244715468904,0.9695110482112999,1.21269257829393,1.5054904535919835,1.7904808200902433
mogb_minilm_fair,banking77,0.75,123,oos,1.3592190154775843,1.484754167230552,1.6761041528330392,1.881477712106986,2.1237320767929804
s2c_trainable_k1,banking77,0.75,123,known,0.6329846222970509,0.7199375038001465,0.8279232367132541,0.9484544506261298,1.072398610004096
s2c_trainable_k1,banking77,0.75,123,oos,0.9019574497377866,1.0124904097814635,1.1150744414920057,1.2256812195692701,1.3179466983420507
mogb_minilm_fair,clinc150,0.25,13,known,0.8485449166920713,0.9381219670017064,1.038918818989249,1.1589381007165422,1.3072129848507716
mogb_minilm_fair,clinc150,0.25,13,oos,1.215684977747681,1.3016820565618041,1.3944411405145045,1.5329754995600597,1.6778432467656825
s2c_trainable_k1,clinc150,0.25,13,known,0.6671483553594694,0.7629135255409824,0.8701887965688415,1.0084039973474002,1.1414963337851507
s2c_trainable_k1,clinc150,0.25,13,oos,1.1797394368373992,1.3219322883979205,1.4593760875024522,1.5826420782379804,1.6742841395597554
mogb_minilm_fair,clinc150,0.25,42,known,0.8525339798172823,0.9602570729991926,1.0843249149172225,1.2101107439079561,1.3551386211032872
mogb_minilm_fair,clinc150,0.25,42,oos,1.2096680403621891,1.2995707532951153,1.3954918438795265,1.5090378506409485,1.6410283334222624
s2c_trainable_k1,clinc150,0.25,42,known,0.6981810036535533,0.805405694077304,0.9021919033122703,1.0117345872322248,1.1148043383560646
s2c_trainable_k1,clinc150,0.25,42,oos,1.087769618275379,1.1707674408395286,1.2621756678345681,1.3366705486965813,1.3887236444997015
mogb_minilm_fair,clinc150,0.25,87,known,0.8332728869495705,0.9420874887846895,1.0741675691020727,1.211070780126135,1.3783300389698636
mogb_minilm_fair,clinc150,0.25,87,oos,1.219076033336194,1.3267663656065598,1.4415724887242654,1.5470132189574113,1.6778502453841369
s2c_trainable_k1,clinc150,0.25,87,known,0.6750196345836442,0.7738425673599494,0.8778521360394542,1.0083517522605867,1.1003811606202993
s2c_trainable_k1,clinc150,0.25,87,oos,1.081024443203635,1.1790697064446582,1.2695116086064826,1.3489581578722474,1.4082742751687878
mogb_minilm_fair,clinc150,0.25,100,known,0.8196338552199041,0.932896507294362,1.0530558239884713,1.1993100124238676,1.3313840418030187
mogb_minilm_fair,clinc150,0.25,100,oos,1.2493161240640926,1.3250503433014613,1.4190777192948594,1.5400049841596608,1.717797471055479
s2c_trainable_k1,clinc150,0.25,100,known,0.6596877466232008,0.7570105525472691,0.8605680862736926,1.0001127059810784,1.1177032361343127
s2c_trainable_k1,clinc150,0.25,100,oos,1.1772765557767437,1.2844465445300144,1.400022042104914,1.517812327849548,1.6160421507459655
mogb_minilm_fair,clinc150,0.25,123,known,0.8506419333070878,0.942033755553839,1.0562413020301542,1.179008999114652,1.312664318500448
mogb_minilm_fair,clinc150,0.25,123,oos,1.2014035332283677,1.3050320640103297,1.397492464600251,1.5228693411447156,1.6845336943205362
s2c_trainable_k1,clinc150,0.25,123,known,0.6791344008425715,0.7720813507538967,0.8769077525851297,1.0128668498781868,1.1491697963679894
s2c_trainable_k1,clinc150,0.25,123,oos,1.1224845982925582,1.274680529497686,1.4194254769828591,1.543194155829622,1.6309551500243262
mogb_minilm_fair,clinc150,0.5,13,known,0.8450150898002329,0.9650153805536039,1.0879279067738412,1.2275952803059982,1.3873894790560397
mogb_minilm_fair,clinc150,0.5,13,oos,1.2283969106080566,1.3146500465701152,1.4087392890127384,1.53476910000904,1.699159178199142
s2c_trainable_k1,clinc150,0.5,13,known,0.6668635733647434,0.7608289894354424,0.8627434273082425,1.0032258288826017,1.1272224138219555
s2c_trainable_k1,clinc150,0.5,13,oos,1.1288305864007722,1.2437882101651188,1.3676458640738778,1.4791075162634186,1.5608727899929482
mogb_minilm_fair,clinc150,0.5,42,known,0.8456569678272211,0.969115608605636,1.1007948165648624,1.2418996723640943,1.4145431159903843
mogb_minilm_fair,clinc150,0.5,42,oos,1.2345329999642445,1.3460521579660063,1.4489444455712894,1.5620497317613118,1.7219524987352932
s2c_trainable_k1,clinc150,0.5,42,known,0.6927165311680693,0.7821263294777027,0.8897143995803668,1.009277439358211,1.1284839315148103
s2c_trainable_k1,clinc150,0.5,42,oos,1.0871303616024393,1.1978859957446812,1.28766414941698,1.3612061391622503,1.4180747854372375
mogb_minilm_fair,clinc150,0.5,87,known,0.8522455650011067,0.9587023187378827,1.0813384428169992,1.243991466129196,1.426005991889784
mogb_minilm_fair,clinc150,0.5,87,oos,1.2194120669026387,1.325213699923471,1.446309763705848,1.577151006993353,1.732814437708073
s2c_trainable_k1,clinc150,0.5,87,known,0.6683216309796658,0.7593618007478103,0.8661299781727394,1.002930127190199,1.1407634673612717
s2c_trainable_k1,clinc150,0.5,87,oos,1.1194171929943286,1.215092402647381,1.3043909194659398,1.3854078057544819,1.4531730220387196
mogb_minilm_fair,clinc150,0.5,100,known,0.8437245723134266,0.9547766531654823,1.0851749443310454,1.2398914043088656,1.4079013003233973
mogb_minilm_fair,clinc150,0.5,100,oos,1.2143957630798392,1.3028546333165334,1.4138170081134387,1.5863675905034367,1.770624625057055
s2c_trainable_k1,clinc150,0.5,100,known,0.6907778395368359,0.7766858792632655,0.8811653474072298,1.0006604804241233,1.118837958364814
s2c_trainable_k1,clinc150,0.5,100,oos,1.1129669106319622,1.2297963679038546,1.3496359199722865,1.4409931560956952,1.5075876747869421
mogb_minilm_fair,clinc150,0.5,123,known,0.856664003468431,0.9707686530450682,1.093964492611088,1.2312041001241005,1.390867024987767
mogb_minilm_fair,clinc150,0.5,123,oos,1.2228067850621394,1.3132001967331823,1.4232358135518792,1.5728627512410853,1.7279413984379872
s2c_trainable_k1,clinc150,0.5,123,known,0.7114321882311946,0.7958846542576817,0.893814908231694,1.0022069461352947,1.1075386778789924
s2c_trainable_k1,clinc150,0.5,123,oos,1.0932067539599581,1.183550102031536,1.2745648746562865,1.3442625884356638,1.3932801910015808
mogb_minilm_fair,clinc150,0.75,13,known,0.8559931494101976,0.9783618063822453,1.1095295514194228,1.2637245159831494,1.4443555035838596
mogb_minilm_fair,clinc150,0.75,13,oos,1.2669575832850892,1.349669182184266,1.4403984190804247,1.5761729808540508,1.72661013019834
s2c_trainable_k1,clinc150,0.75,13,known,0.702614055202368,0.7911522769002854,0.8887292213135266,1.0031420600490308,1.1062757120841702
s2c_trainable_k1,clinc150,0.75,13,oos,1.071909059774043,1.171342663908096,1.2614189206620174,1.3371227039637514,1.3945097571032856
mogb_minilm_fair,clinc150,0.75,42,known,0.8586052140895092,0.9767776980283888,1.1260742537470771,1.291694189363401,1.4657868961405673
mogb_minilm_fair,clinc150,0.75,42,oos,1.2722074871711284,1.3719845438197873,1.485024102385468,1.6142316781385986,1.7861423238364484
s2c_trainable_k1,clinc150,0.75,42,known,0.6696488920453801,0.7654781866213757,0.8723435472667709,1.0067269674254011,1.149858518149327
s2c_trainable_k1,clinc150,0.75,42,oos,1.1100413723883154,1.2221308987720403,1.3400797961000335,1.4264093162360458,1.482518600497306
mogb_minilm_fair,clinc150,0.75,87,known,0.8527867802657951,0.9737429699046489,1.1201996523452173,1.288405098227467,1.4566848220440825
mogb_minilm_fair,clinc150,0.75,87,oos,1.2273599194645344,1.3130188257117408,1.428969005649755,1.5777658620085195,1.749371359772049
s2c_trainable_k1,clinc150,0.75,87,known,0.6860441486750869,0.7759809069989283,0.8808356171117137,0.9990095610389097,1.1129656020632444
s2c_trainable_k1,clinc150,0.75,87,oos,1.1024826925686944,1.1822246411687958,1.2695731167915518,1.3404585071621138,1.3856572425994784
mogb_minilm_fair,clinc150,0.75,100,known,0.8463982910631149,0.9682886486011404,1.1067016828188214,1.2769233869691496,1.4668239304354125
mogb_minilm_fair,clinc150,0.75,100,oos,1.263605629538964,1.3548688264307578,1.4696467505432784,1.6253249809613461,1.7984426557718625
s2c_trainable_k1,clinc150,0.75,100,known,0.6559355369406336,0.7499247177821853,0.8589907071709006,0.9912981166352295,1.134001868943155
s2c_trainable_k1,clinc150,0.75,100,oos,1.1147354570686394,1.2399222882285654,1.3589692590290516,1.4532331231319502,1.5230739195554546
mogb_minilm_fair,clinc150,0.75,123,known,0.8531884358147817,0.9706669125099654,1.0965240187127314,1.2487472506954145,1.4342057506578718
mogb_minilm_fair,clinc150,0.75,123,oos,1.2147104471225372,1.308227998400275,1.412647081109661,1.5528478631957452,1.756460775642977
s2c_trainable_k1,clinc150,0.75,123,known,0.6850835073404359,0.7749290301183487,0.8805644878960222,0.9959865410277676,1.1099703053455023
s2c_trainable_k1,clinc150,0.75,123,oos,1.081685200483625,1.191416357099945,1.285927018560584,1.3671735467055441,1.4180386995980963
mogb_minilm_fair,stackoverflow,0.25,13,known,0.9103754639258509,0.9775168862698469,1.0440642070841109,1.131030141039288,1.218959133179952
mogb_minilm_fair,stackoverflow,0.25,13,oos,1.1430714499518453,1.1961675253571498,1.2380678070940179,1.2896844800334943,1.3449344467173048
s2c_trainable_k1,stackoverflow,0.25,13,known,0.787184895057764,0.841630739276301,0.8952123036034358,0.9543931637976453,1.0391465020409834
s2c_trainable_k1,stackoverflow,0.25,13,oos,1.0115746808398898,1.0426023971471992,1.0702671709086444,1.092007458956564,1.1098354890954965
mogb_minilm_fair,stackoverflow,0.25,42,known,0.902911096597573,0.9852655104847214,1.069378428396879,1.158695418245487,1.24545066834089
mogb_minilm_fair,stackoverflow,0.25,42,oos,1.137123457213448,1.1681623378873554,1.2017338619245803,1.2525748050764909,1.3564209919537005
s2c_trainable_k1,stackoverflow,0.25,42,known,0.6008219878243723,0.654318148431658,0.7303708096146179,0.8555248239376598,1.1137065213197164
s2c_trainable_k1,stackoverflow,0.25,42,oos,1.0867986851229268,1.2076470974983569,1.3693496040875108,1.5444084348510074,1.6588894668697476
mogb_minilm_fair,stackoverflow,0.25,87,known,0.9306294712745179,0.9915001765378085,1.0591613688080388,1.138143678618973,1.2061299964590708
mogb_minilm_fair,stackoverflow,0.25,87,oos,1.118095872651477,1.1707697947424356,1.2242276910008352,1.2761909248725192,1.325334949268109
s2c_trainable_k1,stackoverflow,0.25,87,known,0.6118034692211329,0.6703726676030486,0.7564305044406165,0.8750725459564199,1.1087796900071094
s2c_trainable_k1,stackoverflow,0.25,87,oos,1.1300268145820338,1.2612344411499699,1.4054019455098088,1.5351723373474264,1.6356074194462398
mogb_minilm_fair,stackoverflow,0.25,100,known,0.9227262452143566,0.9778759359268121,1.0398473098805692,1.1141200860545173,1.1967234132448583
mogb_minilm_fair,stackoverflow,0.25,100,oos,1.1100989753016757,1.1668394646676998,1.2160789927234434,1.2718475787910375,1.3587042009306565
s2c_trainable_k1,stackoverflow,0.25,100,known,0.5554709104638743,0.6106642255547966,0.6923845295356801,0.8228818116895074,1.1152900434157564
s2c_trainable_k1,stackoverflow,0.25,100,oos,1.2190788192539683,1.36961507468903,1.5283007129491595,1.6842422341244419,1.8102084562788574
mogb_minilm_fair,stackoverflow,0.25,123,known,0.9047317921485177,0.9637445077306026,1.0225678688576663,1.0925537614889949,1.1729012647912607
mogb_minilm_fair,stackoverflow,0.25,123,oos,1.0834361303978848,1.1289344550798208,1.1753354987824502,1.2292519562192603,1.2941509236586786
s2c_trainable_k1,stackoverflow,0.25,123,known,0.5594270530244206,0.6212559505970614,0.7157813439353125,0.8522940834052642,1.2054197125523054
s2c_trainable_k1,stackoverflow,0.25,123,oos,1.1180925463557325,1.256608343364434,1.4166810928001343,1.5482116986151475,1.6563286756691988
mogb_minilm_fair,stackoverflow,0.5,13,known,0.9212586645410535,0.9888828308612104,1.059794971671374,1.1552173374650567,1.2536678714742664
mogb_minilm_fair,stackoverflow,0.5,13,oos,1.1385824972008445,1.1947781236127972,1.2507611132991836,1.3142292790841887,1.3881779199339408
s2c_trainable_k1,stackoverflow,0.5,13,known,0.6001576163374103,0.6590519427020589,0.7384307449443551,0.8703937625033729,1.1176733183515406
s2c_trainable_k1,stackoverflow,0.5,13,oos,0.9632798259055556,1.0663166268037176,1.1659593710010001,1.2551029171622623,1.3271346351523812
mogb_minilm_fair,stackoverflow,0.5,42,known,0.9297020958560174,0.9912908468187893,1.0640976698307512,1.1898401221311568,1.2881268895035958
mogb_minilm_fair,stackoverflow,0.5,42,oos,1.1715227297861694,1.2310378721454605,1.284219191936533,1.3324953806440871,1.3925513254730995
s2c_trainable_k1,stackoverflow,0.5,42,known,0.6287293114271363,0.6808869302476938,0.7578611378502751,0.8917842245706045,1.1062452918601746
s2c_trainable_k1,stackoverflow,0.5,42,oos,1.0069967796259922,1.0924896716912613,1.1962343301974494,1.300298058864478,1.4040477393652282
mogb_minilm_fair,stackoverflow,0.5,87,known,0.925365964643132,0.9910795829789616,1.0610856533726394,1.1482172831116944,1.2275301345680667
mogb_minilm_fair,stackoverflow,0.5,87,oos,1.1183449717541754,1.169151227056457,1.22123526753836,1.278455504948663,1.337685723746305
s2c_trainable_k1,stackoverflow,0.5,87,known,0.5959085933812593,0.6551611905584097,0.7381413518022949,0.8693428137134168,1.13948393663474
s2c_trainable_k1,stackoverflow,0.5,87,oos,0.9901677038027731,1.114532109187185,1.2143082069404891,1.3174040104588978,1.4049423205797518
mogb_minilm_fair,stackoverflow,0.5,100,known,0.9313785390611171,0.9920773753602585,1.0701475002619403,1.191981036265462,1.2885141928568589
mogb_minilm_fair,stackoverflow,0.5,100,oos,1.1827634283689898,1.246615100669726,1.2993798497802835,1.3498050926141258,1.410287123395054
s2c_trainable_k1,stackoverflow,0.5,100,known,0.7229169573968108,0.7762741305049452,0.8418768375647225,0.929332295380628,1.0830664991995997
s2c_trainable_k1,stackoverflow,0.5,100,oos,1.0450483638807133,1.108672416310682,1.1669470543909715,1.2173179218198031,1.261709404561646
mogb_minilm_fair,stackoverflow,0.5,123,known,0.9355468284892277,1.006860199627643,1.1085470071867622,1.2499242913913342,1.3478789949118881
mogb_minilm_fair,stackoverflow,0.5,123,oos,1.172274092583424,1.2281591270797758,1.276121044642102,1.35048417241862,1.4204945406620728
s2c_trainable_k1,stackoverflow,0.5,123,known,0.5906106208933369,0.6465486869953873,0.7242260701456704,0.8521080349447201,1.1365918051993051
s2c_trainable_k1,stackoverflow,0.5,123,oos,1.0131206812722482,1.1305243113555496,1.2257328182474307,1.3089615640415326,1.372650814679735
mogb_minilm_fair,stackoverflow,0.75,13,known,0.9463990148847313,1.018736320587129,1.1158749060958195,1.2725710156849614,1.373930214690209
mogb_minilm_fair,stackoverflow,0.75,13,oos,1.2275497227066818,1.2797189368473352,1.3336258848440703,1.3941562212797556,1.4508862825253428
s2c_trainable_k1,stackoverflow,0.75,13,known,0.5918786454401747,0.6488151283025942,0.7280756887722002,0.8651769290537392,1.1214281725959212
s2c_trainable_k1,stackoverflow,0.75,13,oos,1.032327791469042,1.137962127315585,1.2408259432189541,1.3127782101659475,1.3694133040736636
mogb_minilm_fair,stackoverflow,0.75,42,known,0.9511862518980133,1.021144268778114,1.127153633528681,1.2951703458704764,1.3763930281724095
mogb_minilm_fair,stackoverflow,0.75,42,oos,1.176889268157634,1.2312489107228541,1.2957300060864427,1.3507123080094452,1.4095616263227004
s2c_trainable_k1,stackoverflow,0.75,42,known,0.6710455316568477,0.7233521043648254,0.7921843821199861,0.899019821032063,1.0648491475591269
s2c_trainable_k1,stackoverflow,0.75,42,oos,0.9814687476311285,1.0536030111307373,1.1568308403036107,1.2395901365535738,1.3087361283980248
mogb_minilm_fair,stackoverflow,0.75,87,known,0.9341384853279614,1.0072278059168165,1.0950168486346263,1.2167259586982793,1.3104911281392342
mogb_minilm_fair,stackoverflow,0.75,87,oos,1.1979874715183119,1.2522283873229907,1.3077371782295442,1.3674791079183812,1.4298365763385994
s2c_trainable_k1,stackoverflow,0.75,87,known,0.7278954211828813,0.7789185636857646,0.8441871731457287,0.9334630477740833,1.0708832421798102
s2c_trainable_k1,stackoverflow,0.75,87,oos,1.0276604521442083,1.0763738514364811,1.1172117322650275,1.1574171376055606,1.188114592627306
mogb_minilm_fair,stackoverflow,0.75,100,known,0.9459674782560816,1.0103727878817972,1.0886480049482636,1.199678620886815,1.2926959565272769
mogb_minilm_fair,stackoverflow,0.75,100,oos,1.1167676897901937,1.1883458811618872,1.246997362565003,1.320342561929771,1.370855661982006
s2c_trainable_k1,stackoverflow,0.75,100,known,0.5682177256418318,0.6341334149875097,0.7211782726022036,0.8588915170615186,1.15161491193962
s2c_trainable_k1,stackoverflow,0.75,100,oos,0.9473049392382051,1.0735331320953652,1.2112018141246903,1.3513430139500118,1.4552978677853097
mogb_minilm_fair,stackoverflow,0.75,123,known,0.9415365644284257,1.020569322918522,1.1320237023004371,1.333875297213528,1.4155925398039497
mogb_minilm_fair,stackoverflow,0.75,123,oos,1.250695818894228,1.2970643437848457,1.3459064536846452,1.406621874333025,1.4772608496298967
s2c_trainable_k1,stackoverflow,0.75,123,known,0.568150600739091,0.6264008884296284,0.7071003696453262,0.8415314645256824,1.1429314639592518
s2c_trainable_k1,stackoverflow,0.75,123,oos,1.1099756784144892,1.1746130139059376,1.2387474233632019,1.29645451947899,1.349694061782582
