method,dataset,kir,seed,sample_type,q10,q25,q50,q75,q90
mogb_minilm_fair,banking77,0.25,13,known,0.7867842811513941,0.9159782534182281,1.0968369181849875,1.4060269208521228,1.6478461914998948
mogb_minilm_fair,banking77,0.25,13,oos,1.260527299732518,1.4163930936835032,1.5836105428304956,1.7645257438706368,1.9826279995381186
s2c_trainable_k1,banking77,0.25,13,known,0.662632682911298,0.7285538366961181,0.8287198401767942,0.9558510119974217,1.0689514096364923
s2c_trainable_k1,banking77,0.25,13,oos,0.9937133287178346,1.084957125101968,1.1911993841674624,1.3031543943647115,1.3942741911251033
mogb_minilm_fair,banking77,0.25,42,known,0.7584094780107802,0.8795942123288173,1.046489718087321,1.3062555943080312,1.524079728621703
mogb_minilm_fair,banking77,0.25,42,oos,1.2219992686920036,1.3596880570315006,1.525484098339923,1.704949340101452,1.9352510913281662
s2c_trainable_k1,banking77,0.25,42,known,0.6102575677676899,0.6835939490915316,0.7950588548214819,0.9428868587089377,1.106138795206852
s2c_trainable_k1,banking77,0.25,42,oos,1.0008155653313204,1.118606282086129,1.2532179288219587,1.3883253042656256,1.5127131018899125
mogb_minilm_fair,banking77,0.25,87,known,0.7996845583314162,0.9129476587550175,1.066395181459657,1.2751266363751812,1.5081296834334876
mogb_minilm_fair,banking77,0.25,87,oos,1.28263736648341,1.4443442157335347,1.616946687655083,1.8007493703065467,2.0384118233627904
s2c_trainable_k1,banking77,0.25,87,known,0.6075094918470906,0.6874748031885951,0.8108858115903009,0.942967176039218,1.1175326164746768
s2c_trainable_k1,banking77,0.25,87,oos,1.0432765902631875,1.1462092627532154,1.2758506836063224,1.4011981367707298,1.508643448240532
mogb_minilm_fair,banking77,0.25,100,known,0.7927716963233368,0.9053930779760477,1.0912104429817813,1.299538041779199,1.532144215022405
mogb_minilm_fair,banking77,0.25,100,oos,1.265544409673292,1.4089143464220442,1.600892468882941,1.7912572090431156,1.9944998696488574
s2c_trainable_k1,banking77,0.25,100,known,0.6099706098988762,0.7070064979677666,0.8275575948576287,0.9534887875522884,1.1132595427764533
