method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
mogb_minilm_fair,banking77,0.25,13,0.5483050184286856,0.8594184108168179,0.0013157894736842105,0.0,0.9986842105263158,0.7534913933095161,1.0
mogb_minilm_fair,banking77,0.25,13,0.6962205381476628,0.8642205252374744,0.04078947368421053,0.0,0.9592105263157895,0.7609052148245327,1.0
mogb_minilm_fair,banking77,0.25,13,0.7590772525091253,0.8684900711877107,0.07894736842105263,0.0008620689655172414,0.9210526315789473,0.7680583167660703,0.9991379310344828
mogb_minilm_fair,banking77,0.25,13,0.8049993644922238,0.8709251931411344,0.11052631578947368,0.003879310344827586,0.8894736842105263,0.7736859725477068,0.9961206896551724
mogb_minilm_fair,banking77,0.25,13,0.8410852773286202,0.8733889310083397,0.14210526315789473,0.006896551724137931,0.8578947368421053,0.7794316644113667,0.993103448275862
mogb_minilm_fair,banking77,0.25,13,0.8660933304597376,0.8760960731986275,0.1736842105263158,0.009482758620689655,0.8263157894736842,0.7853725222146275,0.9905172413793103
mogb_minilm_fair,banking77,0.25,13,0.8891701183437045,0.8809204218600192,0.2131578947368421,0.009913793103448277,0.7868421052631579,0.7934369602763385,0.9900862068965517
mogb_minilm_fair,banking77,0.25,13,0.9157582927276466,0.8850308641975309,0.25,0.011206896551724138,0.75,0.8009776536312849,0.9887931034482759
mogb_minilm_fair,banking77,0.25,13,0.9394426401306026,0.888802639239278,0.2855263157894737,0.01293103448275862,0.7144736842105264,0.8083303918108012,0.9870689655172413
mogb_minilm_fair,banking77,0.25,13,0.9661653720541816,0.8922295978133542,0.31973684210526315,0.015086206896551725,0.6802631578947369,0.8154889364739472,0.9849137931034483
mogb_minilm_fair,banking77,0.25,13,0.9839546671030136,0.8959151610369207,0.3539473684210526,0.016810344827586206,0.6460526315789474,0.8228715728715729,0.9831896551724137
mogb_minilm_fair,banking77,0.25,13,1.0037734234081261,0.8978462754396365,0.3828947368421053,0.020689655172413793,0.6171052631578947,0.8288945640277271,0.9793103448275862
mogb_minilm_fair,banking77,0.25,13,1.0340592172448342,0.9005964214711729,0.4144736842105263,0.023706896551724137,0.5855263157894737,0.8357933579335793,0.9762931034482759
mogb_minilm_fair,banking77,0.25,13,1.0587886508732571,0.9025805161032207,0.44342105263157894,0.027586206896551724,0.5565789473684211,0.8421052631578947,0.9724137931034482
