dataset,kir,metric,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses
banking77,0.25,oos_f1,0.013546323975643171,0.017149901252077406,-0.001326853197500677,0.02528752877824956,4,0,1
banking77,0.25,auroc,0.05393330308529942,0.031330623974379544,0.02981012363883851,0.07996472323048993,5,0,0
banking77,0.25,aupr_oos,0.030821049912699516,0.01758435807845966,0.01896335813304815,0.046350751870478504,5,0,0
banking77,0.25,known_recall,0.41868421052631577,0.025093316146644628,0.39894736842105266,0.4376315789473685,5,0,0
banking77,0.25,false_accept_rate,0.08827586206896551,0.031263225501021244,0.06801724137931034,0.11474137931034482,5,0,0
banking77,0.25,oracle_oos_f1,0.01282040922158294,0.006152207073685728,0.0072776858080417116,0.01604782577852302,5,0,0
banking77,0.25,default_to_oracle_gap,-0.0007259147540602306,0.011838984283284252,-0.009634919962854904,0.008372764787241648,2,0,3
banking77,0.25,score_separation_d,0.5362411624399694,0.22920903960156394,0.33127189720261746,0.6960883010699378,5,0,0
banking77,0.5,oos_f1,0.08570376379212186,0.017664379841200162,0.06974518504583802,0.09699394989919967,5,0,0
banking77,0.5,auroc,0.06579579959514177,0.013533302037405336,0.05470352564102576,0.07511285425101218,5,0,0
banking77,0.5,aupr_oos,0.09914921652046031,0.020049415074893853,0.08130077131629694,0.11265211132589208,5,0,0
banking77,0.5,known_recall,0.48802631578947364,0.019962525487089922,0.4727631578947369,0.5035526315789474,5,0,0
banking77,0.5,false_accept_rate,0.14653846153846153,0.029801143476907554,0.12474358974358975,0.1719230769230769,5,0,0
banking77,0.5,oracle_oos_f1,0.04155958921987772,0.009303468520907155,0.03466659370800076,0.04845258473175469,5,0,0
banking77,0.5,default_to_oracle_gap,-0.044144174572244135,0.011207483947832901,-0.0524720442347826,-0.034597960512802575,0,0,5
banking77,0.5,score_separation_d,0.5446958082608578,0.12411546228009,0.43770794879365554,0.6195655588919026,5,0,0
banking77,0.75,oos_f1,0.21018989377259484,0.027763709488211098,0.19093962523245628,0.2336206361363527,5,0,0
banking77,0.75,auroc,0.09130115698729586,0.021564342539524703,0.07384789019963703,0.10594158348457361,5,0,0
banking77,0.75,aupr_oos,0.22182249795492445,0.029550733405865892,0.2016447063359112,0.2483355651927827,5,0,0
banking77,0.75,known_recall,0.5364655172413793,0.013168085811828614,0.5253448275862068,0.5460344827586207,5,0,0
banking77,0.75,false_accept_rate,0.18842105263157896,0.04517394819547952,0.1526315789473684,0.2223684210526316,5,0,0
banking77,0.75,oracle_oos_f1,0.11631093310297251,0.03013288550127844,0.09173704459720744,0.1371842428997783,5,0,0
banking77,0.75,default_to_oracle_gap,-0.0938789606696223,0.019730378620120025,-0.10902846705084221,-0.0788030058475833,0,0,5
banking77,0.75,score_separation_d,0.6366410263194144,0.1415091713296315,0.5095311941184001,0.7437837886039331,5,0,0
clinc150,0.25,oos_f1,0.027806639669318955,0.005124942391131986,0.024274822551027864,0.032217475816586204,5,0,0
clinc150,0.25,auroc,0.05278781932902443,0.008226376617470554,0.04627966297322268,0.05929597568482618,5,0,0
clinc150,0.25,aupr_oos,0.024153303485638666,0.006205277005353471,0.01934351390139677,0.028963093069880562,5,0,0
clinc150,0.25,known_recall,0.36526315789473685,0.023063670619212363,0.34649122807017535,0.38280701754385965,5,0,0
clinc150,0.25,false_accept_rate,0.025789473684210522,0.00985208199034474,0.017105263157894738,0.032807017543859646,5,0,0
clinc150,0.25,oracle_oos_f1,0.012559537852634283,0.0034844899162929004,0.01008802873022121,0.01536358930454076,5,0,0
clinc150,0.25,default_to_oracle_gap,-0.015247101816684672,0.0026188908168052775,-0.01730409101400534,-0.013190112619364003,0,0,5
clinc150,0.25,score_separation_d,0.8597537162302353,0.1576754562201483,0.7633331134682539,0.9943583973637349,5,0,0
clinc150,0.5,oos_f1,0.09119903794751208,0.002648807906349677,0.089010988367351,0.09305626579360841,5,0,0
clinc150,0.5,auroc,0.07685768760064413,0.011125221819073706,0.06848497262479884,0.086713996779388,5,0,0
clinc150,0.5,aupr_oos,0.08166450604503916,0.011259005006695301,0.07383346846564495,0.09109627978088934,5,0,0
