dataset,kir,metric,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses
clinc150,0.5,known_recall,0.4287111111111111,0.012635829910649514,0.4187555555555556,0.4381333333333333,5,0,0
clinc150,0.5,false_accept_rate,0.02788405797101449,0.007595640974581726,0.022260869565217396,0.03408695652173913,5,0,0
clinc150,0.5,oracle_oos_f1,0.04695267151096687,0.008484038710839364,0.04039163214315069,0.0528844911426777,5,0,0
clinc150,0.5,default_to_oracle_gap,-0.044246366436545205,0.007656285624691207,-0.05015472993631407,-0.03833800293677634,0,0,5
clinc150,0.5,score_separation_d,1.0133003819236963,0.13559895417753798,0.9022739097581803,1.1314411510104485,5,0,0
clinc150,0.75,oos_f1,0.169177800446872,0.0023994656141041004,0.1675164026057816,0.17126648594635918,5,0,0
clinc150,0.75,auroc,0.08573850223850232,0.011352187113983966,0.07709892653642662,0.09446100427350432,5,0,0
clinc150,0.75,aupr_oos,0.1723783812327077,0.011185474343608766,0.1653271098904579,0.18237940677199058,5,0,0
clinc150,0.75,known_recall,0.4592261904761905,0.005832118435198045,0.4549404761904762,0.46375,5,0,0
clinc150,0.75,false_accept_rate,0.031880341880341875,0.004374866287887086,0.028717948717948714,0.035641025641025635,5,0,0
clinc150,0.75,oracle_oos_f1,0.08445586974274355,0.019363375094638636,0.07054993202692231,0.1006643879148779,5,0,0
clinc150,0.75,default_to_oracle_gap,-0.08472193070412845,0.01854377769759884,-0.09802238613404261,-0.06963770608915212,0,0,5
clinc150,0.75,score_separation_d,1.0583421378037792,0.09872985869902547,0.9822118427311469,1.1383338790118032,5,0,0
stackoverflow,0.25,oos_f1,0.06039685255607965,0.013098720165832408,0.050234303119067604,0.07010070206304804,5,0,0
stackoverflow,0.25,auroc,0.08572314074074079,0.028784441350142218,0.061646074074074166,0.10903188148148146,5,0,0
stackoverflow,0.25,aupr_oos,0.051694029768449834,0.01972260576601519,0.03671846183691259,0.06809342433741214,5,0,0
stackoverflow,0.25,known_recall,0.5168,0.05082956270168418,0.47680000000000006,0.5533333333333333,5,0,0
stackoverflow,0.25,false_accept_rate,0.02911111111111111,0.019501820111320917,0.014646666666666685,0.045155555555555546,5,0,0
stackoverflow,0.25,oracle_oos_f1,0.041343155840556436,0.012758886853781246,0.030421661575939552,0.050210102024335776,5,0,0
stackoverflow,0.25,default_to_oracle_gap,-0.019053696715523216,0.006179537906545564,-0.02263590176066419,-0.013687643708392793,0,0,5
stackoverflow,0.25,score_separation_d,1.1983042714105745,0.42568841834924787,0.8342767044450656,1.4726730294414776,5,0,0
stackoverflow,0.5,oos_f1,0.14750723756035314,0.018587290515829497,0.13341185609362596,0.16158717182090068,5,0,0
stackoverflow,0.5,auroc,0.07582720000000001,0.03238784173068039,0.05472633333333332,0.10495708888888886,5,0,0
stackoverflow,0.5,aupr_oos,0.10698941921306997,0.03583081716940496,0.07865786983181558,0.1382401553105352,5,0,0
stackoverflow,0.5,known_recall,0.568,0.024869660230891787,0.5548,0.5900666666666667,5,0,0
stackoverflow,0.5,false_accept_rate,0.08546666666666666,0.03014557273557024,0.06106666666666667,0.10713333333333334,5,0,0
stackoverflow,0.5,oracle_oos_f1,0.0655427420742168,0.018514483627586443,0.052218931881515565,0.0798133199403058,5,0,0
stackoverflow,0.5,default_to_oracle_gap,-0.08196449548613634,0.013944841914977947,-0.09264869385926292,-0.07130231692144814,0,0,5
stackoverflow,0.5,score_separation_d,0.8266251584324978,0.2088599433349358,0.6743047881359996,0.9924750230294986,5,0,0
stackoverflow,0.75,oos_f1,0.30715381177407564,0.028455455977467445,0.28422269729742644,0.32757094182864976,5,0,0
stackoverflow,0.75,auroc,0.12575137777777776,0.044025445458981335,0.09381173333333326,0.16156639999999997,5,0,0
stackoverflow,0.75,aupr_oos,0.29135396012464126,0.08081461421619436,0.22927672848290728,0.3539820756024465,5,0,0
stackoverflow,0.75,known_recall,0.6294222222222222,0.020752271926790508,0.6138222222222223,0.6446222222222223,5,0,0
stackoverflow,0.75,false_accept_rate,0.08133333333333333,0.05559576322786556,0.039066666666666666,0.1257333333333333,5,0,0
stackoverflow,0.75,oracle_oos_f1,0.1567241177367112,0.03354369612005398,0.13146928380889353,0.18371442192262363,5,0,0
stackoverflow,0.75,default_to_oracle_gap,-0.15042969403736448,0.034703934279208815,-0.17732086524703558,-0.12353852282769336,0,0,5
stackoverflow,0.75,score_separation_d,1.1067503529389364,0.26185999970998963,0.9065930107831978,1.3069076950946754,5,0,0
