method,method_label,layer,oos_f1_mean,f1_all_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,oos_f1_std,f1_all_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,n_seeds,scope
ADB,ADB (same protocol cell),same_protocol_external_compatibility,0.8747369425124395,0.8567214699615485,0.8066666666666666,0.0723333333333333,0.1933333333333333,0.864388888888889,0.0147841708731482,0.0157728475788679,0.0158989866902824,0.0170391705588427,0.0158989866902824,0.01631745259712,3,same_data_external_compatibility
fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,0.6352945072329976,0.7275883031957765,0.8688666666666667,0.4716666666666667,0.1311333333333333,0.6692666666666667,0.043018765630415,0.0233592333048186,0.0128010416242845,0.05844940832321,0.0128010416242845,0.0274576947320783,5,same_protocol_fair
mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,0.729199427573284,0.4329803937892986,0.2709333333333333,0.0079333333333332,0.7290666666666666,0.6305666666666667,0.0062494323929414,0.0339955397195192,0.0236988044705494,0.0025755258362775,0.0236988044705494,0.0120822413299667,5,same_protocol_fair
mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,0.7924706249591658,0.63344181949998,0.5038666666666667,0.0185999999999999,0.4961333333333333,0.7407333333333334,0.014867493644347,0.0550164341664174,0.0490773765485573,0.0070134790859379,0.0490773765485573,0.0238381696724671,5,same_protocol_fair
ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,0.7335218198140271,0.6358695194997168,0.5449333333333334,0.1569333333333333,0.4550666666666666,0.6835333333333333,0.0130121757961406,0.0158231793394901,0.0117364579172953,0.0295281410033058,0.0117364579172953,0.0135991217036656,5,same_protocol_fair
random_partition,S2C Random K=2,current_protocol_v2_fair_gate,0.7587996754762378,0.7980409512231381,0.8764,0.3097999999999999,0.1235999999999999,0.7609999999999999,0.0549134144241642,0.0223511010034228,0.0134627056881016,0.0855802417487691,0.0134627056881016,0.0414412234375385,5,same_protocol_fair
single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,0.7654959559609912,0.7997964624589458,0.8714666666666666,0.2970666666666666,0.1285333333333333,0.7657666666666667,0.0534487697454966,0.0220096349222799,0.0118241748596302,0.0840477377579089,0.0118241748596301,0.0407258108165653,5,same_protocol_fair
trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,0.8767066651336372,0.8655077750537566,0.8389333333333333,0.0933999999999999,0.1610666666666666,0.8681333333333333,0.0165700486592959,0.0129768949886664,0.0035699361961307,0.0326116884294913,0.0035699361961307,0.0159641090505476,5,same_protocol_fair
