method,oos_f1,f1_all,known_recall,method_label,cells
fixed_k2,0.7550580577086116,0.7678808165561731,0.8144441645300992,S2C Frozen K=2,9
mogb_minilm,0.7339003783533196,0.4625803032971014,0.3121153837659282,MOGB-MiniLM,9
mogb_partition_ours_boundary,0.7774018496867828,0.6392305404502207,0.522108262834609,MOGB partition + S2C boundary,9
ours_partition_mogb_boundary,0.7589741106284742,0.6230119708353835,0.4997739095503766,S2C partition + MOGB boundary,9
random_partition,0.7839111114561033,0.7850581696124227,0.8425193324947107,S2C Random K=2,9
single_centroid,0.7864391103354775,0.7829886053473837,0.8349758473450549,S2C Frozen K=1,9
trainable_k1,0.8575316407416053,0.833557682828187,0.8021819087949759,S2C Trainable K=1,9
