dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path,oos_false_accept_count,known_false_reject_count,oos_true_reject_count,oos_recall,oos_precision,oos_f1_reconstructed
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.9337242173594388,0.5333333333333333,0.0221491228070175,0.4666666666666667,0.9337242173594388,0.5333333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/mogb_partition_ours_boundary/predictions.tsv,100.9999999999998,532.0,4459.0,0.9778508771929825,0.8934081346423562,0.9337242173594388
clinc150,0.25,42,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.928219852337982,0.4157894736842105,0.0074561403508771,0.5842105263157895,0.928219852337982,0.4157894736842105,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/ours_partition_mogb_boundary/predictions.tsv,33.999999999999574,666.0,4526.0,0.9925438596491228,0.8717257318952234,0.9282198523379821
clinc150,0.25,87,trainable_k1,Trainable K=1,5700,1140,4560,0.9473684210526316,0.7368421052631579,0.0407894736842105,0.2631578947368421,0.9473684210526316,0.736842105263158,-1.1102230246251563e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/clinc150/seed_87/predictions.jsonl,185.9999999999999,300.0,4374.0,0.9592105263157895,0.9358151476251605,0.9473684210526315
clinc150,0.25,87,single_centroid,Frozen K=1,5700,1140,4560,0.9354624085163008,0.7894736842105263,0.075,0.2105263157894736,0.9354624085163008,0.7894736842105263,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/single_centroid/predictions.tsv,342.0,239.9999999999999,4218.0,0.925,0.946164199192463,0.9354624085163007
clinc150,0.25,87,fixed_k2,Frozen K=2,5700,1140,4560,0.9354095843842528,0.7421052631578947,0.0646929824561403,0.2578947368421053,0.9354095843842528,0.7421052631578947,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/fixed_k2/predictions.tsv,294.9999999999998,294.0,4265.0,0.9353070175438597,0.9355121737223075,0.9354095843842526
clinc150,0.25,87,random_partition,Random K=2,5700,1140,4560,0.9348863006100944,0.7885964912280702,0.0758771929824561,0.2114035087719298,0.9348863006100944,0.7885964912280702,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/random_partition/predictions.tsv,345.99999999999983,240.99999999999997,4214.0,0.9241228070175439,0.9459034792368126,0.9348863006100944
clinc150,0.25,87,mogb_minilm,MOGB MiniLM,5700,1140,4560,0.9232335573203012,0.3614035087719298,0.0057017543859649,0.6385964912280702,0.9232335573203012,0.3614035087719298,1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/mogb_minilm/predictions.tsv,25.999999999999943,728.0,4534.0,0.9942982456140351,0.8616495629038389,0.9232335573203013
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.939911448450348,0.5894736842105263,0.0223684210526315,0.4105263157894737,0.939911448450348,0.5894736842105264,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/mogb_partition_ours_boundary/predictions.tsv,101.99999999999963,468.0,4458.0,0.9776315789473684,0.904993909866017,0.9399114484503479
clinc150,0.25,87,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.9244270080528598,0.4307017543859649,0.0182017543859649,0.5692982456140351,0.9244270080528598,0.4307017543859649,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/ours_partition_mogb_boundary/predictions.tsv,82.99999999999994,649.0,4477.0,0.9817982456140351,0.8733905579399142,0.9244270080528598
clinc150,0.25,100,trainable_k1,Trainable K=1,5700,1140,4560,0.9625347891243844,0.7491228070175439,0.0140350877192982,0.2508771929824561,0.9625347891243844,0.7491228070175439,1.1102230246251563e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/clinc150/seed_100/predictions.jsonl,63.999999999999794,285.99999999999994,4496.0,0.9859649122807017,0.9401923881221247,0.9625347891243844
