dataset,kir,comparison_method,comparison_label,metric,n_seeds,mean_trainable_minus_comparison,mean_delta_pp,ci95_low,ci95_high,wins,ties,losses
clinc150,0.25,single_centroid,Frozen K=1,oos_f1,5,0.009570492578489454,0.9570492578489455,0.008650536348996684,0.010798147065644947,5,0,0
clinc150,0.25,single_centroid,Frozen K=1,oos_precision,5,-0.008366350669767653,-0.8366350669767653,-0.00937360961296232,-0.007598089293847176,0,0,5
clinc150,0.25,single_centroid,Frozen K=1,oos_recall,5,0.027982456140350866,2.7982456140350864,0.026096491228070118,0.03114035087719298,5,0,0
clinc150,0.25,single_centroid,Frozen K=1,known_recall,5,-0.04315789473684213,-4.315789473684213,-0.0478947368421053,-0.03982456140350878,0,0,5
clinc150,0.25,single_centroid,Frozen K=1,false_accept_rate,5,-0.027982456140350876,-2.7982456140350878,-0.031140350877193003,-0.026096491228070163,0,0,5
clinc150,0.25,single_centroid,Frozen K=1,false_reject_rate,5,0.043157894736842145,4.315789473684214,0.039824561403508804,0.04807017543859655,5,0,0
clinc150,0.25,fixed_k2,Frozen K=2,oos_f1,5,0.006924353219263324,0.6924353219263324,0.004609119539143602,0.009755831547194505,5,0,0
clinc150,0.25,fixed_k2,Frozen K=2,oos_precision,5,-0.0007224255336954144,-0.07224255336954144,-0.0018520150003551005,0.0004907633880470108,2,0,3
clinc150,0.25,fixed_k2,Frozen K=2,oos_recall,5,0.014912280701754366,1.4912280701754366,0.010087719298245612,0.019692982456140328,5,0,0
clinc150,0.25,fixed_k2,Frozen K=2,known_recall,5,-0.007192982456140351,-0.7192982456140351,-0.01228070175438598,-0.0019298245614034703,1,0,4
clinc150,0.25,fixed_k2,Frozen K=2,false_accept_rate,5,-0.01491228070175438,-1.4912280701754381,-0.01969298245614032,-0.010087719298245642,0,0,5
clinc150,0.25,fixed_k2,Frozen K=2,false_reject_rate,5,0.007192982456140357,0.7192982456140357,0.0019298245614034816,0.012280701754386008,4,0,1
clinc150,0.25,random_partition,Random K=2,oos_f1,5,0.009242994189446874,0.9242994189446874,0.00647983555346836,0.012006152825425387,5,0,0
clinc150,0.25,random_partition,Random K=2,oos_precision,5,-0.010400233209353748,-1.0400233209353749,-0.011912535375987354,-0.00857613100081236,0,0,5
clinc150,0.25,random_partition,Random K=2,oos_recall,5,0.029342105263157902,2.9342105263157903,0.02526315789473683,0.033421052631578976,5,0,0
clinc150,0.25,random_partition,Random K=2,known_recall,5,-0.052105263157894766,-5.210526315789476,-0.05719736842105265,-0.04526315789473687,0,0,5
clinc150,0.25,random_partition,Random K=2,false_accept_rate,5,-0.02934210526315788,-2.934210526315788,-0.03342105263157894,-0.02526315789473682,0,0,5
clinc150,0.25,random_partition,Random K=2,false_reject_rate,5,0.052105263157894766,5.210526315789476,0.04526315789473691,0.05789473684210526,5,0,0
clinc150,0.25,mogb_minilm,MOGB MiniLM,oos_f1,5,0.027806639669319,2.7806639669319,0.02427482255102793,0.03221747581658627,5,0,0
clinc150,0.25,mogb_minilm,MOGB MiniLM,oos_precision,5,0.07282983285925335,7.282983285925335,0.06965836857044608,0.07585307753468981,5,0,0
clinc150,0.25,mogb_minilm,MOGB MiniLM,oos_recall,5,-0.025789473684210563,-2.578947368421056,-0.03280701754385966,-0.01771929824561409,0,0,5
clinc150,0.25,mogb_minilm,MOGB MiniLM,known_recall,5,0.36526315789473685,36.526315789473685,0.3471929824561403,0.3828070175438597,5,0,0
clinc150,0.25,mogb_minilm,MOGB MiniLM,false_accept_rate,5,0.02578947368421054,2.578947368421054,0.01710526315789474,0.03280701754385969,5,0,0
clinc150,0.25,mogb_minilm,MOGB MiniLM,false_reject_rate,5,-0.36526315789473685,-36.526315789473685,-0.38280701754385965,-0.34842105263157896,0,0,5
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,oos_f1,5,0.01032880531290301,1.032880531290301,0.0069844013223247185,0.013673209303481305,5,0,0
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,oos_precision,5,0.0285455317493148,2.85455317493148,0.02238584741384444,0.034559175875946015,5,0,0
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,oos_recall,5,-0.010000000000000009,-1.0000000000000009,-0.015614035087719257,-0.00438596491228076,0,0,5
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,known_recall,5,0.13456140350877194,13.456140350877194,0.1045614035087719,0.1649122807017544,5,0,0
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,false_accept_rate,5,0.01,1.0,0.004385964912280681,0.01561403508771932,5,0,0
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,false_reject_rate,5,-0.13456140350877194,-13.456140350877194,-0.16491228070175437,-0.10438596491228067,0,0,5
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,oos_f1,5,0.025265198958437086,2.5265198958437085,0.021916693526430175,0.02875884471105785,5,0,0
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,oos_precision,5,0.06436078129578493,6.436078129578493,0.06266622488888751,0.06605533770268235,5,0,0
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,oos_recall,5,-0.020570175438596495,-2.0570175438596494,-0.02618421052631579,-0.01403508771929829,0,0,5
