dataset,kir,method,method_label,n_seeds,n_known,n_oos,oos_f1_mean,oos_f1_std,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,oos_false_accept_count_mean,known_false_reject_count_mean
clinc150,0.25,trainable_k1,Trainable K=1,5,1140,4560,0.9516427437131565,0.006493831244298979,0.9362038008306388,0.002468761340995676,0.9676315789473684,0.011023527540387025,0.7363157894736843,0.008358687192681813,0.03236842105263154,0.011023527540387061,0.2636842105263158,0.008358687192681848,147.59999999999982,300.6
clinc150,0.25,single_centroid,Frozen K=1,5,1140,4560,0.9420722511346671,0.007409448841719784,0.9445701515004064,0.0027834409219181376,0.9396491228070175,0.0132029564644777,0.7794736842105264,0.010555515057186889,0.06035087719298242,0.013202956464477715,0.22052631578947363,0.01055551505718693,275.1999999999998,251.39999999999995
clinc150,0.25,fixed_k2,Frozen K=2,5,1140,4560,0.9447183904938932,0.007981186969528386,0.9369262263643343,0.0019505840287539283,0.9527192982456141,0.014850555949313582,0.7435087719298246,0.006523155243009917,0.04728070175438592,0.014850555949313596,0.25649122807017544,0.006523155243009924,215.59999999999982,292.4
clinc150,0.25,random_partition,Random K=2,5,1140,4560,0.9423997495237098,0.009448493371717808,0.9466040340399925,0.004383637939474315,0.9382894736842106,0.015022810193180847,0.788421052631579,0.01576996845911873,0.06171052631578942,0.015022810193180873,0.21157894736842103,0.01576996845911875,281.39999999999975,241.19999999999996
clinc150,0.25,mogb_minilm,MOGB MiniLM,5,1140,4560,0.9238361040438378,0.0029534277865939187,0.8633739679713853,0.004976878282898536,0.993421052631579,0.002176472943122709,0.37105263157894736,0.026693200095970083,0.006578947368420999,0.002176472943122702,0.6289473684210527,0.02669320009597006,29.999999999999762,717.0
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,5,1140,4560,0.9413139384002536,0.004982739043635982,0.907658269081324,0.009082685161925957,0.9776315789473685,0.006138392544858972,0.6017543859649124,0.04404784186583786,0.022368421052631537,0.006138392544858933,0.3982456140350877,0.04404784186583788,101.99999999999982,454.0
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,5,1140,4560,0.9263775447547197,0.003487826147523184,0.8718430195348539,0.0027384160662997908,0.988201754385965,0.005792546366957986,0.4189473684210526,0.013195851685011813,0.011798245614035039,0.005792546366957996,0.5810526315789474,0.01319585168501179,53.799999999999784,662.4
clinc150,0.5,trainable_k1,Trainable K=1,5,2250,3450,0.9043941395821132,0.004441963320551504,0.8524669219579881,0.0023342350815644237,0.9630724637681161,0.007571267501376482,0.7444444444444445,0.0033847880470506057,0.036927536231884016,0.007571267501376491,0.25555555555555554,0.0033847880470506382,127.39999999999986,575.0
clinc150,0.5,single_centroid,Frozen K=1,5,2250,3450,0.8894333056826392,0.0050275226580105145,0.8681378162204532,0.007571266455048654,0.9118260869565218,0.004217366402635826,0.7875555555555556,0.013799266396675584,0.0881739130434782,0.004217366402635783,0.21244444444444438,0.013799266396675558,304.1999999999998,477.99999999999983
clinc150,0.5,fixed_k2,Frozen K=2,5,2250,3450,0.892005798496586,0.0026452264822166512,0.8523460710185843,0.0060584644589440784,0.9355942028985508,0.005931060927178767,0.7513777777777777,0.013119018331236078,0.06440579710144924,0.005931060927178788,0.24862222222222222,0.013119018331236099,222.19999999999987,559.4
