dataset,kir,comparison_method,comparison_label,trainable_minus_oos_f1,trainable_minus_oos_f1_pp,trainable_minus_f1_all,trainable_minus_f1_all_pp,trainable_minus_f1_k,trainable_minus_f1_k_pp,trainable_minus_known_recall,trainable_minus_known_recall_pp,trainable_minus_false_accept_rate,trainable_minus_false_accept_rate_pp,trainable_minus_false_reject_rate,trainable_minus_false_reject_rate_pp
banking77,0.25,fixed_k2,Frozen K=2,0.05875987987903908,5.875987987903908,0.07410409057541478,7.410409057541479,0.0749116806120661,7.49116806120661,-0.000526315789473708,-0.052631578947370805,-0.09999999999999999,-10.0,0.000526315789473708,0.052631578947370805
banking77,0.25,mogb_minilm,MOGB-MiniLM,0.013546323975643149,1.3546323975643149,0.2263443397307615,22.634433973076153,0.23754423529682023,23.754423529682022,0.4186842105263158,41.86842105263158,0.0882758620689655,8.82758620689655,-0.4186842105263158,-41.86842105263158
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-0.004021600184011764,-0.40216001840117643,0.073604888786731,7.360488878673099,0.0776904934694016,7.76904934694016,0.20157894736842097,20.157894736842096,0.063103448275862,6.310344827586201,-0.20157894736842097,-20.157894736842096
banking77,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,0.009765053440882632,0.9765053440882632,0.13019498072728808,13.019498072728808,0.13653339795288832,13.653339795288833,0.2797368421052632,27.97368421052632,0.0581896551724137,5.81896551724137,-0.2797368421052632,-27.97368421052632
banking77,0.25,random_partition,Random K=2,0.06648992298504963,6.648992298504963,0.09195491647336085,9.195491647336084,0.09329517928853515,9.329517928853514,-0.02894736842105261,-2.894736842105261,-0.1198275862068967,-11.982758620689669,0.028947368421052694,2.8947368421052695
banking77,0.25,single_centroid,Frozen K=1,0.06481458714285204,6.481458714285204,0.0922471383136908,9.22471383136908,0.09369095679636641,9.36909567963664,-0.020526315789473615,-2.0526315789473615,-0.11508620689655179,-11.508620689655178,0.020526315789473698,2.05263157894737
banking77,0.5,fixed_k2,Frozen K=2,0.08102491487210717,8.102491487210717,0.05509624355484766,5.509624355484766,0.054413910099130214,5.441391009913021,-0.0034210526315788803,-0.34210526315788803,-0.13307692307692312,-13.307692307692312,0.0034210526315789913,0.34210526315789913
banking77,0.5,mogb_minilm,MOGB-MiniLM,0.08570376379212186,8.570376379212185,0.33072742649414916,33.07274264941491,0.33717541761788666,33.71754176178867,0.4880263157894738,48.802631578947384,0.1465384615384616,14.653846153846159,-0.48802631578947364,-48.80263157894736
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,0.04166585883096019,4.166585883096019,0.1686383139559945,16.863831395599448,0.1719796943540216,17.19796943540216,0.3002631578947369,30.02631578947369,0.1224358974358975,12.24358974358975,-0.3002631578947368,-30.026315789473678
banking77,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,0.04704595729472083,4.704595729472083,0.15995487959600774,15.995487959600773,0.16292616702498885,16.292616702498886,0.2896052631578948,28.96052631578948,0.1050000000000001,10.500000000000009,-0.2896052631578947,-28.96052631578947
