dataset,kir,method,layer,representation,partition,distance,oos_f1,oos_f1_std,known_macro_f1,known_recall,f1_all,accuracy,scope
banking77,0.75,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.4763444315858617,0.0041037737354307265,0.4230245231887255,0.2876724137931034,0.42392825044969384,0.4599350649350649,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.75,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.6952825227774913,0.0336846198561114,0.8444962802577282,0.8261494252873564,0.841967233520775,0.8001082251082251,protocol_v2_textoir_v1 / 3 seeds / Known-only
banking77,0.75,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.5507101160126237,0.004786773839330919,0.658572201509942,0.535603448275862,0.6567440305693095,0.6157142857142858,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.75,MOGB-official (strict single-cell),external_compatibility,end-to-end-BERT,method_specific,method_specific,,,0.592671,0.437069,0.591627,0.570779,official_banking_kir75_seed0
clinc150,0.25,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.9429344084653136,0.0035280052650678,,0.736842105263158,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
clinc150,0.25,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.9483452008433372,0.00136556034546,,0.7137426900584796,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
clinc150,0.25,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.9447183904938934,0.00798118696952838,0.775803528900824,0.7435087719298246,0.7801346791980823,0.9096491228070175,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.25,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.9423997495237098,0.009448493371717824,0.7837353080019959,0.7884210526315789,0.7878036270153732,0.9067017543859649,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.25,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.9420722511346671,0.007409448841719788,0.7802403933992681,0.7794736842105263,0.7843899282129962,0.9060350877192983,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.25,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.9413139384002536,0.004982739043635983,0.6953153197116103,0.6017543859649124,0.7016229766010627,0.9017192982456141,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.25,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.9238361040438375,0.0029534277865939165,0.5118395831141827,0.37105263157894736,0.5224035964713533,0.8688771929824561,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.25,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.949379906352469,0.0029868410680138,0.7859487176284317,0.7333333333333334,0.7901392609290481,0.9173684210526316,protocol_v2_textoir_v1 / 3 seeds / Known-only
clinc150,0.25,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.9263775447547195,0.003487826147523177,0.557229650450207,0.4189473684210526,0.5666949810733997,0.8740350877192983,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.5,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.8802432322955465,0.0100288358640587,,0.7367407407407408,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
clinc150,0.5,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.880683748388044,0.0105941045724171,,0.7000000000000001,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
clinc150,0.5,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.892005798496586,0.00264522648221667,0.7997289702111607,0.7513777777777777,0.8009431390043901,0.856561403508772,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.5,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.8906911053121688,0.005027811945926702,0.8063979733527151,0.7947555555555555,0.8075070935100765,0.8555438596491228,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.5,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.8894333056826393,0.005027522658010518,0.8015368592041044,0.7875555555555556,0.8026933913946113,0.8531578947368421,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.5,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.8555543863002324,0.004191319483426528,0.6431874107164409,0.5334222222222222,0.645981713026754,0.7985263157894738,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.5,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.8131951016346013,0.0029937394053626406,0.44468924259575926,0.3157333333333333,0.44953800389890197,0.7237894736842105,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.5,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.9043025833372952,0.0062487196963866,0.8179015323608753,0.7426666666666666,0.8190383882947754,0.8739766081871346,protocol_v2_textoir_v1 / 3 seeds / Known-only
clinc150,0.5,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.8332324302971947,0.002951150958467956,0.5605045766110079,0.42239999999999994,0.5640931010016157,0.7591578947368421,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.75,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.7895486942872648,0.0111599935071863,,0.7481150793650794,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
clinc150,0.75,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.7784911259168207,0.0104702177767606,,0.7064484126984127,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
clinc150,0.75,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.8150384507030115,0.00630494099801557,0.814339700478637,0.7580357142857143,0.8143458841089413,0.8151929824561404,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.75,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.8220513451445486,0.009384997678589673,0.8234659919560489,0.8004761904761905,0.823453472957717,0.8222105263157895,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.75,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.8174656812211403,0.007954970381519962,0.8174090796274989,0.7907142857142857,0.8174095805265577,0.8170877192982455,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.75,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.7197434059711283,0.0059448223178597435,0.5949092032755063,0.4808928571428572,0.5960139307329898,0.6826666666666668,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
clinc150,0.75,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.6593154230507091,0.004187552090302015,0.41581604926368704,0.29196428571428573,0.4179709109786164,0.5781754385964912,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
