dataset,seed,delta_oos_f1,delta_full_macro_f1,delta_overall_accuracy,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_router_error_rate,delta_expert_error_rate
banking77_oos,13,0.051148986623990256,0.047676709307311715,0.06200980392156863,-0.03400000000000003,-0.08961038961038958,0.034,0.0,-0.008168473990256206
banking77_oos,42,0.01528013012660645,0.011200538988182851,0.019117647058823573,-0.039000000000000035,-0.03474025974025968,0.03900000000000001,0.0,-0.006467317797982403
banking77_oos,87,0.04301498832845785,0.04508343811434112,0.054166666666666585,-0.028000000000000025,-0.07759740259740261,0.027999999999999997,0.0,-0.007259076853972285
clinc150,13,0.016704126106746764,0.02077179871650614,0.020909090909090988,-0.0048888888888888316,-0.034153846153846194,0.004888888888888887,-0.005309349591685598,-0.004561430317848503
clinc150,42,0.013988615879382382,0.020618387025295393,0.01836363636363636,-0.0031111111111111756,-0.028615384615384605,0.00311111111111112,-0.004151404151404102,-0.005724493834631604
clinc150,87,0.01350054264162881,0.021042974891444133,0.01763636363636356,0.000888888888888939,-0.025538461538461496,-0.0008888888888888835,-0.0012173383765923008,-0.0071101981073286025
stackoverflow,13,0.12151740836324643,0.08936329572753876,0.10884808013355596,0.0010013351134846582,-0.2054108216432866,-0.0010013351134846027,0.0,-0.013672420099121813
stackoverflow,42,0.07135676481259201,0.07000126075040003,0.07345575959933215,0.010691613765452801,-0.1241241241241241,-0.01069161376545269,0.0,-0.015268565333087195
stackoverflow,87,0.09998295627891296,0.07747816669181473,0.09265442404006674,0.0030060120240480437,-0.1632176234979974,-0.003006012024048099,0.0,-0.0230188460926539
