dataset,seed,method,method_label,representation,oos_f1,full_macro_f1,known_macro_f1,overall_accuracy,known_recall,false_accept_rate,false_reject_rate,router_error_rate,expert_error_rate,gate_oos_f1,source,source_path
clinc150,13,frozen_selected_k,Frozen selected-K,frozen MiniLM,0.8695907290597037,0.7368300177054439,0.7810510831133562,0.818,0.732,0.088,0.268,0.0285367334547662,0.040625,0.8695907290597036,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed13/frozen_selected_k/eval_results.json
clinc150,42,best_controlled_baseline,Best controlled,linear baseline,0.9141899100746838,0.8192471408560082,0.8619492163572041,0.8752727272727273,0.8613333333333333,0.0772307692307692,0.1386666666666666,0.0294117647058823,0.0350877192982456,0.9141899100746838,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/best_controlled_baseline/eval_results.json
clinc150,42,ce_recon_selected_k,Trainable CE-Recon selected-K,CE-Recon MiniLM,0.895423899010185,0.7788854519610929,0.7998364395037556,0.8532727272727273,0.7333333333333333,0.0396923076923076,0.2666666666666666,0.0224242424242424,0.0254184748915065,0.895423899010185,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/ce_recon_selected_k/eval_results.json
clinc150,42,frozen_k1,Frozen K=1,frozen MiniLM,0.8816362053959965,0.75151613032864,0.7858366129217187,0.8330909090909091,0.7311111111111112,0.0649230769230769,0.2688888888888889,0.0285714285714285,0.0344180225281602,0.8816362053959965,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/frozen_k1/eval_results.json
clinc150,42,frozen_selected_k,Frozen selected-K,frozen MiniLM,0.8816362053959965,0.75151613032864,0.7858366129217187,0.8330909090909091,0.7311111111111112,0.0649230769230769,0.2688888888888889,0.0285714285714285,0.0344180225281602,0.8816362053959965,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed42/frozen_selected_k/eval_results.json
clinc150,87,best_controlled_baseline,Best controlled,linear baseline,0.9150668100138228,0.818460459689524,0.8638985660367187,0.8747272727272727,0.8746666666666667,0.0833846153846153,0.1253333333333333,0.0279471544715447,0.0423418714061683,0.9150668100138227,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/best_controlled_baseline/eval_results.json
clinc150,87,ce_recon_selected_k,Trainable CE-Recon selected-K,CE-Recon MiniLM,0.9085975435589831,0.7926397080361643,0.8035563378538699,0.868,0.7462222222222222,0.0212307692307692,0.2537777777777777,0.0220369267421083,0.0298416565164433,0.9085975435589831,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/ce_recon_selected_k/eval_results.json
clinc150,87,frozen_k1,Frozen K=1,frozen MiniLM,0.8895027624309392,0.7587446085996699,0.78806072098193,0.8407272727272728,0.7471111111111111,0.0587692307692307,0.2528888888888889,0.024390243902439,0.0457317073170731,0.8895027624309392,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/frozen_k1/eval_results.json
clinc150,87,frozen_selected_k,Frozen selected-K,frozen MiniLM,0.8895027624309392,0.7587446085996699,0.78806072098193,0.8407272727272728,0.7471111111111111,0.0587692307692307,0.2528888888888889,0.024390243902439,0.0457317073170731,0.8895027624309392,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/clinc150/kir50_seed87/frozen_selected_k/eval_results.json
stackoverflow,13,best_controlled_baseline,Best controlled,linear baseline,0.8585284280936455,0.7912447906940756,0.8424456643115151,0.8215358931552588,0.8601468624833111,0.1426185704742819,0.1398531375166889,0.0,0.086534730306558,0.8585284280936454,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/best_controlled_baseline/eval_results.json
