method,contract,n_seeds,oos_f1_mean,oos_f1_std,oos_f1_ci95_low,oos_f1_ci95_high,f1_all_mean,f1_all_std,f1_all_ci95_low,f1_all_ci95_high,f1_known_mean,f1_known_std,f1_known_ci95_low,f1_known_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,known_recall_mean,known_recall_std,known_recall_ci95_low,known_recall_ci95_high,false_acceptance_mean,false_acceptance_std,false_acceptance_ci95_low,false_acceptance_ci95_high,false_rejection_mean,false_rejection_std,false_rejection_ci95_low,false_rejection_ci95_high
DA-ADB,BERT/TextOIR external compatibility,3,0.724751963943307,0.062442833848903985,0.6722284019280682,0.7937929931211006,0.7402448154852288,0.03127316277697911,0.7202993185217194,0.7762875385207572,0.7417941006394209,0.028625416962029852,0.7215058006958159,0.7745369930607228,0.7223333333333333,0.05120085719768543,0.6848333333333333,0.7806666666666665,0.7596666666666666,0.041016256939576244,0.7293333333333333,0.8063333333333333,0.2906666666666667,0.11187244720861543,0.17299999999999996,0.39566666666666667,0.24033333333333332,0.041016256939576216,0.19366666666666665,0.27066666666666667
S2C-Trainable-K1,protocol_v2 Known-only MiniLM fair,3,0.882099305880165,0.017179451672369186,0.8692120227457352,0.9016032694121344,0.8669365605576065,0.014450652565252176,0.8576590966593717,0.8835864480412402,0.8654202860253504,0.014237285389215525,0.8558767437770461,0.8817847659041508,0.8723333333333333,0.017190921376638846,0.8601666666666666,0.892,0.8367777777777777,0.0027954990278686773,0.835,0.84,0.08177777777777777,0.03360279970699089,0.044000000000000004,0.1083333333333333,0.16322222222222219,0.0027954990278686778,0.16,0.165
