seed,trainable_minus_da_oos_f1,trainable_minus_da_f1_all,trainable_minus_da_f1_known,trainable_minus_da_accuracy,trainable_minus_da_known_recall,trainable_minus_da_false_acceptance,trainable_minus_da_false_rejection
42,0.1672481287018731,0.13735977813765243,0.13437094308123032,0.16333333333333333,0.10566666666666669,-0.21033333333333334,-0.10566666666666666
87,0.19698362081766696,0.13541654755899757,0.12925984023313053,0.17533333333333334,0.03366666666666662,-0.2873333333333334,-0.03366666666666665
100,0.10781027629103379,0.10729890952048293,0.1072477728434279,0.1113333333333334,0.09200000000000008,-0.129,-0.09200000000000005
