dataset,kir,seed,intent,n_known,n_oos,s2c_known_correct,s2c_known_wrong,s2c_known_rejected,adb_known_correct,adb_known_wrong,adb_known_rejected,da_adb_known_correct,da_adb_known_wrong,da_adb_known_rejected,s2c_oos_false_accept,adb_oos_false_accept,da_adb_oos_false_accept,s2c_known_rejected_rate,s2c_oos_false_accept_rate,adb_known_rejected_rate,adb_oos_false_accept_rate,da_adb_known_rejected_rate,da_adb_oos_false_accept_rate,adb_minus_s2c_known_rejected_pp,da_adb_minus_s2c_known_rejected_pp,adb_minus_s2c_oos_false_accept_pp,da_adb_minus_s2c_oos_false_accept_pp
stackoverflow,0.5,87,bash,300,3000,245,9,46,222,4,74,225,17,58,9,9,160,0.15333333333333332,0.003,0.24666666666666667,0.003,0.19333333333333333,0.05333333333333334,9.333333333333336,4.000000000000001,0.0,5.033333333333333
stackoverflow,0.5,87,drupal,300,3000,252,2,46,256,1,43,248,10,42,34,1,1,0.15333333333333332,0.011333333333333334,0.14333333333333334,0.0003333333333333333,0.14,0.0003333333333333333,-0.9999999999999981,-1.3333333333333308,-1.1,-1.1
stackoverflow,0.5,87,excel,300,3000,249,1,50,245,0,55,232,10,58,8,6,123,0.16666666666666666,0.0026666666666666666,0.18333333333333332,0.002,0.19333333333333333,0.041,1.6666666666666663,2.666666666666667,-0.06666666666666665,3.833333333333334
stackoverflow,0.5,87,hibernate,300,3000,261,3,36,250,2,48,244,5,51,25,28,27,0.12,0.008333333333333333,0.16,0.009333333333333334,0.17,0.009,4.000000000000001,5.000000000000002,0.10000000000000009,0.06666666666666661
stackoverflow,0.5,87,linq,300,3000,253,2,45,257,2,41,241,12,47,0,0,5,0.15,0.0,0.13666666666666666,0.0,0.15666666666666668,0.0016666666666666668,-1.3333333333333335,0.6666666666666682,0.0,0.16666666666666669
stackoverflow,0.5,87,oracle,300,3000,246,0,54,239,0,61,212,17,71,3,3,8,0.18,0.001,0.20333333333333334,0.001,0.23666666666666666,0.0026666666666666666,2.3333333333333344,5.666666666666667,0.0,0.16666666666666666
stackoverflow,0.5,87,osx,300,3000,247,5,48,228,4,68,211,16,73,213,130,447,0.16,0.071,0.22666666666666666,0.043333333333333335,0.24333333333333335,0.149,6.666666666666665,8.333333333333334,-2.7666666666666657,7.8
stackoverflow,0.5,87,scala,300,3000,242,2,56,241,1,58,248,6,46,2,25,342,0.18666666666666668,0.0006666666666666666,0.19333333333333333,0.008333333333333333,0.15333333333333332,0.114,0.6666666666666654,-3.3333333333333353,0.7666666666666666,11.333333333333334
stackoverflow,0.5,87,svn,300,3000,247,6,47,254,1,45,233,13,54,2,8,2,0.15666666666666668,0.0006666666666666666,0.15,0.0026666666666666666,0.18,0.0006666666666666666,-0.6666666666666682,2.3333333333333317,0.2,0.0
stackoverflow,0.5,100,apache,300,3000,243,3,54,226,3,71,193,2,105,20,33,52,0.18,0.006666666666666667,0.23666666666666666,0.011,0.35,0.017333333333333333,5.666666666666667,17.0,0.43333333333333324,1.0666666666666664
stackoverflow,0.5,100,haskell,300,3000,240,0,60,229,0,71,232,6,62,0,9,18,0.2,0.0,0.23666666666666666,0.003,0.20666666666666667,0.006,3.666666666666665,0.6666666666666654,0.3,0.6
stackoverflow,0.5,100,magento,300,3000,252,3,45,264,2,34,254,0,46,0,0,0,0.15,0.0,0.11333333333333333,0.0,0.15333333333333332,0.0,-3.6666666666666665,0.3333333333333327,0.0,0.0
stackoverflow,0.5,100,oracle,300,3000,248,0,52,247,0,53,216,2,82,11,44,139,0.17333333333333334,0.0036666666666666666,0.17666666666666667,0.014666666666666666,0.2733333333333333,0.04633333333333333,0.3333333333333327,9.999999999999998,1.0999999999999999,4.266666666666667
stackoverflow,0.5,100,qt,300,3000,274,1,25,274,0,26,231,0,69,7,8,35,0.08333333333333333,0.0023333333333333335,0.08666666666666667,0.0026666666666666666,0.23,0.011666666666666667,0.3333333333333341,14.666666666666666,0.033333333333333305,0.9333333333333335
stackoverflow,0.5,100,scala,300,3000,238,2,60,233,2,65,215,11,74,1,3,23,0.2,0.0003333333333333333,0.21666666666666667,0.001,0.24666666666666667,0.007666666666666666,1.6666666666666663,4.666666666666666,0.06666666666666668,0.7333333333333333
stackoverflow,0.5,100,spring,300,3000,261,1,38,248,0,52,206,2,92,72,27,210,0.12666666666666668,0.024,0.17333333333333334,0.009,0.30666666666666664,0.07,4.666666666666666,17.999999999999996,-1.5000000000000002,4.6000000000000005
stackoverflow,0.5,100,svn,300,3000,249,6,45,251,1,48,227,0,73,2,3,7,0.15,0.0006666666666666666,0.16,0.001,0.24333333333333335,0.0023333333333333335,1.0000000000000009,9.333333333333336,0.03333333333333334,0.16666666666666669
stackoverflow,0.5,100,visual-studio,300,3000,232,3,65,221,3,76,196,2,102,11,29,32,0.21666666666666667,0.0036666666666666666,0.25333333333333335,0.009666666666666667,0.34,0.010666666666666666,3.666666666666668,12.333333333333336,0.6,0.7
stackoverflow,0.5,100,wordpress,300,3000,247,3,50,260,1,39,233,2,65,8,3,3,0.16666666666666666,0.0026666666666666666,0.13,0.001,0.21666666666666667,0.001,-3.666666666666665,5.000000000000002,-0.16666666666666666,-0.16666666666666666
