dataset,kir,seed,intent,n_known,n_oos,s2c_known_correct,s2c_known_wrong,s2c_known_rejected,adb_known_correct,adb_known_wrong,adb_known_rejected,da_adb_known_correct,da_adb_known_wrong,da_adb_known_rejected,s2c_oos_false_accept,adb_oos_false_accept,da_adb_oos_false_accept,s2c_known_rejected_rate,s2c_oos_false_accept_rate,adb_known_rejected_rate,adb_oos_false_accept_rate,da_adb_known_rejected_rate,da_adb_oos_false_accept_rate,adb_minus_s2c_known_rejected_pp,da_adb_minus_s2c_known_rejected_pp,adb_minus_s2c_oos_false_accept_pp,da_adb_minus_s2c_oos_false_accept_pp
stackoverflow,0.5,42,ajax,300,3000,239,5,56,228,1,71,199,9,92,23,36,116,0.18666666666666668,0.007666666666666666,0.23666666666666666,0.012,0.30666666666666664,0.03866666666666667,4.999999999999999,11.999999999999996,0.4333333333333334,3.1000000000000005
stackoverflow,0.5,42,apache,300,3000,246,4,50,230,3,67,206,10,84,24,19,58,0.16666666666666666,0.008,0.22333333333333333,0.006333333333333333,0.28,0.019333333333333334,5.666666666666667,11.333333333333337,-0.16666666666666669,1.1333333333333333
stackoverflow,0.5,42,cocoa,300,3000,234,1,65,215,1,84,203,5,92,97,160,431,0.21666666666666667,0.03233333333333333,0.28,0.05333333333333334,0.30666666666666664,0.14366666666666666,6.333333333333336,8.999999999999996,2.1000000000000005,11.133333333333335
stackoverflow,0.5,42,excel,300,3000,254,3,43,244,2,54,217,4,79,6,8,42,0.14333333333333334,0.002,0.18,0.0026666666666666666,0.2633333333333333,0.014,3.666666666666665,11.999999999999996,0.06666666666666665,1.2
stackoverflow,0.5,42,linq,300,3000,254,2,44,259,1,40,241,8,51,0,0,4,0.14666666666666667,0.0,0.13333333333333333,0.0,0.17,0.0013333333333333333,-1.3333333333333335,2.3333333333333344,0.0,0.13333333333333333
stackoverflow,0.5,42,oracle,300,3000,242,1,57,238,1,61,197,2,101,7,13,17,0.19,0.0023333333333333335,0.20333333333333334,0.004333333333333333,0.33666666666666667,0.005666666666666667,1.3333333333333335,14.666666666666666,0.19999999999999996,0.33333333333333337
stackoverflow,0.5,42,sharepoint,300,3000,252,5,43,240,2,58,223,6,71,34,3,14,0.14333333333333334,0.011333333333333334,0.19333333333333333,0.001,0.23666666666666666,0.004666666666666667,4.999999999999999,9.333333333333332,-1.0333333333333332,-0.6666666666666667
stackoverflow,0.5,42,spring,300,3000,259,3,38,244,0,56,211,10,79,81,19,211,0.12666666666666668,0.027,0.18666666666666668,0.006333333333333333,0.2633333333333333,0.07033333333333333,6.0,13.666666666666663,-2.0666666666666664,4.333333333333334
stackoverflow,0.5,42,svn,300,3000,251,6,43,244,2,54,222,2,76,3,5,3,0.14333333333333334,0.001,0.18,0.0016666666666666668,0.25333333333333335,0.001,3.666666666666665,11.000000000000002,0.06666666666666668,0.0
stackoverflow,0.5,42,visual-studio,300,3000,237,7,56,220,4,76,200,13,87,4,8,14,0.18666666666666668,0.0013333333333333333,0.25333333333333335,0.0026666666666666666,0.29,0.004666666666666667,6.666666666666668,10.33333333333333,0.13333333333333333,0.33333333333333337
stackoverflow,0.5,87,apache,300,3000,244,4,52,216,3,81,202,17,81,29,37,72,0.17333333333333334,0.009666666666666667,0.27,0.012333333333333333,0.27,0.024,9.666666666666668,9.666666666666668,0.2666666666666666,1.4333333333333333
