dataset,kir,intent,n_known,n_oos,adb_minus_s2c_known_rejected_pp,adb_minus_s2c_known_rejected_std_pp,da_adb_minus_s2c_known_rejected_pp,da_adb_minus_s2c_known_rejected_std_pp,adb_minus_s2c_oos_false_accept_pp,adb_minus_s2c_oos_false_accept_std_pp,da_adb_minus_s2c_oos_false_accept_pp,da_adb_minus_s2c_oos_false_accept_std_pp,n_seeds
stackoverflow,0.5,ajax,300.0,3000.0,4.999999999999999,,11.999999999999996,,0.4333333333333334,,3.1000000000000005,,1
stackoverflow,0.5,apache,300.0,3000.0,7.000000000000001,2.3094010767585034,12.66666666666667,3.8441875315569303,0.17777777777777773,0.30971910810591896,1.211111111111111,0.1953155092360773,3
stackoverflow,0.5,bash,300.0,3000.0,9.333333333333336,,4.000000000000001,,0.0,,5.033333333333333,,1
stackoverflow,0.5,cocoa,300.0,3000.0,6.333333333333336,,8.999999999999996,,2.1000000000000005,,11.133333333333335,,1
stackoverflow,0.5,drupal,300.0,3000.0,-0.9999999999999981,,-1.3333333333333308,,-1.1,,-1.1,,1
stackoverflow,0.5,excel,300.0,3000.0,2.6666666666666656,1.4142135623730943,7.333333333333332,6.599663291074441,0.0,0.09428090415820632,2.516666666666667,1.8620478571245758,2
stackoverflow,0.5,haskell,300.0,3000.0,3.666666666666665,,0.6666666666666654,,0.3,,0.6,,1
stackoverflow,0.5,hibernate,300.0,3000.0,4.000000000000001,,5.000000000000002,,0.10000000000000009,,0.06666666666666661,,1
stackoverflow,0.5,linq,300.0,3000.0,-1.3333333333333335,0.0,1.5000000000000013,1.1785113019775788,0.0,0.0,0.15000000000000002,0.023570226039551587,2
stackoverflow,0.5,magento,300.0,3000.0,-3.6666666666666665,,0.3333333333333327,,0.0,,0.0,,1
stackoverflow,0.5,oracle,300.0,3000.0,1.3333333333333337,1.0000000000000009,10.11111111111111,4.501028689006465,0.4333333333333333,0.5859465277082314,1.5888888888888888,2.320520375867192,3
stackoverflow,0.5,osx,300.0,3000.0,6.666666666666665,,8.333333333333334,,-2.7666666666666657,,7.8,,1
stackoverflow,0.5,qt,300.0,3000.0,0.3333333333333341,,14.666666666666666,,0.033333333333333305,,0.9333333333333335,,1
stackoverflow,0.5,scala,300.0,3000.0,1.1666666666666659,0.7071067811865481,0.6666666666666654,5.656854249492381,0.41666666666666663,0.49497474683058323,6.033333333333333,7.495331880577404,2
stackoverflow,0.5,sharepoint,300.0,3000.0,4.999999999999999,,9.333333333333332,,-1.0333333333333332,,-0.6666666666666667,,1
stackoverflow,0.5,spring,300.0,3000.0,5.333333333333333,0.9428090415820638,15.833333333333329,3.064129385141707,-1.7833333333333332,0.4006938426723765,4.466666666666667,0.18856180831641295,2
stackoverflow,0.5,svn,300.0,3000.0,1.3333333333333326,2.185812841434,7.555555555555557,4.598711574794419,0.10000000000000002,0.08819171036881969,0.05555555555555556,0.09622504486493764,3
stackoverflow,0.5,visual-studio,300.0,3000.0,5.166666666666668,2.1213203435596424,11.333333333333332,1.4142135623730994,0.36666666666666664,0.3299831645537222,0.5166666666666666,0.2592724864350674,2
stackoverflow,0.5,wordpress,300.0,3000.0,-3.666666666666665,,5.000000000000002,,-0.16666666666666666,,-0.16666666666666666,,1
