dataset,kir,method,state,count_mean,count_std,rate_all_mean,rate_known_mean,rate_oos_mean,n_seeds
stackoverflow,0.5,ADB,known_correct,2407.6666666666665,45.50091574170061,0.4012777777777778,0.8025555555555556,,3
stackoverflow,0.5,ADB,known_rejected,576.6666666666666,43.06197084822445,0.0961111111111111,0.1922222222222222,,3
stackoverflow,0.5,ADB,known_wrong,15.666666666666666,3.214550253664318,0.0026111111111111114,0.005222222222222223,,3
stackoverflow,0.5,ADB,oos_correct_rejected,2774.3333333333335,58.968918366655885,0.4623888888888889,,0.9247777777777778,3
stackoverflow,0.5,ADB,oos_false_accept,225.66666666666666,58.96891836665595,0.03761111111111111,,0.07522222222222222,3
stackoverflow,0.5,DA-ADB,known_correct,2206.0,88.53812738024223,0.36766666666666664,0.7353333333333333,,3
stackoverflow,0.5,DA-ADB,known_rejected,721.0,123.04877081872861,0.12016666666666666,0.24033333333333332,,3
stackoverflow,0.5,DA-ADB,known_wrong,73.0,48.12483766206386,0.012166666666666666,0.024333333333333332,,3
stackoverflow,0.5,DA-ADB,oos_correct_rejected,2128.0,335.6173416258463,0.3546666666666667,,0.7093333333333334,3
stackoverflow,0.5,DA-ADB,oos_false_accept,872.0,335.6173416258463,0.14533333333333334,,0.2906666666666667,3
stackoverflow,0.5,S2C-Trainable-K1,known_correct,2479.3333333333335,9.865765724632467,0.4132222222222222,0.8264444444444444,,3
stackoverflow,0.5,S2C-Trainable-K1,known_rejected,489.6666666666667,8.386497083606079,0.08161111111111112,0.16322222222222224,,3
stackoverflow,0.5,S2C-Trainable-K1,known_wrong,31.0,7.937253933193772,0.005166666666666667,0.010333333333333333,,3
stackoverflow,0.5,S2C-Trainable-K1,oos_correct_rejected,2754.6666666666665,100.80839912097278,0.4591111111111111,,0.9182222222222222,3
stackoverflow,0.5,S2C-Trainable-K1,oos_false_accept,245.33333333333334,100.80839912097272,0.04088888888888889,,0.08177777777777778,3
