method,contract,seed,oos_f1,f1_all,f1_known,accuracy,known_recall,false_acceptance,false_rejection
DA-ADB,BERT/TextOIR external compatibility,42,0.7082344967807523,0.7202993185217192,0.7215058006958159,0.7015,0.7293333333333333,0.30333333333333334,0.27066666666666667
S2C-Trainable-K1,protocol_v2 Known-only MiniLM fair,42,0.8754826254826255,0.8576590966593717,0.8558767437770463,0.8648333333333333,0.835,0.093,0.165
DA-ADB,BERT/TextOIR external compatibility,87,0.6722284019280682,0.7241475894132098,0.729339508161724,0.6848333333333333,0.8063333333333333,0.39566666666666667,0.19366666666666665
S2C-Trainable-K1,protocol_v2 Known-only MiniLM fair,87,0.8692120227457352,0.8595641369722073,0.8585993483948545,0.8601666666666666,0.84,0.1083333333333333,0.16
DA-ADB,BERT/TextOIR external compatibility,100,0.7937929931211006,0.7762875385207572,0.7745369930607228,0.7806666666666666,0.7433333333333333,0.173,0.25666666666666665
S2C-Trainable-K1,protocol_v2 Known-only MiniLM fair,100,0.9016032694121344,0.8835864480412401,0.8817847659041507,0.892,0.8353333333333334,0.044,0.1646666666666666
