dataset,seed,split,strategy,center_count,radius_lambda,acceptance_mode,threshold,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_accept_count,known_false_reject_count,auroc,aupr_oos,epoch,phase,mode,loss,trainable_parameters,device
clinc150,87,val,last2_no_inter,75,1.25,normalized_union,1.0,0.8745583038869258,0.8311625492739686,0.8570967741935483,0.7926666666666666,0.071875,115,311,0.9272245833333334,0.913418949807909,1,warmup,last2_minilm_plus_projection,0.1606708377347154,198016,cuda
clinc150,87,val,last2_no_inter,75,2.0,nearest_sphere,0.95,0.8962806168732991,0.8664790115788952,0.8832258064516129,0.85,0.07375,118,225,0.9370691666666667,0.9176659260819915,2,finetune,last2_minilm_plus_projection,0.11753314736662275,3746944,cuda
clinc150,87,val,last2_no_inter,75,2.0,normalized_union,0.95,0.8996665656259473,0.8787685026864367,0.89,0.8566666666666667,0.0725,116,215,0.95218,0.9446031957582683,3,finetune,last2_minilm_plus_projection,0.08694179084593967,3746944,cuda
clinc150,87,val,last2_no_inter,75,1.0,nearest_sphere,1.1,0.9020915428917854,0.8795830002265013,0.8919354838709678,0.8593333333333333,0.07,112,211,0.9507795833333333,0.9402691592418946,4,finetune,last2_minilm_plus_projection,0.06672671402536207,3746944,cuda
clinc150,87,val,last2_no_inter,75,1.5,normalized_union,1.05,0.9033846153846153,0.8888179594308683,0.8961290322580645,0.8786666666666667,0.0825,132,182,0.9559333333333333,0.948023336704495,5,finetune,last2_minilm_plus_projection,0.05087744166790429,3746944,cuda
clinc150,87,val,last2_no_inter,75,2.5,normalized_union,0.9,0.904602255409936,0.8891684559463342,0.8977419354838709,0.8686666666666667,0.0725,116,197,0.9556291666666666,0.9456235149488675,6,finetune,last2_minilm_plus_projection,0.03982091294128006,3746944,cuda
clinc150,87,val,last2_no_inter,75,0.75,nearest_sphere,1.2,0.9060806742925949,0.8863537015304996,0.8977419354838709,0.8553333333333333,0.059375,95,217,0.9577933333333334,0.9492962268406403,7,finetune,last2_minilm_plus_projection,0.03265648461499457,3746944,cuda
clinc150,87,val,last2_no_inter,75,2.5,normalized_union,0.95,0.9054388133498146,0.895227503072775,0.9003225806451612,0.886,0.084375,135,171,0.9578625,0.9487457789920285,8,finetune,last2_minilm_plus_projection,0.02691683266311884,3746944,cuda
clinc150,87,val,last2_no_inter,75,0.75,nearest_sphere,1.3,0.9095923996322403,0.8967499173292119,0.9035483870967742,0.8806666666666667,0.0725,116,179,0.9592633333333334,0.9500681450600573,9,finetune,last2_minilm_plus_projection,0.024322656196368447,3746944,cuda
