method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,method_label,kir_label
mogb_minilm_fair,banking77,0.75,123,0.95,1.9995239029414684,0.2534930139720558,0.9504310344827588,0.8328947368421052,0.0495689655172413,0.5247933884297521,0.1671052631578947,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,123,0.95,1.1391639923279573,0.5416666666666666,0.9504310344827588,0.5723684210526315,0.0495689655172413,0.7386363636363636,0.4276315789473684,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.25,13,0.8,1.1962195417510677,0.935157379601824,0.8008771929824562,0.0780701754385965,0.1991228070175438,0.9487700293387498,0.9219298245614036,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,13,0.8,1.0454245627295142,0.9558294252372124,0.8008771929824562,0.0390350877192982,0.1991228070175438,0.9507485354740725,0.9609649122807018,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,13,0.9,1.3081849231421443,0.8332084893882646,0.9008771929824562,0.2682017543859649,0.0991228070175438,0.9672463768115942,0.7317982456140351,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,13,0.9,1.1416144445695144,0.9490610592600922,0.9008771929824562,0.0745614035087719,0.0991228070175438,0.973921070851604,0.925438596491228,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,13,0.95,1.4074587717687772,0.6395520188623637,0.950877192982456,0.5241228070175439,0.0491228070175439,0.9748427672955976,0.4758771929824561,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,13,0.95,1.2452232950542383,0.9092627599243857,0.950877192982456,0.156140350877193,0.0491228070175439,0.985655737704918,0.843859649122807,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,42,0.8,1.2413279083562816,0.8987807683459857,0.8008771929824562,0.1432017543859649,0.1991228070175438,0.9450895016932752,0.8567982456140351,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,42,0.8,1.041811018123853,0.9451300132216836,0.8008771929824562,0.0594298245614035,0.1991228070175438,0.949734278122232,0.9405701754385964,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,42,0.9,1.3555183052142492,0.7451664876476907,0.9008771929824562,0.3914473684210526,0.0991228070175438,0.9608725761772852,0.6085526315789473,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,42,0.9,1.1152096995735707,0.9146440599233538,0.9008771929824562,0.1364035087719298,0.0991228070175438,0.9721056529252036,0.8635964912280701,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,42,0.95,1.4482998877036717,0.535068232307204,0.950877192982456,0.6302631578947369,0.0491228070175439,0.967853042479908,0.3697368421052631,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,42,0.95,1.1896439605515343,0.8204931646863421,0.950877192982456,0.2958333333333333,0.0491228070175439,0.982858891949801,0.7041666666666667,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,87,0.8,1.2672576934350446,0.8915132569179113,0.8008771929824562,0.1557017543859649,0.1991228070175438,0.9443218052489576,0.8442982456140351,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,87,0.8,1.031380754354701,0.9455947136563876,0.8008771929824562,0.0585526315789473,0.1991228070175438,0.9497787610619468,0.9414473684210526,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,87,0.9,1.3812174795278531,0.7722017866526537,0.9008771929824562,0.3554824561403509,0.0991228070175438,0.9629750982961992,0.6445175438596491,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,87,0.9,1.1007687990850772,0.922527092460226,0.9008771929824562,0.1225877192982456,0.0991228070175438,0.972532814778804,0.8774122807017544,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,87,0.95,1.5021171888066889,0.5097659402744148,0.950877192982456,0.6537280701754385,0.0491228070175439,0.9657492354740062,0.3462719298245614,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,87,0.95,1.182755648443297,0.8448448448448449,0.950877192982456,0.2596491228070175,0.0491228070175439,0.9836829836829836,0.7403508771929824,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,100,0.8,1.2281059729018668,0.936458564763386,0.8008771929824562,0.0756578947368421,0.1991228070175438,0.9488968932913102,0.924342105263158,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,100,0.8,1.0336719549015925,0.9650848556912768,0.8008771929824562,0.0210526315789473,0.1991228070175438,0.95160946493285,0.9789473684210528,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,100,0.9,1.3324842118506113,0.8342272670575028,0.9008771929824562,0.2666666666666666,0.0991228070175438,0.9673126988718542,0.7333333333333333,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,100,0.9,1.1177738705192666,0.9588949537707476,0.9008771929824562,0.0561403508771929,0.0991228070175438,0.9744170251301788,0.9438596491228072,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,100,0.95,1.4648898203973058,0.5525243022891189,0.950877192982456,0.6135964912280701,0.0491228070175439,0.9691969196919692,0.3864035087719298,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,100,0.95,1.2040878423835653,0.9251368028874142,0.950877192982456,0.1287280701754386,0.0491228070175439,0.9861007694216928,0.8712719298245614,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,123,0.8,1.2049932729581738,0.9213609734114466,0.8008771929824562,0.1032894736842105,0.1991228070175438,0.9474050046339204,0.8967105263157895,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,123,0.8,1.0404631962305957,0.9467546754675468,0.8008771929824562,0.056359649122807,0.1991228070175438,0.9498896247240618,0.943640350877193,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,123,0.9,1.3149345580760103,0.8289688009021426,0.9008771929824562,0.2745614035087719,0.0991228070175438,0.9669687225957322,0.7254385964912281,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,123,0.9,1.150351131873474,0.9246346795535612,0.9008771929824562,0.118859649122807,0.0991228070175438,0.972645848462842,0.881140350877193,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.25,123,0.95,1.397599462808395,0.6610587382160986,0.950877192982456,0.5002192982456141,0.0491228070175439,0.976017130620985,0.499780701754386,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,clinc150,0.25,123,0.95,1.2301805968618598,0.8848894794057254,0.950877192982456,0.1967105263157894,0.0491228070175439,0.9849421887604196,0.8032894736842106,S2C Trainable K=1,0.25
mogb_minilm_fair,clinc150,0.5,13,0.8,1.2658841634787006,0.8611070541843143,0.8004444444444444,0.1455072463768116,0.1995555555555556,0.8678245510744775,0.8544927536231884,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,13,0.8,1.03619813226243,0.9173955296404276,0.8004444444444444,0.0423188405797101,0.1995555555555556,0.8803623767652544,0.95768115942029,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,13,0.9,1.387744382331923,0.6885597001606283,0.9004444444444445,0.4408695652173913,0.0995555555555555,0.8959591267998143,0.5591304347826087,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,13,0.9,1.1277111780841975,0.916384014157204,0.9004444444444445,0.0994202898550724,0.0995555555555555,0.9327529270489342,0.9005797101449275,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,13,0.95,1.494396525738122,0.4676274467627447,0.9502222222222222,0.6849275362318841,0.0497777777777778,0.9065888240200168,0.3150724637681159,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,13,0.95,1.2225383390727425,0.8621625938348506,0.9502222222222222,0.2176811594202898,0.0497777777777778,0.960156527926005,0.7823188405797101,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,42,0.8,1.284782323641548,0.8599415204678362,0.8004444444444444,0.1475362318840579,0.1995555555555556,0.8675516224188791,0.852463768115942,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,42,0.8,1.0427728255287354,0.903389115454929,0.8004444444444444,0.0689855072463768,0.1995555555555556,0.8773559136847856,0.9310144927536232,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,42,0.9,1.416693595162466,0.7144856543037089,0.9004444444444445,0.4081159420289855,0.0995555555555555,0.9011473962930272,0.5918840579710145,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,42,0.9,1.1287559858328342,0.8932068082542551,0.9004444444444445,0.1405797101449275,0.0995555555555555,0.929758544998432,0.8594202898550725,S2C Trainable K=1,0.50
