dataset,kir,seed,target_known_recall,oos_f1_mogb_minilm_fair,oos_f1_s2c_trainable_k1,known_recall_mogb_minilm_fair,known_recall_s2c_trainable_k1,false_accept_rate_mogb_minilm_fair,false_accept_rate_s2c_trainable_k1,threshold_mogb_minilm_fair,threshold_s2c_trainable_k1,delta_oos_f1_s2c_minus_mogb,delta_known_recall_s2c_minus_mogb,delta_fa_s2c_minus_mogb,delta_threshold_s2c_minus_mogb
banking77,0.25,13,0.8,0.7700348432055749,0.9226073686505342,0.8013157894736842,0.8013157894736842,0.3331896551724138,0.0879310344827586,1.476059901011976,0.9829842769876472,0.15257252544495925,0.0,-0.24525862068965518,-0.4930756240243287
banking77,0.25,13,0.9,0.5467233009708737,0.8649289099526066,0.9013157894736842,0.9013157894736842,0.6116379310344827,0.2133620689655172,1.6538144092311835,1.0691415456572633,0.3182056089817329,0.0,-0.3982758620689655,-0.5846728635739202
banking77,0.25,13,0.95,0.3164285714285714,0.7535695399259651,0.9513157894736842,0.9513157894736842,0.809051724137931,0.3857758620689655,1.8314109509030272,1.1392851227766,0.4371409684973937,0.0,-0.4232758620689655,-0.6921258281264271
banking77,0.25,42,0.8,0.8114478114478114,0.9214316892186818,0.8013157894736842,0.8013157894736842,0.2728448275862069,0.0900862068965517,1.3746092723313672,0.9880659211999476,0.10998387777087038,0.0,-0.18275862068965518,-0.3865433511314196
banking77,0.25,42,0.9,0.6537380550871276,0.8559828039168856,0.9013157894736842,0.9013157894736842,0.4987068965517241,0.2275862068965517,1.524846601001759,1.1061878806806362,0.20224474882975807,0.0,-0.27112068965517244,-0.4186587203211227
banking77,0.25,42,0.95,0.502065459167461,0.7515889830508474,0.9513157894736842,0.9513157894736842,0.6594827586206896,0.3883620689655172,1.6298507281106247,1.1916509373105708,0.2495235238833864,0.0,-0.2711206896551724,-0.4381997908000539
banking77,0.25,87,0.8,0.8889388489208633,0.9307659022068367,0.8013157894736842,0.8013157894736842,0.1478448275862069,0.0728448275862069,1.3396976411663095,0.9914471709998148,0.04182705328597347,0.0,-0.075,-0.3482504701664947
banking77,0.25,87,0.9,0.7799286805909322,0.8724105461393596,0.9013157894736842,0.9013157894736842,0.3400862068965517,0.2012931034482758,1.5146253327339492,1.119675661220534,0.09248186554842741,0.0,-0.13879310344827592,-0.3949496715134151
banking77,0.25,87,0.95,0.5148078134845621,0.7637031209021767,0.9513157894736842,0.9513157894736842,0.6478448275862069,0.3724137931034483,1.712371283838025,1.2125096262923605,0.24889530741761468,0.0,-0.2754310344827586,-0.4998616575456645
banking77,0.25,100,0.8,0.8501628664495114,0.9305345163384549,0.8013157894736842,0.8013157894736842,0.2125,0.0732758620689655,1.374289207164436,0.9957971221569166,0.08037164988894341,0.0,-0.1392241379310345,-0.3784920850075193
