dataset,kir,target_known_recall,mean_delta_oos_f1,std_delta_oos_f1,mean_delta_known_recall,mean_delta_false_acceptance,wins,ties,losses,n_seeds
banking77,0.25,0.8,0.07891653676237546,0.055994231371991755,0.0,-0.13189655172413792,5,0,0,5
banking77,0.25,0.9,0.16729491117283687,0.10082355616686509,0.0,-0.22551724137931034,5,0,0,5
banking77,0.25,0.95,0.25617239073660714,0.1083289354997971,0.0,-0.2663793103448276,5,0,0,5
banking77,0.5,0.8,0.11291881670770036,0.025382942278267616,0.0,-0.18217948717948718,5,0,0,5
banking77,0.5,0.9,0.21450412342207628,0.05201529673706001,0.0,-0.2664102564102564,5,0,0,5
banking77,0.5,0.95,0.2756857650531117,0.06074491429970079,0.0,-0.253974358974359,5,0,0,5
banking77,0.75,0.8,0.15257723671719936,0.043679909759503324,0.0,-0.2528947368421053,5,0,0,5
banking77,0.75,0.9,0.29144332799651634,0.04127433652293743,0.0,-0.3505263157894737,5,0,0,5
banking77,0.75,0.95,0.3035534062125006,0.047247648320211215,0.0,-0.27315789473684216,5,0,0,5
clinc150,0.25,0.8,0.03502454804671069,0.014414400276070835,0.0,-0.06429824561403512,5,0,0,5
clinc150,0.25,0.9,0.13119780266394526,0.029033766315453787,0.0,-0.20956140350877192,5,0,0,5
clinc150,0.25,0.95,0.29733156395990246,0.05787730519250296,0.0,-0.37697368421052635,5,0,0,5
clinc150,0.5,0.8,0.07084586079428135,0.021872020416724643,0.0,-0.12684057971014492,5,0,0,5
clinc150,0.5,0.9,0.22243160795506567,0.030865811043491804,0.0,-0.32869565217391306,5,0,0,5
clinc150,0.5,0.95,0.3735017423442507,0.037285640812944755,0.0,-0.43750724637681165,5,0,0,5
clinc150,0.75,0.8,0.08737030513399598,0.036773759995066456,0.0,-0.1558119658119658,5,0,0,5
clinc150,0.75,0.9,0.2664783117801218,0.040420485080685034,0.0,-0.3811111111111111,5,0,0,5
clinc150,0.75,0.95,0.4163320881654527,0.034204913360592955,0.0,-0.472991452991453,5,0,0,5
stackoverflow,0.25,0.8,0.10210174143710156,0.05411803816262534,0.0,-0.17991111111111116,5,0,0,5
stackoverflow,0.25,0.9,0.25103423747761866,0.14980585939842764,0.0,-0.3447111111111111,5,0,0,5
stackoverflow,0.25,0.95,0.4035821228196488,0.13582245627786557,0.0,-0.4219111111111111,5,0,0,5
stackoverflow,0.5,0.8,0.13089487363288407,0.08644013225749997,0.0,-0.21853333333333333,5,0,0,5
stackoverflow,0.5,0.9,0.22016780388836077,0.11736615873028636,0.0,-0.275,5,0,0,5
stackoverflow,0.5,0.95,0.2598376182943246,0.09250383937203742,0.0,-0.24046666666666666,5,0,0,5
stackoverflow,0.75,0.8,0.22939194905032342,0.10895676822862455,0.0,-0.38653333333333334,5,0,0,5
stackoverflow,0.75,0.9,0.3510006324165815,0.1364588281127506,0.0,-0.4373333333333333,5,0,0,5
stackoverflow,0.75,0.95,0.37967595207946525,0.10905518537263789,0.0,-0.3585333333333333,5,0,0,5
