candidate_k,complexity,cross_intent_leakage,delta,improvement_over_k1,instability,intent,min_improvement,objective,proper_recall,representation,safe,selected_k,selection_source,self_rejection,union_overlap
1,0.0,0.014444444444444444,0.02,0.0,0.0,apache,0.01,0.1944444444444445,0.82,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.18000000000000005,0.0
2,1.0,0.008888888888888889,0.02,-0.18076222293230085,0.03742613545343976,apache,0.01,0.37520666737674535,0.82,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.18000000000000005,0.16696124462449646
3,2.0,0.0077777777777777776,0.02,-0.47608893954424636,0.5417464125018555,apache,0.01,0.6705333839886909,0.8,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.19999999999999996,0.30731900308544924
4,3.0,0.006666666666666667,0.02,-0.45683152671018556,0.4158807101071076,apache,0.01,0.6512759711546301,0.79,frozen_minilm,False,1,proper_train_and_known_calibration_only,0.20999999999999996,0.30063912696118644
5,4.0,0.044444444444444446,0.02,-0.4619972144097241,0.4679888576388963,apache,0.01,0.6564416588541686,0.86,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.14,0.315
1,0.0,0.0044444444444444444,0.02,0.0,0.0,bash,0.01,0.13444444444444445,0.87,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.13,0.0
2,1.0,0.01,0.02,-0.44920915235894876,0.7146143872135728,bash,0.01,0.5836535968033932,0.89,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.10999999999999999,0.275
3,2.0,0.06888888888888889,0.02,-0.5021239773751346,0.4507181317227611,bash,0.01,0.6365684218195791,0.89,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.10999999999999999,0.325
4,3.0,0.021111111111111112,0.02,-0.48678600346674417,0.5604773472003098,bash,0.01,0.6212304479111886,0.87,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.13,0.3
5,4.0,0.025555555555555557,0.02,-0.4858290069237028,0.5588715832503668,bash,0.01,0.6202734513681473,0.89,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.10999999999999999,0.305
1,0.0,0.10777777777777778,0.02,0.0,0.0,drupal,0.01,0.3177777777777777,0.79,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.20999999999999996,0.0
2,1.0,0.09333333333333334,0.02,-0.2154298656138498,0.4360391301060037,drupal,0.01,0.5332076433916275,0.77,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.22999999999999998,0.0908645275317933
3,2.0,0.09666666666666666,0.02,-0.2592618229918078,0.40495724006043443,drupal,0.01,0.5770396007695855,0.76,frozen_minilm,False,1,proper_train_and_known_calibration_only,0.24,0.11913362408781018
4,3.0,0.10333333333333333,0.02,-0.2653321622817375,0.4023897483271014,drupal,0.01,0.5831099400595152,0.77,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.22999999999999998,0.1191791696444065
5,4.0,0.1,0.02,-0.29502336115413175,0.4117805707437683,drupal,0.01,0.6128011389319095,0.77,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.22999999999999998,0.13985599624596737
1,0.0,0.0,0.02,0.0,0.0,haskell,0.01,0.25,0.75,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.25,0.0
2,1.0,0.09444444444444444,0.02,-0.19893771120581516,0.057973067045482884,haskell,0.01,0.44893771120581516,0.91,frozen_minilm,True,1,proper_train_and_known_calibration_only,0.08999999999999997,0.24
