accuracy,aupr_oos,auroc,effective_cluster_count,f1_all,f1_k,f1_u,false_accept_rate,false_reject_rate,fpr95,id_recall,method,minimum_cluster_size,oos_f1,oos_precision,oos_recall,oos_rejection,representation,selected_k_mean,selected_k_median,selection_source
0.8208333333333333,0.8846698474189167,0.9129302222222223,10,0.8212733818274376,0.818897844085777,0.8450287592440427,0.143,0.17133333333333334,0.26266666666666666,0.8286666666666667,fixed_k1,600,0.8450287592440427,0.833387358184765,0.857,0.857,frozen_minilm,,,predeclared_fixed_k
0.7665,0.8917318362781068,0.9065725555555555,20,0.7768499728917867,0.7754937014839028,0.7904126869706254,0.269,0.11866666666666667,0.34933333333333333,0.8813333333333333,fixed_k2,100,0.7904126869706254,0.8603373872106709,0.731,0.731,frozen_minilm,,,predeclared_fixed_k
0.7311666666666666,0.8688521563716236,0.8857415555555556,30,0.7328137720370375,0.7308175770719774,0.7527757216876387,0.322,0.12333333333333334,0.4036666666666667,0.8766666666666667,fixed_k3,52,0.7527757216876387,0.846089850249584,0.678,0.678,frozen_minilm,,,predeclared_fixed_k
0.7215,0.8670756395078753,0.8843815555555556,40,0.7229880816540472,0.7210235552428014,0.7426333457665051,0.3363333333333333,0.12366666666666666,0.395,0.8763333333333333,fixed_k4,46,0.7426333457665051,0.8429297205757832,0.6636666666666666,0.6636666666666666,frozen_minilm,,,predeclared_fixed_k
0.7173333333333334,0.864889433404708,0.8806277777777778,50,0.7136378116375784,0.7111422061147245,0.7385938668661182,0.3416666666666667,0.12433333333333334,0.4103333333333333,0.8756666666666667,fixed_k5,31,0.7385938668661182,0.8411413969335605,0.6583333333333333,0.6583333333333333,frozen_minilm,,,predeclared_fixed_k
0.8208333333333333,0.8846698474189167,0.9129302222222223,10,0.8212733818274376,0.818897844085777,0.8450287592440427,0.143,0.17133333333333334,0.26266666666666666,0.8286666666666667,brak,600,0.8450287592440427,0.833387358184765,0.857,0.857,frozen_minilm,1.0,1.0,proper_train_and_known_calibration_only
0.117,0.5304617798546569,0.5290235555555556,10,0.06628024147459313,0.048308782417918084,0.24599483204134368,0.8413333333333334,0.13133333333333333,0.9426666666666667,0.8686666666666667,fixed_k1,600,0.24599483204134368,0.5471264367816092,0.15866666666666668,0.15866666666666668,mogb_initial_bert,,,predeclared_fixed_k
0.099,0.5373374752735794,0.5407261111111111,20,0.06186982108480055,0.04818888904908688,0.19867914144193727,0.8796666666666667,0.091,0.9343333333333333,0.909,fixed_k2,227,0.19867914144193727,0.5694006309148265,0.12033333333333333,0.12033333333333333,mogb_initial_bert,,,predeclared_fixed_k
0.08483333333333333,0.5370708602686372,0.5452023333333333,30,0.053965843747033754,0.04304874752643088,0.1631368059530624,0.905,0.06966666666666667,0.9266666666666666,0.9303333333333333,fixed_k3,147,0.1631368059530624,0.5769230769230769,0.095,0.095,mogb_initial_bert,,,predeclared_fixed_k
0.08716666666666667,0.5459913234779326,0.5565643333333333,40,0.06587560436782967,0.057968717113204116,0.14494447691408532,0.9173333333333333,0.058,0.922,0.942,fixed_k4,106,0.14494447691408532,0.5876777251184834,0.08266666666666667,0.08266666666666667,mogb_initial_bert,,,predeclared_fixed_k
0.09666666666666666,0.5483543503530225,0.560470888888889,50,0.07791677035541265,0.07027938064723822,0.1542906674371569,0.911,0.06466666666666666,0.9193333333333333,0.9353333333333333,fixed_k5,58,0.1542906674371569,0.579175704989154,0.089,0.089,mogb_initial_bert,,,predeclared_fixed_k
0.117,0.5304617798546569,0.5290235555555556,10,0.06628024147459313,0.048308782417918084,0.24599483204134368,0.8413333333333334,0.13133333333333333,0.9426666666666667,0.8686666666666667,brak,600,0.24599483204134368,0.5471264367816092,0.15866666666666668,0.15866666666666668,mogb_initial_bert,1.0,1.0,proper_train_and_known_calibration_only
0.014166666666666666,0.3193267238533951,0.08293222222222221,10,0.0135163445354809,0.014867978989028991,0.0,1.0,0.012666666666666666,0.9936666666666667,0.9873333333333333,fixed_k1,600,0.0,0.0,0.0,0.0,mogb_trained_hierarchical_bert,,,predeclared_fixed_k
0.06266666666666666,0.39671618171211914,0.2670608888888889,20,0.08507687858883285,0.09141636671052822,0.021681997371879105,0.989,0.0036666666666666666,0.9926666666666667,0.9963333333333333,fixed_k2,189,0.021681997371879105,0.75,0.011,0.011,mogb_trained_hierarchical_bert,,,predeclared_fixed_k
0.08433333333333333,0.6231320796815402,0.5797706666666667,30,0.06984448346242488,0.06451076405874473,0.12318167749922625,0.9336666666666666,0.010666666666666666,0.95,0.9893333333333333,fixed_k3,111,0.12318167749922625,0.8614718614718615,0.06633333333333333,0.06633333333333333,mogb_trained_hierarchical_bert,,,predeclared_fixed_k
0.07583333333333334,0.7445995857675443,0.769025111111111,40,0.06030066051412739,0.05090406394786627,0.15426662617673853,0.9153333333333333,0.013,0.675,0.987,fixed_k4,57,0.15426662617673853,0.8668941979522184,0.08466666666666667,0.08466666666666667,mogb_trained_hierarchical_bert,,,predeclared_fixed_k
0.11683333333333333,0.8119070411251074,0.8408615555555556,50,0.06816213931961816,0.047692839890117245,0.27285513361462727,0.8383333333333334,0.023333333333333334,0.547,0.9766666666666667,fixed_k5,52,0.27285513361462727,0.8738738738738738,0.16166666666666665,0.16166666666666665,mogb_trained_hierarchical_bert,,,predeclared_fixed_k
0.028166666666666666,0.3206152282937382,0.09293344444444444,12,0.02279187413297227,0.025071061546269497,0.0,1.0,0.004333333333333333,0.9923333333333333,0.9956666666666667,brak,291,0.0,0.0,0.0,0.0,mogb_trained_hierarchical_bert,1.2,1.0,proper_train_and_known_calibration_only
