dataset,representation,oos_f1,f1_all,known_recall,false_accept_rate,auroc,aupr_oos,score_gap_median_oos_minus_known,known_accepted_rate,oos_accepted_rate,dataset_label,representation_label
banking77,frozen,0.7884855089381205,,0.8426315789473684,0.2488461538461538,0.8737626518218624,0.8512983050217497,0.2585722360798741,0.8426315789473684,0.2488461538461538,Banking77,Frozen
banking77,trainable,0.8356406184886493,0.8167355797722488,0.8221052631578948,0.15743589743589742,0.9014173414304993,0.8863032438146086,0.33375905800022876,0.8221052631578948,0.15743589743589742,Banking77,Trainable
clinc150,frozen,0.893220368395799,,0.7581333333333333,0.0656811594202898,0.9278020225442833,0.9397768300972114,0.25801047563132967,0.7581333333333333,0.0656811594202898,CLINC150,Frozen
clinc150,trainable,0.9043941395821135,0.8181661694793956,0.7444444444444445,0.036927536231884016,0.9532673752012881,0.9649131913639692,0.4380667333770196,0.7444444444444445,0.036927536231884016,CLINC150,Trainable
stackoverflow,frozen,0.7812258420202773,,0.8346666666666668,0.25026666666666664,0.8826348888888889,0.8472932270265027,0.1154631167299891,0.8346666666666666,0.25026666666666664,StackOverflow,Frozen
stackoverflow,trainable,0.8767066651336372,0.8655077750537566,0.8389333333333333,0.09339999999999998,0.9235181333333333,0.8935448620562013,0.43372912769400457,0.8389333333333333,0.09339999999999998,StackOverflow,Trainable
