dataset,kir,reference_method,metric,comparison,mean_delta,ci95_low_delta,ci95_high_delta,wins_delta,ties_delta,losses_delta,n_seeds,bootstrap_seed,bootstrap_samples,mean_delta_pp,ci95_low_delta_pp,ci95_high_delta_pp
banking77,0.5,energy,f1_all,Trainable native - Frozen native,0.0303723779769585,0.0194518508289187,0.0516129479065594,3,0,0,3,20260725,10000,3.03723779769585,1.94518508289187,5.1612947906559405
banking77,0.5,knn,f1_all,Trainable native - Frozen native,0.0294528057488198,0.0208135517985667,0.0385484243834084,3,0,0,3,20260725,10000,2.94528057488198,2.08135517985667,3.85484243834084
banking77,0.5,lof,f1_all,Trainable native - Frozen native,0.0341165587443597,0.0322695105484356,0.036431304788738,3,0,0,3,20260725,10000,3.4116558744359695,3.2269510548435596,3.6431304788738004
banking77,0.5,msp,f1_all,Trainable native - Frozen native,0.031872545921336,0.0211605361626647,0.0377639239589293,3,0,0,3,20260725,10000,3.1872545921336,2.11605361626647,3.7763923958929304
banking77,0.5,energy,false_accept_rate,Trainable native - Frozen native,-0.0777777777777777,-0.1647435897435897,-0.0275641025641025,0,0,3,3,20260725,10000,-7.77777777777777,-16.47435897435897,-2.75641025641025
banking77,0.5,knn,false_accept_rate,Trainable native - Frozen native,-0.07008547008547,-0.0865384615384615,-0.0435897435897436,0,0,3,3,20260725,10000,-7.0085470085470005,-8.65384615384615,-4.35897435897436
banking77,0.5,lof,false_accept_rate,Trainable native - Frozen native,-0.119017094017094,-0.1243589743589743,-0.1121794871794872,0,0,3,3,20260725,10000,-11.9017094017094,-12.43589743589743,-11.217948717948719
banking77,0.5,msp,false_accept_rate,Trainable native - Frozen native,-0.079059829059829,-0.1012820512820512,-0.0493589743589744,0,0,3,3,20260725,10000,-7.9059829059829,-10.12820512820512,-4.93589743589744
banking77,0.5,energy,known_recall,Trainable native - Frozen native,-0.0032894736842105,-0.0236842105263157,0.0078947368421052,2,0,1,3,20260725,10000,-0.32894736842105,-2.36842105263157,0.7894736842105199
banking77,0.5,knn,known_recall,Trainable native - Frozen native,0.0039473684210526,-0.0032894736842105,0.0111842105263157,2,0,1,3,20260725,10000,0.39473684210525994,-0.32894736842105,1.1184210526315699
banking77,0.5,lof,known_recall,Trainable native - Frozen native,-0.0171052631578946,-0.0236842105263157,-0.0124999999999999,0,0,3,3,20260725,10000,-1.71052631578946,-2.36842105263157,-1.24999999999999
banking77,0.5,msp,known_recall,Trainable native - Frozen native,0.000438596491228,-0.0032894736842105,0.0039473684210525,2,0,1,3,20260725,10000,0.0438596491228,-0.32894736842105,0.39473684210525
banking77,0.5,energy,oos_f1,Trainable native - Frozen native,0.0659791054367096,0.0246825995612456,0.1364120950848329,3,0,0,3,20260725,10000,6.5979105436709595,2.46825995612456,13.641209508483291
banking77,0.5,knn,oos_f1,Trainable native - Frozen native,0.063257216712257,0.0418245690018166,0.0775141799234848,3,0,0,3,20260725,10000,6.3257216712257,4.18245690018166,7.751417992348481
banking77,0.5,lof,oos_f1,Trainable native - Frozen native,0.1194563980752037,0.1100422570221227,0.1306120331501744,3,0,0,3,20260725,10000,11.945639807520369,11.00422570221227,13.061203315017439
banking77,0.5,msp,oos_f1,Trainable native - Frozen native,0.0640354990331464,0.0392328876174499,0.0844039659923282,3,0,0,3,20260725,10000,6.40354990331464,3.9232887617449896,8.44039659923282
clinc150,0.5,energy,f1_all,Trainable native - Frozen native,0.0375106058663889,0.0227217991706623,0.0472221234243991,3,0,0,3,20260725,10000,3.75106058663889,2.27217991706623,4.72221234243991
clinc150,0.5,knn,f1_all,Trainable native - Frozen native,0.1093859238039248,0.083680239459749,0.1265371215980123,3,0,0,3,20260725,10000,10.93859238039248,8.368023945974901,12.65371215980123
clinc150,0.5,lof,f1_all,Trainable native - Frozen native,0.1084164897292416,0.104336192064436,0.1146902286879461,3,0,0,3,20260725,10000,10.84164897292416,10.4336192064436,11.46902286879461
clinc150,0.5,msp,f1_all,Trainable native - Frozen native,0.029035549590317,0.0169413987929797,0.042419203122791,3,0,0,3,20260725,10000,2.9035549590317,1.6941398792979698,4.2419203122791
clinc150,0.5,energy,false_accept_rate,Trainable native - Frozen native,-0.0672463768115941,-0.0852173913043478,-0.0472463768115941,0,0,3,3,20260725,10000,-6.724637681159409,-8.52173913043478,-4.724637681159409
clinc150,0.5,knn,false_accept_rate,Trainable native - Frozen native,-0.1789371980676328,-0.2176811594202898,-0.1194202898550725,0,0,3,3,20260725,10000,-17.89371980676328,-21.768115942028977,-11.94202898550725
clinc150,0.5,lof,false_accept_rate,Trainable native - Frozen native,-0.1941062801932367,-0.2072463768115942,-0.1855072463768116,0,0,3,3,20260725,10000,-19.41062801932367,-20.724637681159418,-18.55072463768116
clinc150,0.5,msp,false_accept_rate,Trainable native - Frozen native,-0.0497584541062801,-0.0814492753623188,-0.0266666666666666,0,0,3,3,20260725,10000,-4.97584541062801,-8.14492753623188,-2.66666666666666
clinc150,0.5,energy,known_recall,Trainable native - Frozen native,-0.0063703703703703,-0.0093333333333333,-0.0035555555555555,0,0,3,3,20260725,10000,-0.63703703703703,-0.9333333333333299,-0.35555555555555
clinc150,0.5,knn,known_recall,Trainable native - Frozen native,-0.0111111111111111,-0.016,-0.0075555555555556,0,0,3,3,20260725,10000,-1.1111111111111098,-1.6,-0.75555555555556
clinc150,0.5,lof,known_recall,Trainable native - Frozen native,-0.0051851851851852,-0.0088888888888889,-0.0017777777777777,0,0,3,3,20260725,10000,-0.5185185185185199,-0.88888888888889,-0.17777777777777
clinc150,0.5,msp,known_recall,Trainable native - Frozen native,-0.0029629629629629,-0.0066666666666667,0.0004444444444444,1,0,2,3,20260725,10000,-0.29629629629629,-0.66666666666667,0.04444444444444
clinc150,0.5,energy,oos_f1,Trainable native - Frozen native,0.040159110165952,0.0266845978008606,0.0507085607705801,3,0,0,3,20260725,10000,4.0159110165952,2.66845978008606,5.07085607705801
clinc150,0.5,knn,oos_f1,Trainable native - Frozen native,0.1201142264285183,0.0778529014720089,0.1524552419757769,3,0,0,3,20260725,10000,12.01142264285183,7.78529014720089,15.245524197577689
clinc150,0.5,lof,oos_f1,Trainable native - Frozen native,0.1559041547236294,0.1431076096578364,0.1789374945419629,3,0,0,3,20260725,10000,15.59041547236294,14.31076096578364,17.89374945419629
clinc150,0.5,msp,oos_f1,Trainable native - Frozen native,0.0297205854481816,0.0155523564575407,0.046901197224208,3,0,0,3,20260725,10000,2.97205854481816,1.55523564575407,4.6901197224208
stackoverflow,0.5,energy,f1_all,Trainable native - Frozen native,-0.0083610144441725,-0.0240464480733151,0.0030919027695331,1,0,2,3,20260725,10000,-0.8361014444172501,-2.40464480733151,0.30919027695331003
stackoverflow,0.5,knn,f1_all,Trainable native - Frozen native,0.0610942733589796,0.050308461978159,0.0762383862100271,3,0,0,3,20260725,10000,6.10942733589796,5.0308461978159,7.62383862100271
stackoverflow,0.5,lof,f1_all,Trainable native - Frozen native,0.1319260154246574,0.1170351141873264,0.1410409124613597,3,0,0,3,20260725,10000,13.19260154246574,11.70351141873264,14.104091246135969
stackoverflow,0.5,msp,f1_all,Trainable native - Frozen native,-0.0143523019807742,-0.0208823291019303,-0.0090373674180722,0,0,3,3,20260725,10000,-1.43523019807742,-2.08823291019303,-0.90373674180722
stackoverflow,0.5,energy,false_accept_rate,Trainable native - Frozen native,0.0214444444444444,-0.005,0.072,1,0,2,3,20260725,10000,2.14444444444444,-0.5,7.199999999999999
stackoverflow,0.5,knn,false_accept_rate,Trainable native - Frozen native,-0.0783333333333333,-0.1173333333333332,-0.029,0,0,3,3,20260725,10000,-7.8333333333333295,-11.73333333333332,-2.9000000000000004
stackoverflow,0.5,lof,false_accept_rate,Trainable native - Frozen native,-0.2827777777777777,-0.3576666666666666,-0.1966666666666666,0,0,3,3,20260725,10000,-28.277777777777768,-35.76666666666666,-19.66666666666666
stackoverflow,0.5,msp,false_accept_rate,Trainable native - Frozen native,0.04,0.025,0.061,3,0,0,3,20260725,10000,4.0,2.5,6.1
stackoverflow,0.5,energy,known_recall,Trainable native - Frozen native,0.0025555555555555,0.0003333333333332,0.005,3,0,0,3,20260725,10000,0.25555555555555004,0.03333333333332,0.5
stackoverflow,0.5,knn,known_recall,Trainable native - Frozen native,0.0018888888888889,-0.0053333333333333,0.0096666666666666,2,0,1,3,20260725,10000,0.18888888888889,-0.53333333333333,0.9666666666666599
stackoverflow,0.5,lof,known_recall,Trainable native - Frozen native,-0.0066666666666666,-0.0133333333333333,-0.0023333333333332,0,0,3,3,20260725,10000,-0.6666666666666601,-1.33333333333333,-0.23333333333332
stackoverflow,0.5,msp,known_recall,Trainable native - Frozen native,0.0024444444444444,-0.0026666666666667,0.0056666666666667,2,0,1,3,20260725,10000,0.24444444444444002,-0.26666666666667,0.56666666666667
stackoverflow,0.5,energy,oos_f1,Trainable native - Frozen native,-0.0218736053888325,-0.0756869478054135,0.0066898296879702,2,0,1,3,20260725,10000,-2.18736053888325,-7.5686947805413505,0.66898296879702
stackoverflow,0.5,knn,oos_f1,Trainable native - Frozen native,0.0722721425627117,0.0268471423770388,0.1182481948755103,3,0,0,3,20260725,10000,7.22721425627117,2.68471423770388,11.82481948755103
stackoverflow,0.5,lof,oos_f1,Trainable native - Frozen native,0.3003088109491678,0.2297604872781704,0.3631448402214127,3,0,0,3,20260725,10000,30.03088109491678,22.976048727817037,36.31448402214127
stackoverflow,0.5,msp,oos_f1,Trainable native - Frozen native,-0.044191743240653,-0.0692196711456956,-0.0269606313107639,0,0,3,3,20260725,10000,-4.419174324065301,-6.9219671145695605,-2.69606313107639
