dataset,method,method_label,n_seeds,oos_f1_delta_pp_mean,f1_all_delta_pp_mean,known_recall_delta_pp_mean,false_accept_rate_delta_pp_mean,false_reject_rate_delta_pp_mean,auroc_delta_pp_mean,aupr_oos_delta_pp_mean,oos_f1_delta_pp_std,f1_all_delta_pp_std,known_recall_delta_pp_std,false_accept_rate_delta_pp_std,false_reject_rate_delta_pp_std,auroc_delta_pp_std,aupr_oos_delta_pp_std
banking77,energy,Energy,3,6.597910543670963,3.03723779769585,-0.3289473684210509,-7.777777777777779,0.32894736842104205,1.7771030139451103,2.404856430465885,6.129902982482401,1.839732327185935,1.7689907447038007,7.561476438231227,1.7689907447037925,0.26125834241308055,0.31134693869731694
banking77,knn,kNN,3,6.325721671225708,2.945280574881988,0.3947368421052662,-7.008547008547013,-0.3947368421052708,1.1216683535762477,1.6781024292836049,1.8895896855116336,0.8876239515919692,0.7236842105263319,2.316873947183068,0.7236842105263198,0.5296807291190939,0.35082025712627635
banking77,lof,LOF,3,11.94563980752038,3.4116558744359704,-1.7105263157894697,-11.901709401709404,1.7105263157894643,1.2728927687809162,1.3379818794050886,1.03948796799554,0.21199501840232174,0.5847496327181205,0.622598388219377,0.5847496327181246,1.1935540123802635,0.811610129835274
banking77,msp,MSP,3,6.4035499033146435,3.1872545921336073,0.043859649122812705,-7.90598290598291,-0.04385964912281202,1.3468145524066497,2.2104261288259153,2.2909666260844572,0.929230806748165,0.3623401675846035,2.675722214847391,0.3623401675846023,0.8319575641534328,0.8380666217797814
clinc150,energy,Energy,3,4.015911016595209,3.7510605866388995,-0.637037037037036,-6.724637681159421,0.6370370370370356,1.1638733225979525,0.6978861677578626,1.2276183809291374,1.301539937441576,0.2891736488287756,1.9066648159644897,0.2891736488287772,0.1908936467003395,0.1208002451509769
clinc150,knn,kNN,3,12.01142264285184,10.938592380392478,-1.1111111111111145,-17.893719806763286,1.1111111111111114,3.783016639828244,2.486015293014262,3.8277757330354265,2.2672946803514074,0.4377270134131573,5.232051330846672,0.43772701341315395,0.6433538070119708,0.5559962390936513
clinc150,lof,LOF,3,15.59041547236294,10.84164897292416,-0.5185185185185107,-19.41062801932367,0.5185185185185145,3.4734986580783667,3.1133388061646117,1.9988475124597953,0.5514517851325068,0.3564802789782541,1.1559125682483256,0.35648027897824763,0.6019738077210817,0.5758563959828648
clinc150,msp,MSP,3,2.972058544818168,2.903554959031703,-0.2962962962962945,-4.975845410628022,0.2962962962962871,0.9317616747181975,0.45619301982259647,1.589003750428969,1.2787757479127502,0.3564802789782532,2.8385578923235943,0.3564802789782487,0.2645682070822108,0.18589330227508455
stackoverflow,energy,Energy,3,-2.1873605388832593,-0.8361014444172588,0.2555555555555607,2.1444444444444453,-0.2555555555555568,-0.0643370370370396,0.05866395697999849,4.6633161302330315,1.4055538695567233,0.23412563895227945,4.379793670093676,0.23412563895228483,0.563126548101725,0.4698305945335212
stackoverflow,knn,kNN,3,7.2272142562711785,6.109427335897966,0.188888888888894,-7.833333333333331,-0.1888888888888942,3.178464814814811,2.980389457999799,4.570301787948132,1.3503197267560016,0.7515416254704719,4.506415180359858,0.7515416254704771,0.8925702552549261,0.850558865295895
stackoverflow,lof,LOF,3,30.03088109491679,13.192601542465743,-0.6666666666666746,-28.277777777777782,0.666666666666671,8.845442592592605,11.362401782413665,6.702578620345772,1.300350937584366,0.585946527708232,8.10845466393178,0.5859465277082315,0.8791685032337069,0.3397246461160849
stackoverflow,msp,MSP,3,-4.419174324065303,-1.4352301980774271,0.24444444444443972,4.0,-0.24444444444443972,-0.15836666666666868,-0.19128926712987196,2.2182185790750863,0.6015240374849891,0.4476274906329786,1.8734993995195224,0.4476274906329758,0.8016182628799842,0.5918975688321491
