dataset,kir,method,method_label,metric,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,reference,seed
stackoverflow,0.5,fixed_k2,Fixed K=2,f1_all,5,-0.0722081592631693,-0.07418303670420812,-0.08432654035256415,-0.06010606597591226,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,fixed_k2,Fixed K=2,id_recall,5,-0.0026000000000000025,-0.0010000000000000009,-0.009600000000000008,0.004266666666666641,1,0,4,single_centroid,paired same split/seed
stackoverflow,0.5,fixed_k2,Fixed K=2,false_accept_rate,5,0.1746,0.16333333333333333,0.15026666666666672,0.1990666666666667,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,fixed_k2,Fixed K=2,oos_f1,5,-0.21970603753577783,-0.24028391364065105,-0.2606034208287872,-0.1757630333470331,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,fixed_k2,Fixed K=2,f1_all,5,-0.0677210778546862,-0.06892928536831122,-0.07872434075104433,-0.05707758947263537,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,fixed_k2,Fixed K=2,id_recall,5,0.0040000000000000036,0.004666666666666597,-0.005155555555555536,0.012711111111111117,4,0,1,single_centroid,paired same split/seed
stackoverflow,0.75,fixed_k2,Fixed K=2,false_accept_rate,5,0.28840000000000005,0.30600000000000005,0.23066666666666674,0.34253333333333336,0,0,5,single_centroid,paired same split/seed
banking77,0.25,random_partition,Random partition,oos_f1,5,-0.0016753358421975673,-0.0001588443013588181,-0.005742708649125716,0.0020000969316193327,2,0,3,single_centroid,paired same split/seed
banking77,0.25,random_partition,Random partition,f1_all,5,0.0002922218403299537,0.002350909186322192,-0.005235731906857976,0.005078093434650955,3,0,2,single_centroid,paired same split/seed
banking77,0.25,random_partition,Random partition,id_recall,5,0.00842105263157893,0.009210526315789447,0.002631578947368385,0.013947368421052642,4,0,1,single_centroid,paired same split/seed
banking77,0.25,random_partition,Random partition,false_accept_rate,5,0.0047413793103448345,0.004310344827586188,-0.00249999999999998,0.012500000000000016,2,0,3,single_centroid,paired same split/seed
banking77,0.5,random_partition,Random partition,oos_f1,5,-0.00805929902282907,-0.00999144012112163,-0.016384401428459185,0.00026580338280104423,2,0,3,single_centroid,paired same split/seed
banking77,0.5,random_partition,Random partition,f1_all,5,0.0020611236409404433,0.0014160864387843253,-0.0008293462943924412,0.0049515935762733275,3,0,2,single_centroid,paired same split/seed
banking77,0.5,random_partition,Random partition,id_recall,5,0.009473684210526323,0.009868421052631637,0.004868421052631566,0.01407894736842108,5,0,0,single_centroid,paired same split/seed
banking77,0.5,random_partition,Random partition,false_accept_rate,5,0.016538461538461568,0.01602564102564108,0.006794871794871815,0.02628205128205132,0,0,5,single_centroid,paired same split/seed
banking77,0.75,random_partition,Random partition,oos_f1,5,-0.00281891977119606,-0.003753366406803682,-0.009603181505509383,0.0036778884273143573,2,0,3,single_centroid,paired same split/seed
banking77,0.75,random_partition,Random partition,f1_all,5,0.0068154224105832165,0.008016685027798731,0.005206273387347781,0.00840423706493496,5,0,0,single_centroid,paired same split/seed
banking77,0.75,random_partition,Random partition,id_recall,5,0.00862068965517242,0.009051724137930983,0.0069827586206896,0.010000000000000031,5,0,0,single_centroid,paired same split/seed
banking77,0.75,random_partition,Random partition,false_accept_rate,5,0.01315789473684208,0.014473684210526305,0.0031578947368420705,0.023421052631578898,1,0,4,single_centroid,paired same split/seed
clinc150,0.25,random_partition,Random partition,oos_f1,5,0.0003274983890425798,-0.0005761079062064356,-0.0016915009208969378,0.0026505460958141215,2,0,3,single_centroid,paired same split/seed
clinc150,0.25,random_partition,Random partition,f1_all,5,0.0034136988023769853,-0.00011523609442121163,-0.0025688179036134073,0.010948810138376985,2,0,3,single_centroid,paired same split/seed
clinc150,0.25,random_partition,Random partition,id_recall,5,0.008947368421052659,0.01140350877192986,0.002280701754385994,0.015614035087719302,4,0,1,single_centroid,paired same split/seed
clinc150,0.25,random_partition,Random partition,false_accept_rate,5,0.001359649122807001,0.0008771929824561014,-0.0016666666666666635,0.004385964912280665,2,0,3,single_centroid,paired same split/seed
clinc150,0.5,random_partition,Random partition,oos_f1,5,0.0012577996295294546,0.0024100791201051575,-0.0009443347642339228,0.002678474925130336,4,0,1,single_centroid,paired same split/seed
clinc150,0.5,random_partition,Random partition,f1_all,5,0.004813702115465057,0.00490048100450613,0.0015714819451384753,0.007495890876677213,4,0,1,single_centroid,paired same split/seed
clinc150,0.5,random_partition,Random partition,id_recall,5,0.007200000000000007,0.00622222222222224,0.00497777777777777,0.009511111111111137,5,0,0,single_centroid,paired same split/seed
clinc150,0.5,random_partition,Random partition,false_accept_rate,5,0.001449275362318861,0.0002898550724638044,-0.0005217391304347757,0.0046376811594203175,1,1,3,single_centroid,paired same split/seed
clinc150,0.75,random_partition,Random partition,oos_f1,5,0.004585663923408445,0.005636972053399969,0.0029516851037127536,0.00588449826748807,5,0,0,single_centroid,paired same split/seed
clinc150,0.75,random_partition,Random partition,f1_all,5,0.006043892431159414,0.0072452108612165445,0.003914667385015202,0.0081088442297385,5,0,0,single_centroid,paired same split/seed
clinc150,0.75,random_partition,Random partition,id_recall,5,0.009761904761904795,0.010119047619047583,0.007976190476190536,0.011547619047619051,5,0,0,single_centroid,paired same split/seed
clinc150,0.75,random_partition,Random partition,false_accept_rate,5,0.0011965811965811812,0.00042735042735041195,-0.0017948717948717801,0.004273504273504242,1,0,4,single_centroid,paired same split/seed
stackoverflow,0.25,random_partition,Random partition,oos_f1,5,-0.0037193359629865475,-0.00253711588547767,-0.006782698419546107,-0.0010592786285291034,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.25,random_partition,Random partition,f1_all,5,-0.0014704573438513613,-0.0013784679297624836,-0.0030058426734017596,0.00010015988236415918,1,0,4,single_centroid,paired same split/seed
stackoverflow,0.25,random_partition,Random partition,id_recall,5,0.0048000000000000265,0.005333333333333412,0.002666666666666684,0.006399999999999984,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.25,random_partition,Random partition,false_accept_rate,5,0.007288888888888878,0.00555555555555548,0.003194444444444381,0.011911111111111147,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,random_partition,Random partition,oos_f1,5,-0.00669628048475337,-0.005618800790253342,-0.008573628140067102,-0.005188436279896891,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,random_partition,Random partition,f1_all,5,-0.0017555112358077051,-0.0016043204441242853,-0.002501218165079955,-0.0010222109377850063,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,random_partition,Random partition,id_recall,5,0.0049333333333333226,0.003666666666666707,0.0031333333333333434,0.006999999999999939,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.5,random_partition,Random partition,false_accept_rate,5,0.01273333333333333,0.01200000000000001,0.01040000000000001,0.01573333333333331,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,random_partition,Random partition,oos_f1,5,-0.005953780772385597,-0.005874016083812328,-0.007460229587641543,-0.004228485931368975,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,random_partition,Random partition,f1_all,5,-0.0015880142758449179,-0.0018704923133520124,-0.0025654055011928635,-0.0005092766065389887,1,0,4,single_centroid,paired same split/seed
stackoverflow,0.75,random_partition,Random partition,id_recall,5,0.0057333333333333455,0.005777777777777771,0.00471111111111111,0.006800000000000006,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.75,random_partition,Random partition,false_accept_rate,5,0.01733333333333331,0.016666666666666607,0.014266666666666695,0.020533333333333292,0,0,5,single_centroid,paired same split/seed
banking77,0.25,mogb_minilm,MOGB-MiniLM,oos_f1,5,0.05126826316720887,0.056965317496963874,0.031543011824626245,0.0709935145097915,5,0,0,single_centroid,paired same split/seed
banking77,0.25,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.1340972014170707,-0.13567715642148304,-0.15940973033647843,-0.10640123605052876,0,0,5,single_centroid,paired same split/seed
banking77,0.25,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.43921052631578944,-0.44999999999999996,-0.45999999999999996,-0.41893421052631596,0,0,5,single_centroid,paired same split/seed
banking77,0.25,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.20336206896551726,-0.2163793103448276,-0.2341379310344828,-0.17120689655172416,5,0,0,single_centroid,paired same split/seed
